page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,score_basis,score_basis_label,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,training_fit_stage,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,frontier_sample_class,frontier_sample_note,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation,r2_type,data_scope,forecast_r2,calibration_r2,training_fit_r2,component_r2,n_rows,sse,sst,bias_pct,mape,interpretation,availability_status,training_fit_r2_status,gap_id,gap_status,gap_severity,gap_detail,inner_hpo_weights_status,nested_replay_status,source_prediction_column,source_actual_column,calibration_r2_source_column
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Component validation R2,-0.5491257668375653,-0.549,component_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/component_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Component validation R2 computed from stored out-of-sample component_pred rows.,Component validation R2 is not training-fit R2.,,,,,HEAVY_RUC__VNEXT__dynamic_no_leads__gbr_learning_rate0p05_max_depth1_n_estimators650__ylag__w52,,3.0,,,,,,,,,,,,,,,,,,,True,,,,,,,component_validation,out_of_sample_component_prediction_rows,,,,-0.5491257668375653,438,1.8587691062067087e+18,1.1998826344495316e+18,-3.1341377762755345,5.014282438757088,Valid but poor fit: forecast underperforms the stream mean on these rows.,available,not_training_fit,,,,,,,component_pred,,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Component validation R2,0.46981704462216556,0.470,component_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/component_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Component validation R2 computed from stored out-of-sample component_pred rows.,Component validation R2 is not training-fit R2.,,,,,HEAVY_RUC__VNEXT__dynamic_no_leads__ridge_alpha10p0__ylag__w64,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,component_validation,out_of_sample_component_prediction_rows,,,,0.46981704462216556,438,6.361573212389944e+17,1.1998826344495316e+18,1.3040162401829172,3.021675461555183,Valid but weak net fit on these rows.,available,not_training_fit,,,,,,,component_pred,,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Component validation R2,0.04573744856547646,0.046,component_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/component_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Component validation R2 computed from stored out-of-sample component_pred rows.,Component validation R2 is not training-fit R2.,,,,,HEAVY_RUC__VNEXT__schiff__gbr_learning_rate0p08_max_depth1_n_estimators150__noylag__w52,,2.0,,,,,,,,,,,,,,,,,,,True,,,,,,,component_validation,out_of_sample_component_prediction_rows,,,,0.04573744856547646,438,1.1450030641717878e+18,1.1998826344495316e+18,-0.7894012324856153,4.080873360387493,Valid but weak net fit on these rows.,available,not_training_fit,,,,,,,component_pred,,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Training-fit R2,0.9706829508720435,0.971,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/training_fit_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,,weighted_ensemble_final,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9706829508720435,,52,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Training-fit R2,0.9989124054633143,0.999,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/training_fit_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,HEAVY_RUC__VNEXT__dynamic_no_leads__gbr_learning_rate0p05_max_depth1_n_estimators650__ylag__w52,,,HEAVY_RUC__VNEXT__dynamic_no_leads__gbr_learning_rate0p05_max_depth1_n_estimators650__ylag__w52,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9989124054633143,,52,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Training-fit R2,0.9798449644222093,0.980,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/training_fit_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,HEAVY_RUC__VNEXT__dynamic_no_leads__ridge_alpha10p0__ylag__w64,,,HEAVY_RUC__VNEXT__dynamic_no_leads__ridge_alpha10p0__ylag__w64,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9798449644222093,,64,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Training-fit R2,0.9049070593246744,0.905,actual;training_fit_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/training_fit_predictions.parquet,current_grid_operational_pooled,Operational pooled MAPE,Training-fit R2 computed as 1 - SSE/SST on fitted training rows only.,This row is never computed from validation forecast rows.,,,,,HEAVY_RUC__VNEXT__schiff__gbr_learning_rate0p08_max_depth1_n_estimators150__noylag__w52,,,HEAVY_RUC__VNEXT__schiff__gbr_learning_rate0p08_max_depth1_n_estimators150__noylag__w52,,,,,,,,,,,,,,,,,,True,,,,,,,training_fit,training_window_fitted_rows,,,0.9049070593246744,,52,,,,,Training-fit R2 is computed from fitted rows inside the rolling training windows. It is not an out-of-sample forecast metric.,available,available,,,,,,,training_fit_pred,actual,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Component validation R2,-2.0085382878790536,-2.009,component_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/component_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Component validation R2 computed from stored out-of-sample component_pred rows.,Component validation R2 is not training-fit R2.,,,,,HEAVY_RUC__VNEXT__dynamic_no_leads__gbr_learning_rate0p05_max_depth1_n_estimators650__ylag__w52,,3.0,,,,,,,,,,,,,,,,,,,True,,,,,,,component_validation,out_of_sample_component_prediction_rows,,,,-2.0085382878790536,126,6.096073336492836e+17,2.026257522150539e+17,-4.703734278367792,5.228941802854153,Valid but poor fit: forecast underperforms the stream mean on these rows.,available,not_training_fit,,,,,,,component_pred,,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Component validation R2,0.35964755574601226,0.360,component_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/component_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Component validation R2 computed from stored out-of-sample component_pred rows.,Component validation R2 is not training-fit R2.,,,,,HEAVY_RUC__VNEXT__dynamic_no_leads__ridge_alpha10p0__ylag__w64,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,component_validation,out_of_sample_component_prediction_rows,,,,0.35964755574601226,126,1.2975189569971262e+17,2.026257522150539e+17,1.0172109098680389,2.6130895768542297,Valid but weak net fit on these rows.,available,not_training_fit,,,,,,,component_pred,,
Diagnostics,r2_training_fit_detail,R2 ladder training-fit and component validation detail,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,,Component validation R2,-0.5529722219425302,-0.553,component_pred,data/dashboard_evidence_pack_reproducibility/heavy_ruc_vnext/component_predictions.parquet,schiff_paper_horizon_mean,Paper-style horizon MAPE,Component validation R2 computed from stored out-of-sample component_pred rows.,Component validation R2 is not training-fit R2.,,,,,HEAVY_RUC__VNEXT__schiff__gbr_learning_rate0p08_max_depth1_n_estimators150__noylag__w52,,2.0,,,,,,,,,,,,,,,,,,,True,,,,,,,component_validation,out_of_sample_component_prediction_rows,,,,-0.5529722219425302,126,3.146721646401888e+17,2.026257522150539e+17,-2.173539771033766,3.470934370761691,Valid but poor fit: forecast underperforms the stream mean on these rows.,available,not_training_fit,,,,,,,component_pred,,
