FY,period,source_path,scenario_name,scenario_role,conventional_light_km,light_bev_km,phev_km,total_light_universe_km,conventional_share,light_bev_share,phev_share,share_sum,conventional_light_revenue,light_bev_revenue,phev_revenue,conventional_light_rate_nzd_per_1000km,light_bev_rate_nzd_per_1000km,phev_rate_nzd_per_1000km,conventional_light_source_cell,light_bev_source_cell,phev_source_cell,conventional_light_revenue_source_cell,light_bev_revenue_source_cell,phev_revenue_source_cell,source_formula,source_file,source_status,model_input_target_million_km,model_input_quarters,model_input_full_year,target_minus_conventional_light_km,target_minus_total_light_universe_km,target_matches_conventional_light,target_matches_total_light_universe,target_semantics_status,business_rule,current_light_total_modelled_km,current_conventional_light_km,current_light_bev_km,current_phev_km,current_allocation_sum_km,current_allocation_residual_km,current_light_ruc_net_revenue,current_light_bev_ruc_net_revenue,current_phev_ruc_net_revenue,old_light_ruc_net_revenue_no_allocation,old_light_bev_ruc_net_revenue_fixed_mbu,old_phev_ruc_net_revenue_fixed_mbu,extrapolated_model_extension,allocation_status,used_by_current_finalist,notes
2001,FY2001,,,,5664.92423,0.0,0.0,5664.92423,1.0,0.0,0.0,1.0,107.952015502222,0.0,0.0,19.056215250070874,,,B5,B7,B9,B28,B30,B32,,data/revenue_model_source_pack/befu26_annual_spine/annual_spine.csv,ACTUAL,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_conventional_anchor_with_exact_vfm_composition,,,,,,,,,,,0.0,0.0,False,business_rule_ready_no_current_forecast_row,False,BEFU26 split/rate row is available; no current-finalist Light RUC row exists for this FY/scenario.
2002,FY2002,,,,6386.274088,0.0,0.0,6386.274088,1.0,0.0,0.0,1.0,127.276975146667,0.0,0.0,19.92977022170474,,,C5,C7,C9,C28,C30,C32,,data/revenue_model_source_pack/befu26_annual_spine/annual_spine.csv,ACTUAL,,2002Q1; 2002Q2,False,,,False,False,model_input_full_year_missing,current_light_ruc_conventional_anchor_with_exact_vfm_composition,,,,,,,,,,,0.0,0.0,False,business_rule_ready_no_current_forecast_row,False,BEFU26 split/rate row is available; no current-finalist Light RUC row exists for this FY/scenario.
2003,FY2003,,,,6049.305779,0.0,0.0,6049.305779,1.0,0.0,0.0,1.0,145.750251191111,0.0,0.0,24.09371529822133,,,D5,D7,D9,D28,D30,D32,,data/revenue_model_source_pack/befu26_annual_spine/annual_spine.csv,ACTUAL,,2002Q3; 2002Q4; 2003Q1; 2003Q2,False,,,False,False,model_input_full_year_missing,current_light_ruc_conventional_anchor_with_exact_vfm_composition,,,,,,,,,,,0.0,0.0,False,business_rule_ready_no_current_forecast_row,False,BEFU26 split/rate row is available; no current-finalist Light RUC row exists for this FY/scenario.
2004,FY2004,,,,6822.401291,0.0,0.0,6822.401291,1.0,0.0,0.0,1.0,164.838043431111,0.0,0.0,24.16129400780963,,,E5,E7,E9,E28,E30,E32,,data/revenue_model_source_pack/befu26_annual_spine/annual_spine.csv,ACTUAL,,2003Q3; 2003Q4; 2004Q1; 2004Q2,False,,,False,False,model_input_full_year_missing,current_light_ruc_conventional_anchor_with_exact_vfm_composition,,,,,,,,,,,0.0,0.0,False,business_rule_ready_no_current_forecast_row,False,BEFU26 split/rate row is available; no current-finalist Light RUC row exists for this FY/scenario.
2005,FY2005,,,,7530.569661,0.0,0.0,7530.569661,1.0,0.0,0.0,1.0,190.062553191111,0.0,0.0,25.238801544513194,,,F5,F7,F9,F28,F30,F32,,data/revenue_model_source_pack/befu26_annual_spine/annual_spine.csv,ACTUAL,,2004Q3; 2004Q4; 2005Q1; 2005Q2,False,,,False,False,model_input_full_year_missing,current_light_ruc_conventional_anchor_with_exact_vfm_composition,,,,,,,,,,,0.0,0.0,False,business_rule_ready_no_current_forecast_row,False,BEFU26 split/rate row is available; no current-finalist Light RUC row exists for this FY/scenario.
2006,FY2006,,,,7030.767248,0.0,0.0,7030.767248,1.0,0.0,0.0,1.0,207.057308142222,0.0,0.0,29.450172483113043,,,G5,G7,G9,G28,G30,G32,,data/revenue_model_source_pack/befu26_annual_spine/annual_spine.csv,ACTUAL,,2005Q3; 2005Q4; 2006Q1; 2006Q2,False,,,False,False,model_input_full_year_missing,current_light_ruc_conventional_anchor_with_exact_vfm_composition,,,,,,,,,,,0.0,0.0,False,business_rule_ready_no_current_forecast_row,False,BEFU26 split/rate row is available; no current-finalist Light RUC row exists for this FY/scenario.
2007,FY2007,,,,7464.686295,0.0,0.0,7464.686295,1.0,0.0,0.0,1.0,224.341670933333,0.0,0.0,30.05373060132502,,,H5,H7,H9,H28,H30,H32,,data/revenue_model_source_pack/befu26_annual_spine/annual_spine.csv,ACTUAL,,2006Q3; 2006Q4; 2007Q1; 2007Q2,False,,,False,False,model_input_full_year_missing,current_light_ruc_conventional_anchor_with_exact_vfm_composition,,,,,,,,,,,0.0,0.0,False,business_rule_ready_no_current_forecast_row,False,BEFU26 split/rate row is available; no current-finalist Light RUC row exists for this FY/scenario.
2008,FY2008,,,,7830.197444,0.0,0.0,7830.197444,1.0,0.0,0.0,1.0,238.367297955556,0.0,0.0,30.442054579122818,,,I5,I7,I9,I28,I30,I32,,data/revenue_model_source_pack/befu26_annual_spine/annual_spine.csv,ACTUAL,,2007Q3; 2007Q4; 2008Q1; 2008Q2,False,,,False,False,model_input_full_year_missing,current_light_ruc_conventional_anchor_with_exact_vfm_composition,,,,,,,,,,,0.0,0.0,False,business_rule_ready_no_current_forecast_row,False,BEFU26 split/rate row is available; no current-finalist Light RUC row exists for this FY/scenario.
2009,FY2009,,,,7549.161403,0.0,0.0,7549.161403,1.0,0.0,0.0,1.0,262.064566702222,0.0,0.0,34.7143944489091,,,J5,J7,J9,J28,J30,J32,,data/revenue_model_source_pack/befu26_annual_spine/annual_spine.csv,ACTUAL,,2008Q3; 2008Q4; 2009Q1; 2009Q2,False,,,False,False,model_input_full_year_missing,current_light_ruc_conventional_anchor_with_exact_vfm_composition,,,,,,,,,,,0.0,0.0,False,business_rule_ready_no_current_forecast_row,False,BEFU26 split/rate row is available; no current-finalist Light RUC row exists for this FY/scenario.
2010,FY2010,,,,7829.25488,0.0,0.0,7829.25488,1.0,0.0,0.0,1.0,287.748778595556,0.0,0.0,36.75302222317688,,,K5,K7,K9,K28,K30,K32,,data/revenue_model_source_pack/befu26_annual_spine/annual_spine.csv,ACTUAL,7829.25488,2009Q3; 2009Q4; 2010Q1; 2010Q2,True,0.0,0.0,True,True,pre_ev_phev_or_zero_split_overlap,current_light_ruc_conventional_anchor_with_exact_vfm_composition,,,,,,,,,,,0.0,0.0,False,business_rule_ready_no_current_forecast_row,False,BEFU26 split/rate row is available; no current-finalist Light RUC row exists for this FY/scenario.
