source_path,FY,period,scenario_name,output_series_id,output_label,formula,observed_value,calculated_value,residual,residual_abs,status,missing_inputs
BEFU26 official,2001,FY2001,befu26_official,gross_fed_revenue,Gross FED,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,989.5585841,989.5585841000001,-1.1368683772161603e-13,1.1368683772161603e-13,reconciled,
BEFU26 official,2001,FY2001,befu26_official,gross_mvr_revenue,Gross MVR,mr1_revenue + mr2_revenue + coo_revenue,180.74,180.74,0.0,0.0,reconciled,
BEFU26 official,2001,FY2001,befu26_official,gross_ruc_revenue,Gross RUC,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,556.677429315556,556.6774293155554,5.684341886080801e-13,5.684341886080801e-13,reconciled,
BEFU26 official,2001,FY2001,befu26_official,mvr_revenue_net_admin_coo,MVR net admin & COO,mr1_revenue + mr2_revenue - mvr_admin_revenue,148.312,148.31199999999998,2.842170943040401e-14,2.842170943040401e-14,reconciled,
BEFU26 official,2001,FY2001,befu26_official,net_fed_revenue,Net FED,gross_fed_revenue - fed_refunds,970.466139655556,970.4661396555556,4.547473508864641e-13,4.547473508864641e-13,reconciled,
BEFU26 official,2001,FY2001,befu26_official,net_mvr_revenue,MVR net admin/refunds/COO,mvr_revenue_net_admin_coo - mvr_refunds,147.893,147.893,0.0,0.0,reconciled,
BEFU26 official,2001,FY2001,befu26_official,ruc_revenue_net_admin,RUC net admin,gross_ruc_revenue - ruc_admin_revenue,546.121429315556,546.1214293155559,1.1368683772161603e-13,1.1368683772161603e-13,reconciled,
BEFU26 official,2001,FY2001,befu26_official,total_admin_fees,Total admin fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,42.984,42.984,0.0,0.0,reconciled,
BEFU26 official,2001,FY2001,befu26_official,total_gross_revenue,Total gross revenues,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,1726.97601341556,1726.9760134155558,4.092726157978177e-12,4.092726157978177e-12,reconciled,
BEFU26 official,2001,FY2001,befu26_official,total_nltf_net_revenue,Total NLTF revenue,total_revenue_net_admin - total_refunds,1641.12412452667,1641.124124526671,-1.1368683772161603e-12,1.1368683772161603e-12,reconciled,
BEFU26 official,2001,FY2001,befu26_official,total_refunds,Total refunds,ruc_refunds + fed_refunds + mvr_refunds,42.8678888888889,42.8678888888888,9.947598300641403e-14,9.947598300641403e-14,reconciled,
BEFU26 official,2001,FY2001,befu26_official,total_revenue_net_admin,Total revenues net of admin fees,total_gross_revenue - total_admin_fees,1683.99201341556,1683.99201341556,0.0,0.0,reconciled,
BEFU26 official,2001,FY2001,befu26_official,total_ruc_net_revenue,RUC net admin/refunds,ruc_revenue_net_admin - ruc_refunds,522.764984871111,522.7649848711117,-6.821210263296962e-13,6.821210263296962e-13,reconciled,
BEFU26 official,2002,FY2002,befu26_official,gross_fed_revenue,Gross FED,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,986.296323,986.2963229999999,1.1368683772161603e-13,1.1368683772161603e-13,reconciled,
