stream,trial_id,candidate_name,loss,model_kind,feature_set,include_target_lags,window,params_json,status,quarterly_mape,annual_mape,quarterly_bias_pct,annual_bias_pct,quarterly_p90_ape,governance_score,mape_h01_04,mape_h05_08,mape_h09_12
PED,1,PED__HPO_trial0001__struct__HPO_Ridge_alpha29_2695__noylag__w40,3.886884180890216,ridge,struct,False,40,"{""alpha"": 29.26951094714971, ""random_state"": 20260521}",ok,3.6594923482660606,3.809760355130909,0.0907781828588729,0.15868199528805677,9.65736740259685,1.0,2.365451242459482,3.809907362439032,5.014736885595452
PED,2,PED__HPO_trial0002__schiff_no_lead__HPO_BayesianRidge__noylag__w52,3.2025663119174324,bayesian_ridge,schiff_no_lead,False,52,{},ok,2.837341864308691,2.976860845966065,0.925257976748872,1.0599115954677,8.931054147419989,1.0,2.051484197348986,2.9584251129885724,3.627797788056412
PED,3,PED__HPO_trial0003__diff__HPO_GBR_learning_rate0_0353663_max_depth2_n_estimators200__ylag__w52,3.070692793754289,gbr,diff,True,52,"{""learning_rate"": 0.0353662708358645, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 200, ""random_state"": 20260523, ""subsample"": 0.85}",ok,2.6624552899846505,2.621125038068798,1.5971547094168936,1.7927486704494442,8.944382860441486,1.0,1.7836887266779609,2.6690064786912107,3.6874821735392938
PED,4,PED__HPO_trial0004__schiff__HPO_BayesianRidge__ylag__w52,3.850696610647252,bayesian_ridge,schiff,True,52,{},ok,3.5895584518473336,3.6160390221607863,0.05673992316576225,0.32386726313315817,10.313782397165896,1.0,1.8981093563435858,3.7343175285938814,5.417794273621387
PED,5,PED__HPO_trial0005__schiff_no_lead__HPO_BayesianRidge__ylag__w40,5.600523901404052,bayesian_ridge,schiff_no_lead,True,40,{},ok,5.382388255889805,5.1333724974079615,-1.4389505257743922,-0.8132291300128016,12.73731489075836,1.0,2.309571174320579,5.581713095510036,8.773420797196579
PED,6,PED__HPO_trial0006__rich__HPO_Ridge_alpha0_0144021__noylag__w52,6.142389203717991,ridge,rich,False,52,"{""alpha"": 0.01440209441753237, ""random_state"": 20260526}",ok,5.729910851935159,5.996795572885138,0.07076737921934907,0.19566770138411782,15.811100739323908,1.0,3.7049043466051694,6.125604743150561,7.675110897975731
PED,7,PED__HPO_trial0007__schiff_no_lead__HPO_Elastic_alpha0_00365161_l1_ratio0_247726__noylag__wexp,3.413150867711003,elastic_net,schiff_no_lead,False,expanding,"{""alpha"": 0.0036516145472021647, ""l1_ratio"": 0.2477259986384934, ""max_iter"": 50000, ""random_state"": 20260527}",ok,3.1143280758994427,3.132185904387967,0.7147179649869363,0.9668941825788254,9.200114056113005,1.0,2.195934923679026,3.3152202468633165,3.9730508293566418
PED,8,PED__HPO_trial0008__struct__HPO_GBR_learning_rate0_0184188_max_depth2_n_estimators460__noylag__w40,3.0685526369376257,gbr,struct,False,40,"{""learning_rate"": 0.018418758468392325, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 460, ""random_state"": 20260528, ""subsample"": 0.75}",ok,2.634392526775798,2.6051425193989886,1.7674802990854197,1.933185567376914,9.00874365177525,1.0,1.7498698275661897,2.7044082421307634,3.5966718185538684
PED,9,PED__HPO_trial0009__struct__HPO_Ridge_alpha0_00690155__ylag__w64,100009.28445852804,ridge,struct,True,64,"{""alpha"": 0.006901548813818125, ""random_state"": 20260529}",ok,9.284458528039446,8.65266592676365,-4.686768054442026,-4.224745944819196,26.828824812608243,1.0,3.381176612471336,9.112349982626393,16.406972042095653
PED,10,PED__HPO_trial0010__schiff__HPO_Ridge_alpha0_0018562__ylag__w52,5.387415099010496,ridge,schiff,True,52,"{""alpha"": 0.0018561979047249208, ""random_state"": 20260530}",ok,5.295879251499646,5.017340053225391,0.16068598737735648,0.7513618314975155,12.341253404761764,1.0,2.2244479935237327,5.296448138380465,8.902969091109819
PED,11,PED__HPO_trial0011__schiff_no_lead__HPO_GBR_learning_rate0_0214589_max_depth1_n_estimators260__noylag__w64,3.1952193472858146,gbr,schiff_no_lead,False,64,"{""learning_rate"": 0.02145886094380446, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 260, ""random_state"": 20260531, ""subsample"": 0.85}",ok,2.7259360538247392,2.678830817626434,1.7004187567178604,1.8869652294553785,9.747033918740405,1.0,1.9498874729636726,2.782353815509302,3.5756942987054416
PED,12,PED__HPO_trial0012__diff__HPO_BayesianRidge__ylag__w64,4.384165469356,bayesian_ridge,diff,True,64,{},ok,4.037680716773578,4.025745190746473,0.7533342238106099,1.3074216381305694,11.68590931359136,1.0,2.294445046671331,4.7348623902414015,5.321710940873363
PED,13,PED__HPO_trial0013__struct__HPO_BayesianRidge__ylag__w52,4.6614748667577635,bayesian_ridge,struct,True,52,{},ok,4.370029604316609,4.325429694748953,-0.49525986216342266,-0.13082743565458774,12.010514878295284,1.0,2.002427304680142,4.407673281280737,7.109793992611429
PED,14,PED__HPO_trial0014__rich__HPO_Elastic_alpha0_152402_l1_ratio0_703346__noylag__w40,6.994057857294819,elastic_net,rich,False,40,"{""alpha"": 0.1524019947321103, ""l1_ratio"": 0.7033461833511983, ""max_iter"": 50000, ""random_state"": 20260534}",ok,6.527754245327573,6.656934823982849,6.51400416764171,6.656934823982849,12.015052881302001,1.0,5.731041548878923,6.485765238242512,7.509563467963594
PED,15,PED__HPO_trial0015__rich__HPO_BayesianRidge__ylag__wexp,4.310971622433462,bayesian_ridge,rich,True,expanding,{},ok,3.92850944308109,4.023929700678616,0.9741254505438149,1.5840795521301114,11.401264969129826,1.0,2.43334941455704,4.589494629074393,4.960793003037309
PED,16,PED__HPO_trial0016__rich__HPO_Elastic_alpha0_00332325_l1_ratio0_776177__noylag__w64,3.5631626588566943,elastic_net,rich,False,64,"{""alpha"": 0.0033232495240710616, ""l1_ratio"": 0.7761769174309225, ""max_iter"": 50000, ""random_state"": 20260536}",ok,3.363212093985604,3.393858180672897,0.27113414034229266,0.4344379295026872,8.870395370127481,1.0,2.224950089414591,3.501093411703402,4.549205386298728
PED,17,PED__HPO_trial0017__rich__HPO_GBR_learning_rate0_114276_max_depth2_n_estimators230__noylag__wexp,3.184114134405716,gbr,rich,False,expanding,"{""learning_rate"": 0.11427647369518369, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 230, ""random_state"": 20260537, ""subsample"": 0.75}",ok,2.732215597201663,2.767782735835669,1.543409084252635,1.7827872424217062,9.471944193957839,1.0,1.7792888411009442,2.8585462577165717,3.7131642380893517
PED,18,PED__HPO_trial0018__schiff_no_lead__HPO_GBR_learning_rate0_0640186_max_depth2_n_estimators700__ylag__wexp,3.104600102613831,gbr,schiff_no_lead,True,expanding,"{""learning_rate"": 0.06401855723702238, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 700, ""random_state"": 20260538, ""subsample"": 0.85}",ok,2.7432323196126784,2.7727439683290664,1.5130653023903768,1.714044384763424,8.409339590379318,1.0,1.742422679053689,2.883805471597777,3.7648254293649535
