FY,period,scenario_name,quarters,availability_status,unavailable_reason,horizon_state,allocation_basis,notes
2001,FY2001,actual,2000Q3; 2000Q4; 2001Q1; 2001Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2002,FY2002,actual,2001Q3; 2001Q4; 2002Q1; 2002Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2003,FY2003,actual,2002Q3; 2002Q4; 2003Q1; 2003Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2004,FY2004,actual,2003Q3; 2003Q4; 2004Q1; 2004Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2005,FY2005,actual,2004Q3; 2004Q4; 2005Q1; 2005Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2006,FY2006,actual,2005Q3; 2005Q4; 2006Q1; 2006Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2007,FY2007,actual,2006Q3; 2006Q4; 2007Q1; 2007Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2008,FY2008,actual,2007Q3; 2007Q4; 2008Q1; 2008Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2009,FY2009,actual,2008Q3; 2008Q4; 2009Q1; 2009Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2010,FY2010,actual,2009Q3; 2009Q4; 2010Q1; 2010Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2011,FY2011,actual,2010Q3; 2010Q4; 2011Q1; 2011Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2012,FY2012,actual,2011Q3; 2011Q4; 2012Q1; 2012Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2013,FY2013,actual,2012Q3; 2012Q4; 2013Q1; 2013Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2014,FY2014,actual,2013Q3; 2013Q4; 2014Q1; 2014Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2015,FY2015,actual,2014Q3; 2014Q4; 2015Q1; 2015Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2016,FY2016,actual,2015Q3; 2015Q4; 2016Q1; 2016Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2017,FY2017,actual,2016Q3; 2016Q4; 2017Q1; 2017Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2018,FY2018,actual,2017Q3; 2017Q4; 2018Q1; 2018Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2019,FY2019,actual,2018Q3; 2018Q4; 2019Q1; 2019Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2020,FY2020,actual,2019Q3; 2019Q4; 2020Q1; 2020Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2021,FY2021,actual,2020Q3; 2020Q4; 2021Q1; 2021Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2022,FY2022,actual,2021Q3; 2021Q4; 2022Q1; 2022Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2023,FY2023,actual,2022Q3; 2022Q4; 2023Q1; 2023Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2024,FY2024,actual,2023Q3; 2023Q4; 2024Q1; 2024Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2025,FY2025,actual,2024Q3; 2024Q4; 2025Q1; 2025Q2,available,,actual_anchor,conventional_anchor_vfm_composition_v1,
2026,FY2026,actual,2025Q3; 2025Q4; 2026Q1; 2026Q2,available,,backtest_supported_h1_h12,conventional_anchor_vfm_composition_v1,
2027,FY2027,actual,2026Q3; 2026Q4; 2027Q1; 2027Q2,available,,backtest_supported_h1_h12,conventional_anchor_vfm_composition_v1,
2028,FY2028,actual,2027Q3; 2027Q4; 2028Q1; 2028Q2,available,,backtest_supported_h1_h12,conventional_anchor_vfm_composition_v1,
2029,FY2029,actual,2028Q3; 2028Q4; 2029Q1; 2029Q2,available,,extended_conditional_evidence_h13_h20,conventional_anchor_vfm_composition_v1,
2030,FY2030,actual,2029Q3; 2029Q4; 2030Q1; 2030Q2,available,,extended_conditional_evidence_h13_h20,conventional_anchor_vfm_composition_v1,
