source_path,scenario_name,scenario_role,series_id,bridge_variant,official_comparator_series_id,start_fy,end_fy,n_rows,correlation_vs_official,slope_vs_official,intercept_vs_official,mean_error,mean_abs_error,rmse,mean_abs_pct_error,shape_anchor_status,notes
Current finalist Base case,current_basecase,basecase,gross_ped_revenue_optimized,optimized,gross_ped_revenue,2026,2030,5,0.9968660268430493,0.5956486632916582,821.4583432622574,-143.98584314390956,147.88402972174063,177.03824072231842,0.05821838128463217,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist Base case,current_basecase,basecase,gross_ped_revenue_raw,raw,gross_ped_revenue,2026,2030,5,0.9988200254098439,0.8107774906361456,469.30152751844844,17.50687515084819,40.840185333044154,51.94514120601148,0.018396539762718586,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist Base case,current_basecase,basecase,optimized_light_petrol_vkt,optimized,light_petrol_vkt,2026,2030,5,-0.8873549854105774,-1.1372639321107383,66787.9780763148,-1828.5000454639667,1888.6118649124605,2218.5500316995317,0.058218381284632095,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist Base case,current_basecase,basecase,raw_light_petrol_vkt,raw,light_petrol_vkt,2026,2030,5,-0.3274956965155487,-0.16630860507184994,37741.83055548286,297.7003847555825,584.6261201743225,774.0972663323968,0.018396539762718628,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist Base case,current_basecase,basecase,ped_volume_optimized,optimized,ped_volume,2026,2030,5,0.4389821026683521,2.401749827859306,-4193.99578022796,-161.73872072516397,167.30565003201747,195.84663636186144,0.05821838128463212,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist Base case,current_basecase,basecase,ped_volume_raw,raw,ped_volume,2026,2030,5,0.5995129718904052,2.1090353132410025,-3162.3341698889517,27.90376142811465,53.12418060912287,71.08455330912243,0.01839653976271861,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,gross_ped_revenue_optimized,optimized,gross_ped_revenue,2026,2030,5,0.9980845226223982,0.6725000519322163,666.0425077726306,-115.90846457799526,120.6038899180594,142.87320554032934,0.04759836151896748,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,gross_ped_revenue_raw,raw,gross_ped_revenue,2026,2030,5,0.9987012300567611,0.8971044046332499,294.28489209566624,48.607568107285076,48.607568107285076,56.343812253741,0.02182382656882507,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,optimized_light_petrol_vkt,optimized,light_petrol_vkt,2026,2030,5,-0.8053138121167401,-0.7274277930400641,53987.755420381756,-1471.0064046153143,1543.4120103092487,1792.7313068705382,0.04759836151896748,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,raw_light_petrol_vkt,raw,light_petrol_vkt,2026,2030,5,0.5605426228988329,0.2956266235103924,23307.143276809416,693.3613983444404,693.3613983444404,837.4151634488559,0.02182382656882518,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,ped_volume_optimized,optimized,ped_volume,2026,2030,5,0.4932532940228705,2.2576659462826347,-3747.875181029518,-130.08811973984956,136.79357121372178,158.30527501474543,0.04759836151896747,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,ped_volume_raw,raw,ped_volume,2026,2030,5,0.7372492907780169,1.9590965354000802,-2695.9981261894472,62.92768121918452,62.92768121918452,76.77045280959874,0.021823826568825148,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
