source_sheet,release_round,release_family,release_year,FY,horizon,series,metric,unit,forecast,raw_actual,crown_top_up,benchmark_actual,error,pct_error,source_cell,source_workbook_sheet,source_workbook_row,value_status,revenue_basis
OBU 2014,OBU14,OBU,2014,2015,1,Heavy RUC net km,Volume,million km,3680.466320716233,3698.793648,0,3698.793648,-18.327327283766863,-0.004954947214661937,J5,Forecast archive,5,forecast_archive,activity
OBU 2014,OBU14,OBU,2014,2016,2,Heavy RUC net km,Volume,million km,3735.584312521211,3716.710068,0,3716.710068,18.87424452121104,0.005078212767714611,J6,Forecast archive,6,forecast_archive,activity
OBU 2014,OBU14,OBU,2014,2017,3,Heavy RUC net km,Volume,million km,3852.08208160504,3842.683587,0,3842.683587,9.398494605040014,0.0024458153767423405,J7,Forecast archive,7,forecast_archive,activity
OBU 2014,OBU14,OBU,2014,2018,4,Heavy RUC net km,Volume,million km,3948.795196774181,4022.092402,0,4022.092402,-73.2972052258192,-0.018223650254621672,J8,Forecast archive,8,forecast_archive,activity
OBU 2014,OBU14,OBU,2014,2019,5,Heavy RUC net km,Volume,million km,4020.502657664671,4071.164816,0,4071.164816,-50.66215833532897,-0.012444143291920454,J9,Forecast archive,9,forecast_archive,activity
OBU 2014,OBU14,OBU,2014,2020,6,Heavy RUC net km,Volume,million km,4106.675928664607,3867.517432,0,3867.517432,239.15849666460736,0.06183772946588424,J10,Forecast archive,10,forecast_archive,activity
OBU 2014,OBU14,OBU,2014,2021,7,Heavy RUC net km,Volume,million km,4195.108441145804,4141.235503,0,4141.235503,53.872938145804255,0.013008904735501649,J11,Forecast archive,11,forecast_archive,activity
OBU 2014,OBU14,OBU,2014,2022,8,Heavy RUC net km,Volume,million km,4284.482087861131,4170.928916,0,4170.928916,113.55317186113098,0.027224911799750985,J12,Forecast archive,12,forecast_archive,activity
OBU 2014,OBU14,OBU,2014,2023,9,Heavy RUC net km,Volume,million km,4372.828557066353,4152.746925,0,4152.746925,220.08163206635254,0.05299663958365402,J13,Forecast archive,13,forecast_archive,activity
OBU 2014,OBU14,OBU,2014,2024,10,Heavy RUC net km,Volume,million km,4460.435968550847,3903.861766,0,3903.861766,556.5742025508471,0.1425701615252447,J14,Forecast archive,14,forecast_archive,activity
MOT summary sheets,BEFU15,BEFU,2015,2015,0,Heavy RUC net km,Volume,million km,3692.827836164428,3698.793648,0,3698.793648,-5.9658118355719125,-0.001612907451270694,J15,Forecast archive,15,forecast_archive,activity
MOT summary sheets,BEFU15,BEFU,2015,2016,1,Heavy RUC net km,Volume,million km,3678.063855958232,3716.710068,0,3716.710068,-38.64621204176774,-0.010397962535335361,J16,Forecast archive,16,forecast_archive,activity
MOT summary sheets,BEFU15,BEFU,2015,2017,2,Heavy RUC net km,Volume,million km,3786.10455590983,3842.683587,0,3842.683587,-56.57903109016979,-0.014723832917594262,J17,Forecast archive,17,forecast_archive,activity
MOT summary sheets,BEFU15,BEFU,2015,2018,3,Heavy RUC net km,Volume,million km,3898.480776174495,4022.092402,0,4022.092402,-123.61162582550514,-0.030733164102355978,J18,Forecast archive,18,forecast_archive,activity
MOT summary sheets,BEFU15,BEFU,2015,2019,4,Heavy RUC net km,Volume,million km,3968.405616086792,4071.164816,0,4071.164816,-102.7591999132078,-0.02524073687937074,J19,Forecast archive,19,forecast_archive,activity
MOT summary sheets,BEFU15,BEFU,2015,2020,5,Heavy RUC net km,Volume,million km,4053.462268062846,3867.517432,0,3867.517432,185.94483606284575,0.04807860322084923,J20,Forecast archive,20,forecast_archive,activity
MOT summary sheets,BEFU15,BEFU,2015,2021,6,Heavy RUC net km,Volume,million km,4140.748885971668,4141.235503,0,4141.235503,-0.48661702833214804,-0.00011750527782823078,J21,Forecast archive,21,forecast_archive,activity
MOT summary sheets,BEFU15,BEFU,2015,2022,7,Heavy RUC net km,Volume,million km,4228.964443034015,4170.928916,0,4170.928916,58.035527034015104,0.013914293003504908,J22,Forecast archive,22,forecast_archive,activity
MOT summary sheets,BEFU15,BEFU,2015,2023,8,Heavy RUC net km,Volume,million km,4316.166132590616,4152.746925,0,4152.746925,163.41920759061577,0.0393520747933889,J23,Forecast archive,23,forecast_archive,activity
MOT summary sheets,BEFU15,BEFU,2015,2024,9,Heavy RUC net km,Volume,million km,4402.638341020157,3903.861766,0,3903.861766,498.776575020157,0.12776491713004906,J24,Forecast archive,24,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2015,0,Heavy RUC net km,Volume,million km,3729.49323897836,3698.793648,0,3698.793648,30.699590978359993,0.008299892856948043,J25,Forecast archive,25,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2016,1,Heavy RUC net km,Volume,million km,3713.513332715318,3716.710068,0,3716.710068,-3.1967352846818358,-0.0008600981045589149,J26,Forecast archive,26,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2017,2,Heavy RUC net km,Volume,million km,3838.672137631632,3842.683587,0,3842.683587,-4.011449368368176,-0.0010439187295928083,J27,Forecast archive,27,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2018,3,Heavy RUC net km,Volume,million km,3954.894250281071,4022.092402,0,4022.092402,-67.19815171892924,-0.01670726204239234,J28,Forecast archive,28,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2019,4,Heavy RUC net km,Volume,million km,4029.053491109904,4071.164816,0,4071.164816,-42.11132489009606,-0.010343802521724304,J29,Forecast archive,29,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2020,5,Heavy RUC net km,Volume,million km,4115.410036707588,3867.517432,0,3867.517432,247.8926047075879,0.06409605362254199,J30,Forecast archive,30,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2021,6,Heavy RUC net km,Volume,million km,4204.030628107095,4141.235503,0,4141.235503,62.79512510709537,0.015163379397671355,J31,Forecast archive,31,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2022,7,Heavy RUC net km,Volume,million km,4293.594355340588,4170.928916,0,4170.928916,122.66543934058791,0.02940962116856846,J32,Forecast archive,32,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2023,8,Heavy RUC net km,Volume,million km,4382.128720455227,4152.746925,0,4152.746925,229.3817954552269,0.055236160449442,J33,Forecast archive,33,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2024,9,Heavy RUC net km,Volume,million km,4469.922456015846,3903.861766,0,3903.861766,566.0606900158464,0.14500018800508072,J34,Forecast archive,34,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2016,1,Heavy RUC net km,Volume,million km,3623.848116628424,3716.710068,0,3716.710068,-92.86195137157574,-0.024984986634038343,J35,Forecast archive,35,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2017,2,Heavy RUC net km,Volume,million km,3724.385524747738,3842.683587,0,3842.683587,-118.29806225226184,-0.03078527273295943,J36,Forecast archive,36,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2018,3,Heavy RUC net km,Volume,million km,3840.813875936267,4022.092402,0,4022.092402,-181.27852606373335,-0.04507070150193266,J37,Forecast archive,37,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2019,4,Heavy RUC net km,Volume,million km,3926.948437222824,4071.164816,0,4071.164816,-144.21637877717603,-0.035423861547042815,J38,Forecast archive,38,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2020,5,Heavy RUC net km,Volume,million km,3995.806885511313,3867.517432,0,3867.517432,128.2894535113128,0.03317100847428392,J39,Forecast archive,39,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2021,6,Heavy RUC net km,Volume,million km,4081.450846807842,4141.235503,0,4141.235503,-59.784656192157854,-0.014436429937116246,J40,Forecast archive,40,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2022,7,Heavy RUC net km,Volume,million km,4169.340166455142,4170.928916,0,4170.928916,-1.5887495448578193,-0.0003809102425033559,J41,Forecast archive,41,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2023,8,Heavy RUC net km,Volume,million km,4258.164839358876,4152.746925,0,4152.746925,105.41791435887535,0.025385104429130445,J42,Forecast archive,42,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2024,9,Heavy RUC net km,Volume,million km,4345.968644144781,3903.861766,0,3903.861766,442.10687814478115,0.1132485996290221,J43,Forecast archive,43,forecast_archive,activity
