release_round,release_family,release_year,FY,horizon,series,value,unit,revenue_basis,scenario,fed_path,value_status,source_sheet,source_label,source_unit,derivation,source_workbook_sheet,source_workbook_row,source_cell
BEFU12,BEFU,2012,2014,2,Heavy RUC revenue,0.07603890886448683,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Heavy RUC (NET),0.02777497821238195,direct,MOT release series,2,D2
BEFU12,BEFU,2012,2015,3,Heavy RUC revenue,0.06568444136482188,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Heavy RUC (NET),0.02777497821238195,direct,MOT release series,3,D3
BEFU12,BEFU,2012,2016,4,Heavy RUC revenue,0.0626701190272898,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Heavy RUC (NET),0.02777497821238195,direct,MOT release series,4,D4
BEFU12,BEFU,2012,2017,5,Heavy RUC revenue,0.05458252534430175,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Heavy RUC (NET),0.02777497821238195,direct,MOT release series,5,D5
BEFU12,BEFU,2012,2018,6,Heavy RUC revenue,0.04621780526602426,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Heavy RUC (NET),0.02777497821238195,direct,MOT release series,6,D6
BEFU12,BEFU,2012,2019,7,Heavy RUC revenue,0.04670549725276851,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Heavy RUC (NET),0.02777497821238195,direct,MOT release series,7,D7
BEFU12,BEFU,2012,2020,8,Heavy RUC revenue,0.04711840793133604,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Heavy RUC (NET),0.02777497821238195,direct,MOT release series,8,D8
BEFU12,BEFU,2012,2021,9,Heavy RUC revenue,0.04779107181961506,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Heavy RUC (NET),0.02777497821238195,direct,MOT release series,9,D9
BEFU12,BEFU,2012,2014,2,Heavy conventional RUC revenue,0.07603890886448683,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,derived from MOT release series,Heavy RUC revenue alias,,alias,MOT release series,10,D10
BEFU12,BEFU,2012,2015,3,Heavy conventional RUC revenue,0.06568444136482188,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,derived from MOT release series,Heavy RUC revenue alias,,alias,MOT release series,11,D11
BEFU12,BEFU,2012,2016,4,Heavy conventional RUC revenue,0.0626701190272898,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,derived from MOT release series,Heavy RUC revenue alias,,alias,MOT release series,12,D12
BEFU12,BEFU,2012,2017,5,Heavy conventional RUC revenue,0.05458252534430175,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,derived from MOT release series,Heavy RUC revenue alias,,alias,MOT release series,13,D13
BEFU12,BEFU,2012,2018,6,Heavy conventional RUC revenue,0.04621780526602426,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,derived from MOT release series,Heavy RUC revenue alias,,alias,MOT release series,14,D14
BEFU12,BEFU,2012,2019,7,Heavy conventional RUC revenue,0.04670549725276851,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,derived from MOT release series,Heavy RUC revenue alias,,alias,MOT release series,15,D15
BEFU12,BEFU,2012,2020,8,Heavy conventional RUC revenue,0.04711840793133604,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,derived from MOT release series,Heavy RUC revenue alias,,alias,MOT release series,16,D16
BEFU12,BEFU,2012,2021,9,Heavy conventional RUC revenue,0.04779107181961506,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,derived from MOT release series,Heavy RUC revenue alias,,alias,MOT release series,17,D17
BEFU12,BEFU,2012,2014,2,Light RUC revenue,0.07602850708226039,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Light RUC (Net),0.0980071918530332,direct,MOT release series,18,D18
BEFU12,BEFU,2012,2015,3,Light RUC revenue,0.06048887643342415,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Light RUC (Net),0.0980071918530332,direct,MOT release series,19,D19
BEFU12,BEFU,2012,2016,4,Light RUC revenue,0.05241896032577609,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Light RUC (Net),0.0980071918530332,direct,MOT release series,20,D20
BEFU12,BEFU,2012,2017,5,Light RUC revenue,0.04606541855043211,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Light RUC (Net),0.0980071918530332,direct,MOT release series,21,D21
BEFU12,BEFU,2012,2018,6,Light RUC revenue,0.03836452524893774,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Light RUC (Net),0.0980071918530332,direct,MOT release series,22,D22
BEFU12,BEFU,2012,2019,7,Light RUC revenue,0.03601937162941238,$m nominal ex GST,nominal_ex_gst,MOT release round,,forecast,BEFU2012,Light RUC (Net),0.0980071918530332,direct,MOT release series,23,D23
