stream,period,period_label,year,quarter,period_index,trend_index,target,log_target,target_lag_1,target_lag_4,log_trend,nominal_gdp_sa_nzd,population,nominal_gdp_per_capita_nzd,gdp_deflator_sa,gdp_rebasing_factor,real_gdp_per_capita_nzd,log_real_gdp_per_capita,petrol_price_nominal_cents_per_litre,cpi_rebasing_factor,real_petrol_price_cents_per_litre,log_real_petrol_price,light_petrol_vkt_total_km,log_total_vkt,unemployment_percent,unemployment_rate,log_unemployment_rate,post_2011_dummy,dummy_2020,post_2020_dummy,q2_dummy,q3_dummy,q4_dummy,post_2011_x_log_trend,data_status,notes,log_target_lag_1,log_target_lag_4,diff_log_target_lag_1_lag_4,real_gdp_sa_nzd,log_real_gdp,diesel_price_nominal_cents_per_litre,real_diesel_price_cents_per_litre,log_real_diesel_price,light_ruc_revenue_nzd,light_ruc_price_nominal_nzd_per_1000km,real_light_ruc_price_nzd_per_1000km,log_real_light_ruc_price,lagged_real_light_ruc_price_nzd_per_1000km,log_lagged_real_light_ruc_price,diesel_x_ruc_price,gdp_x_post2020,ruc_x_post2020,diesel_x_post2020,time_trend,log_real_diesel_price_diff1,log_real_diesel_price_lag1,log_real_diesel_price_lag4,log_real_light_ruc_price_diff1,log_real_light_ruc_price_lag1,log_real_light_ruc_price_lag4,log_real_gdp_diff1,log_real_gdp_lag1,log_real_gdp_lag4,heavy_ruc_revenue_nzd,heavy_ruc_price_nominal_nzd_per_1000km,real_heavy_ruc_price_nzd_per_1000km,log_real_heavy_ruc_price,lead_real_heavy_ruc_price_nzd_per_1000km,log_lead_real_heavy_ruc_price
PED,2002Q1,Mar 2002,2002,1,1,1,1864.090327167367,7.530528452852224,,,0.0,32976000000.0,3935700.0,8378.687399954264,835.0,1.8694610778443115,15663.629977639052,9.659096742021859,97.00000000465596,1.84181568088033,178.65612105396744,5.185462846709036,7336500300.632606,22.716127767589455,5.3,0.053,-2.9374633654300153,0.0,0.0,0.0,0,0,0,0.0,Historical official/source data,No special note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PED,2002Q2,Jun 2002,2002,2,2,2,1854.8369606135454,7.5255520793262844,1864.090327167367,,0.6931471805599453,32897000000.0,3948500.0,8331.518298087882,825.0,1.892121212121212,15764.242500988099,9.665499521410739,106.80000001135113,1.82425068119891,194.8299727727509,5.272127243709035,7323823738.982584,22.714398397246057,5.3,0.053,-2.9374633654300153,0.0,0.0,0.0,1,0,0,0.0,Historical official/source data,No special note,7.530528452852224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PED,2002Q3,Sep 2002,2002,3,3,3,1862.6786036124977,7.529770840213171,1854.8369606135454,,1.0986122886681098,33866000000.0,3967600.0,8535.638673253352,832.0,1.8762019230769231,16014.581693447697,9.681254942029808,104.20000003116299,1.8143631436314362,189.05663962293664,5.242046650709035,7390363627.6929455,22.723442776067145,5.5,0.055,-2.900422093749666,0.0,0.0,0.0,0,1,0,0.0,Historical official/source data,No special note,7.5255520793262844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PED,2002Q4,Dec 2002,2002,4,4,4,1899.288829148161,7.549234794638298,1862.6786036124977,,1.3862943611198906,33950000000.0,3989500.0,8509.838325604713,820.0,1.9036585365853658,16199.826373498725,9.692755803477777,103.6000000372816,1.8045822102425877,186.9547170484098,5.2308664327090355,7577212783.886589,22.74841126236877,5.1,0.051,-2.9759296462578115,0.0,0.0,0.0,0,0,1,0.0,Historical official/source data,No special note,7.529770840213171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PED,2003Q1,Mar 2003,2003,1,5,5,1869.6778960790102,7.5335214469261365,1899.288829148161,1864.090327167367,1.6094379124341003,34462000000.0,4013300.0,8586.948396581367,828.0,1.8852657004830917,16188.679283893132,9.692067467302984,110.19999996458262,1.7973154362416108,198.0641610101693,5.288591023709035,7503578300.333892,22.738645850420642,5.0,0.05,-2.995732273553991,0.0,0.0,0.0,0,0,0,0.0,Historical official/source data,No special note,7.549234794638298,7.530528452852224,0.018706341786074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PED,2003Q2,Jun 2003,2003,2,6,6,1857.878875845643,7.527190726638258,1869.6778960790102,1854.8369606135454,1.791759469228055,34938000000.0,4027200.0,8675.506555423122,836.0,1.8672248803827751,16199.121690209922,9.692712303096991,99.3000000343872,1.7973154362416108,178.4734228805966,5.184439698709036,7482049808.805573,22.735772630001446,4.8,0.048,-3.036554268074246,0.0,0.0,0.0,1,0,0,0.0,Historical official/source data,No special note,7.5335214469261365,7.5255520793262844,0.007969367599852006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PED,2003Q3,Sep 2003,2003,3,7,7,1866.367749332602,7.531749440946161,1857.878875845643,1862.6786036124977,1.9459101490553132,35703000000.0,4044600.0,8827.325322652425,841.0,1.8561236623067776,16384.607406254978,9.704097600287723,106.40000000902234,1.7901069518716577,190.46737969529534,5.249480944709036,7548710998.950642,22.744642657015746,4.5,0.045,-3.101092789211817,0.0,0.0,0.0,0,1,0,0.0,Historical official/source data,No special note,7.527190726638258,7.529770840213171,-0.0025801135749130566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PED,2003Q4,Dec 2003,2003,4,8,8,1902.6144744832498,7.550984258481908,1866.367749332602,1899.288829148161,2.0794415416798357,36381000000.0,4061600.0,8957.307465038408,847.0,1.8429752066115703,16508.095576062522,9.711606180537231,104.19999996942275,1.7758620689655173,185.04482753190592,5.220598106709035,7727658949.561167,22.76807180109723,4.7,0.047,-3.0576076772720784,0.0,0.0,0.0,0,0,1,0.0,Historical official/source data,No special note,7.531749440946161,7.549234794638298,-0.017485353692136663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PED,2004Q1,Mar 2004,2004,1,9,9,1893.0121822433898,7.545924586605092,1902.6144744832498,1869.6778960790102,2.1972245773362196,37466000000.0,4078700.0,9185.76997572756,850.0,1.836470588235294,16869.396390718495,9.733256394859495,109.800000041711,1.7688243064729194,194.216908924506,5.2689756217090356,7721028787.716114,22.767213454761944,4.3,0.043,-3.146555163288575,0.0,0.0,0.0,0,0,0,0.0,Historical official/source data,No special note,7.550984258481908,7.5335214469261365,0.01746281155577112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PED,2004Q2,Jun 2004,2004,2,10,10,1857.5757538064283,7.527027558428657,1893.0121822433898,1857.878875845643,2.302585092994046,38019000000.0,4087500.0,9301.284403669724,862.0,1.8109048723897911,16843.741246088677,9.73173442737854,118.39999998252588,1.7549148099606815,207.7819134686791,5.336489036709035,7592840893.683776,22.7504716526163,4.2,0.042,-3.170085660698769,0.0,0.0,0.0,1,0,0,0.0,Historical official/source data,No special note,7.545924586605092,7.527190726638258,0.018733859966833855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
