scenario_name,stream,june_year,promoted,challenger,pct_delta,analysis
current_basecase,HEAVY_RUC,2026,982103214.6485014,985944819.7959168,0.3911610399106813,challenger_vs_promoted_fy_activity
current_basecase,HEAVY_RUC,2027,4102648453.941279,4121439337.089105,0.45801835957390846,challenger_vs_promoted_fy_activity
current_basecase,HEAVY_RUC,2028,4134717390.8856716,4162760032.6676173,0.6782239057924855,challenger_vs_promoted_fy_activity
current_basecase,HEAVY_RUC,2029,4171784886.308757,4200457930.298311,0.6873087843924042,challenger_vs_promoted_fy_activity
current_basecase,HEAVY_RUC,2030,4205391223.564058,4233471237.156579,0.6677146572043213,challenger_vs_promoted_fy_activity
current_basecase,LIGHT_RUC,2026,3178078226.073193,3131455940.3829985,-1.4669961647797658,challenger_vs_promoted_fy_activity
current_basecase,LIGHT_RUC,2027,12884412921.103954,12730417404.521261,-1.195207864926906,challenger_vs_promoted_fy_activity
current_basecase,LIGHT_RUC,2028,13372423680.284689,13180113770.129154,-1.438108115278025,challenger_vs_promoted_fy_activity
current_basecase,LIGHT_RUC,2029,13833483861.200531,13608094693.347284,-1.629301556388174,challenger_vs_promoted_fy_activity
current_basecase,LIGHT_RUC,2030,14129750867.690172,13928579254.850714,-1.4237449387693557,challenger_vs_promoted_fy_activity
current_comparison_1,HEAVY_RUC,2026,983446096.5759192,987278738.1089728,0.38971546548385305,challenger_vs_promoted_fy_activity
current_comparison_1,HEAVY_RUC,2027,4110916527.9167414,4129925347.977005,0.4623985899780969,challenger_vs_promoted_fy_activity
current_comparison_1,HEAVY_RUC,2028,4142561582.204215,4170891033.6610622,0.6838631338287326,challenger_vs_promoted_fy_activity
current_comparison_1,HEAVY_RUC,2029,4176882628.1913857,4205619635.6810937,0.6880013169570764,challenger_vs_promoted_fy_activity
current_comparison_1,HEAVY_RUC,2030,4210847871.2848167,4238837865.9710183,0.6647116101504036,challenger_vs_promoted_fy_activity
current_comparison_1,LIGHT_RUC,2026,3186509486.201508,3139010332.5236754,-1.4906327404176078,challenger_vs_promoted_fy_activity
current_comparison_1,LIGHT_RUC,2027,12961948272.829243,12800056784.64834,-1.2489749594222554,challenger_vs_promoted_fy_activity
current_comparison_1,LIGHT_RUC,2028,13524331815.170967,13316197042.340895,-1.538965293624317,challenger_vs_promoted_fy_activity
current_comparison_1,LIGHT_RUC,2029,14065104734.83769,13815136665.590818,-1.777221527741124,challenger_vs_promoted_fy_activity
current_comparison_1,LIGHT_RUC,2030,14442855998.77819,14209043362.074331,-1.618880896712116,challenger_vs_promoted_fy_activity
