variant,seed_value_km_per_person,scenario_name,fy,ped_fy_value,engine,selected_value,pct_vs_selected
selected_core_ped_revenue_share,1355.8193183068997,current_basecase,2026,1469.289839720997,ar1,1469.289839720997,0.0
selected_core_ped_revenue_share,1355.8193183068997,current_basecase,2027,1466.6307289977622,ar1,1466.6307289977622,0.0
selected_core_ped_revenue_share,1355.8193183068997,current_basecase,2028,1475.8367086040291,ar1,1475.8367086040291,0.0
selected_core_ped_revenue_share,1355.8193183068997,current_basecase,2029,1472.327513545945,ar1,1472.327513545945,0.0
selected_core_ped_revenue_share,1355.8193183068997,current_basecase,2030,1467.604747682979,ar1,1467.604747682979,0.0
selected_core_ped_revenue_share,1355.8193183068997,current_comparison_1,2026,1469.2195910235725,ar1,1469.2195910235725,0.0
selected_core_ped_revenue_share,1355.8193183068997,current_comparison_1,2027,1465.5644537164794,ar1,1465.5644537164794,0.0
selected_core_ped_revenue_share,1355.8193183068997,current_comparison_1,2028,1473.3439739373052,ar1,1473.3439739373052,0.0
selected_core_ped_revenue_share,1355.8193183068997,current_comparison_1,2029,1468.3251954714915,ar1,1468.3251954714915,0.0
selected_core_ped_revenue_share,1355.8193183068997,current_comparison_1,2030,1461.8547253162728,ar1,1461.8547253162728,0.0
equal_residual_split,1420.9944361436742,current_basecase,2026,1494.543380646406,ar1,1469.289839720997,1.7187582900732856
equal_residual_split,1420.9944361436742,current_basecase,2027,1476.334362236345,ar1,1466.6307289977622,0.6616275690073614
equal_residual_split,1420.9944361436742,current_basecase,2028,1476.6317491757568,ar1,1475.8367086040291,0.0538704971283499
equal_residual_split,1420.9944361436742,current_basecase,2029,1472.3920941825513,ar1,1472.327513545945,0.004386295577041288
equal_residual_split,1420.9944361436742,current_basecase,2030,1467.6099896283258,ar1,1467.604747682979,0.00035717691395653617
equal_residual_split,1420.9944361436742,current_comparison_1,2026,1494.4713477973457,ar1,1469.2195910235725,1.718719034789129
equal_residual_split,1420.9944361436742,current_comparison_1,2027,1475.262515174356,ar1,1465.5644537164794,0.6617287580415576
equal_residual_split,1420.9944361436742,current_comparison_1,2028,1474.1378108542922,ar1,1473.3439739373052,0.05387994460421819
equal_residual_split,1420.9944361436742,current_comparison_1,2029,1468.3896133029648,ar1,1468.3251954714915,0.004387163802133109
equal_residual_split,1420.9944361436742,current_comparison_1,2030,1461.859947877504,ar1,1461.8547253162728,0.0003572558299191897
prior_year_q1q2_seasonal_share,1431.757348409604,current_basecase,2026,1498.6951410295885,ar1,1469.289839720997,2.001327479006809
prior_year_q1q2_seasonal_share,1431.757348409604,current_basecase,2027,1477.9024168983342,ar1,1466.6307289977622,0.7685430066145305
prior_year_q1q2_seasonal_share,1431.757348409604,current_basecase,2028,1476.7595801367092,ar1,1475.8367086040291,0.06253208958009182
prior_year_q1q2_seasonal_share,1431.757348409604,current_basecase,2029,1472.402473555838,ar1,1472.327513545945,0.005091259193568121
prior_year_q1q2_seasonal_share,1431.757348409604,current_basecase,2030,1467.6108320835076,ar1,1467.604747682979,0.0004145803247146418
prior_year_q1q2_seasonal_share,1431.757348409604,current_comparison_1,2026,1498.622817246087,ar1,1469.2195910235725,2.001281932405341
prior_year_q1q2_seasonal_share,1431.757348409604,current_comparison_1,2027,1476.8296702344314,ar1,1465.5644537164794,0.768660599633475
prior_year_q1q2_seasonal_share,1431.757348409604,current_comparison_1,2028,1474.2654482911023,ar1,1473.3439739373052,0.0625430564822338
prior_year_q1q2_seasonal_share,1431.757348409604,current_comparison_1,2029,1468.3999665103197,ar1,1468.3251954714915,0.005092266962303249
prior_year_q1q2_seasonal_share,1431.757348409604,current_comparison_1,2030,1461.8607872173818,ar1,1461.8547253162728,0.0004146719235542662
