candidate,engine,scenario_name,scenario_workbook,scenario_workbook_sha256,stream,replay_origin_latest_history,first_forecast_quarter,ped_seed_used,runtime_refit,scenario_result_reused_from_base
A_strict_accepted_actual,ar1,current_basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED,2025Q4,2026Q1,False,False,False
A_strict_accepted_actual,ar1,current_basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,LIGHT_RUC,2026Q1,2026Q2,False,False,False
A_strict_accepted_actual,ar1,current_basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,HEAVY_RUC,2026Q1,2026Q2,False,False,False
A_strict_accepted_actual,ar1,current_comparison_1,NLTF_forecast_input_template_to_2050Q4_high_population _2_ - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,PED,2025Q4,2026Q1,False,False,False
A_strict_accepted_actual,ar1,current_comparison_1,NLTF_forecast_input_template_to_2050Q4_high_population _2_ - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,LIGHT_RUC,2026Q1,2026Q2,False,False,False
A_strict_accepted_actual,ar1,current_comparison_1,NLTF_forecast_input_template_to_2050Q4_high_population _2_ - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,HEAVY_RUC,2026Q1,2026Q2,False,False,False
B_ped_provisional_replay_only,ar1,current_basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED,2026Q1,2026Q2,True,False,False
B_ped_provisional_replay_only,ar1,current_basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,LIGHT_RUC,2026Q1,2026Q2,False,False,False
B_ped_provisional_replay_only,ar1,current_basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,HEAVY_RUC,2026Q1,2026Q2,False,False,False
B_ped_provisional_replay_only,ar1,current_comparison_1,NLTF_forecast_input_template_to_2050Q4_high_population _2_ - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,PED,2026Q1,2026Q2,True,False,False
B_ped_provisional_replay_only,ar1,current_comparison_1,NLTF_forecast_input_template_to_2050Q4_high_population _2_ - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,LIGHT_RUC,2026Q1,2026Q2,False,False,False
B_ped_provisional_replay_only,ar1,current_comparison_1,NLTF_forecast_input_template_to_2050Q4_high_population _2_ - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,HEAVY_RUC,2026Q1,2026Q2,False,False,False
