sheet,column_index,header,max_row
PED Inputs,1,period,98
PED Inputs,2,period_label,98
PED Inputs,3,year,98
PED Inputs,4,quarter,98
PED Inputs,5,period_index,98
PED Inputs,6,trend_index,98
PED Inputs,7,target,98
PED Inputs,8,log_target,98
PED Inputs,9,target_lag_1,98
PED Inputs,10,target_lag_4,98
PED Inputs,11,log_trend,98
PED Inputs,12,nominal_gdp_sa_nzd,98
PED Inputs,13,population,98
PED Inputs,14,nominal_gdp_per_capita_nzd,98
PED Inputs,15,gdp_deflator_sa,98
PED Inputs,16,gdp_rebasing_factor,98
PED Inputs,17,real_gdp_per_capita_nzd,98
PED Inputs,18,log_real_gdp_per_capita,98
PED Inputs,19,petrol_price_nominal_cents_per_litre,98
PED Inputs,20,cpi_rebasing_factor,98
PED Inputs,21,real_petrol_price_cents_per_litre,98
PED Inputs,22,log_real_petrol_price,98
PED Inputs,23,light_petrol_vkt_total_km,98
PED Inputs,24,log_total_vkt,98
PED Inputs,25,unemployment_percent,98
PED Inputs,26,unemployment_rate,98
PED Inputs,27,log_unemployment_rate,98
PED Inputs,28,post_2011_dummy,98
PED Inputs,29,dummy_2020,98
PED Inputs,30,post_2020_dummy,98
PED Inputs,31,q2_dummy,98
PED Inputs,32,q3_dummy,98
PED Inputs,33,q4_dummy,98
PED Inputs,34,post_2011_x_log_trend,98
PED Inputs,35,log_target_lag_1,98
PED Inputs,36,log_target_lag_4,98
PED Inputs,37,diff_log_target_lag_1_lag_4,98
Light RUC Inputs,1,period,98
Light RUC Inputs,2,period_label,98
Light RUC Inputs,3,year,98
Light RUC Inputs,4,quarter,98
Light RUC Inputs,5,period_index,98
Light RUC Inputs,6,trend_index,98
Light RUC Inputs,7,target,98
Light RUC Inputs,8,log_target,98
Light RUC Inputs,9,target_lag_1,98
Light RUC Inputs,10,target_lag_4,98
Light RUC Inputs,11,log_trend,98
Light RUC Inputs,12,nominal_gdp_sa_nzd,98
Light RUC Inputs,13,gdp_deflator_sa,98
Light RUC Inputs,14,gdp_rebasing_factor,98
Light RUC Inputs,15,real_gdp_sa_nzd,98
Light RUC Inputs,16,log_real_gdp,98
Light RUC Inputs,17,diesel_price_nominal_cents_per_litre,98
Light RUC Inputs,18,cpi_rebasing_factor,98
Light RUC Inputs,19,real_diesel_price_cents_per_litre,98
Light RUC Inputs,20,log_real_diesel_price,98
Light RUC Inputs,21,light_ruc_revenue_nzd,98
Light RUC Inputs,22,light_ruc_price_nominal_nzd_per_1000km,98
Light RUC Inputs,23,real_light_ruc_price_nzd_per_1000km,98
Light RUC Inputs,24,log_real_light_ruc_price,98
Light RUC Inputs,25,lagged_real_light_ruc_price_nzd_per_1000km,98
Light RUC Inputs,26,log_lagged_real_light_ruc_price,98
Light RUC Inputs,27,q2_dummy,98
Light RUC Inputs,28,q3_dummy,98
Light RUC Inputs,29,q4_dummy,98
Light RUC Inputs,30,post_2020_dummy,98
Light RUC Inputs,31,data_status,98
Light RUC Inputs,32,notes,98
Light RUC Inputs,33,log_target_lag_1,98
Light RUC Inputs,34,log_target_lag_4,98
Light RUC Inputs,35,diff_log_target_lag_1_lag_4,98
Light RUC Inputs,36,diesel_x_ruc_price,98
Light RUC Inputs,37,gdp_x_post2020,98
Light RUC Inputs,38,ruc_x_post2020,98
Light RUC Inputs,39,diesel_x_post2020,98
Light RUC Inputs,40,time_trend,98
Light RUC Inputs,41,log_real_diesel_price_diff1,98
Light RUC Inputs,42,log_real_diesel_price_lag1,98
Light RUC Inputs,43,log_real_diesel_price_lag4,98
Light RUC Inputs,44,log_real_light_ruc_price_diff1,98
Light RUC Inputs,45,log_real_light_ruc_price_lag1,98
Light RUC Inputs,46,log_real_light_ruc_price_lag4,98
Light RUC Inputs,47,log_real_gdp_diff1,98
Light RUC Inputs,48,log_real_gdp_lag1,98
Light RUC Inputs,49,log_real_gdp_lag4,98
Heavy RUC Inputs,1,period,98
Heavy RUC Inputs,2,period_label,98
Heavy RUC Inputs,3,year,98
Heavy RUC Inputs,4,quarter,98
Heavy RUC Inputs,5,period_index,98
Heavy RUC Inputs,6,trend_index,98
Heavy RUC Inputs,7,target,98
Heavy RUC Inputs,8,log_target,98
Heavy RUC Inputs,9,target_lag_1,98
Heavy RUC Inputs,10,target_lag_4,98
Heavy RUC Inputs,11,log_trend,98
Heavy RUC Inputs,12,nominal_gdp_sa_nzd,98
Heavy RUC Inputs,13,gdp_deflator_sa,98
Heavy RUC Inputs,14,gdp_rebasing_factor,98
Heavy RUC Inputs,15,real_gdp_sa_nzd,98
Heavy RUC Inputs,16,log_real_gdp,98
Heavy RUC Inputs,17,heavy_ruc_revenue_nzd,98
Heavy RUC Inputs,18,heavy_ruc_price_nominal_nzd_per_1000km,98
Heavy RUC Inputs,19,real_heavy_ruc_price_nzd_per_1000km,98
Heavy RUC Inputs,20,log_real_heavy_ruc_price,98
Heavy RUC Inputs,21,lead_real_heavy_ruc_price_nzd_per_1000km,98
Heavy RUC Inputs,22,log_lead_real_heavy_ruc_price,98
Heavy RUC Inputs,23,q2_dummy,98
Heavy RUC Inputs,24,q3_dummy,98
Heavy RUC Inputs,25,q4_dummy,98
Heavy RUC Inputs,26,data_status,98
Heavy RUC Inputs,27,notes,98
Heavy RUC Inputs,28,real_diesel_price_cents_per_litre,98
Heavy RUC Inputs,29,log_real_diesel_price,98
