calendar_year,light_bev_million_km,phev_million_km,light_ruc_conventional_million_km,light_petrol_million_km,heavy_conventional_million_km,heavy_bev_million_km,conventional_diesel_plus_hybrid,light_ruc_pool_million_km,bev_share_of_pool_base,share_points_added_vs_prior_year,growth_vs_prior_year,headroom_left,taper_law_steepness_x_headroom,bev_share_fast,bev_share_slow,dashboard_dial_curve,midpoint_share_base,growth_on_midpoint_basis,source_row,reconstructed_dial_curve,reconstruction_abs_error,dial_curve_year_offset,dial_peak_uptake_speed_share_points_per_year,dial_curve_ceiling_saturation_share,dial_steepness,dial_midpoint_year_of_fastest_uptake
2015,3.2302841499999992,5.2708395,9075.89603106,30688.235718079995,2978.1538002700004,1.52256679,39764.13174914,9084.397154709999,0.00035558596734459034,,,0.9996136980018788,0.1846135020487192,0.00035558596734459034,0.00035558596734459034,0.014209860343494977,,,110,0.014209860343494977,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2016,9.170723270000003,9.662274819999999,9763.07021426,31885.30118488,3063.218026259999,1.49226663,41648.37139914,9781.90321235,0.0009375193222543481,0.05819333549097578,1.6365475816030144,0.9989814964010851,0.1844967439933258,0.0009375193222543481,0.0009375193222543481,0.017038824862195722,0.0006465526447994692,0.9000556406203344,111,0.017038824862195722,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2017,30.758491249999995,17.564698330000002,10459.12344046,32569.335503109993,3216.9224866,1.50524105,43028.45894356999,10507.44663004,0.002927304066628688,0.198978474437434,2.1223933172808924,0.9968198311691217,0.18409751718248132,0.002927304066628688,0.002927304066628688,0.020418303785919942,0.0019324116944415182,1.0296898689331329,112,0.020418303785919942,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2018,77.27225504,32.69942905,11139.279091880002,32905.24601999,3320.6660677700006,1.68459052,44044.52511187,11249.250775970002,0.006869102358804599,0.3941798292175911,1.346562640045656,0.9925375346324232,0.1833066419053305,0.006869102358804599,0.006869102358804599,0.024449928371246526,0.004898203212716643,0.8047437235642393,113,0.024449928371246526,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2019,132.99624604,52.961042510000006,11466.854661139998,32094.44137451001,3343.41633194,2.7288984099999998,43561.29603565001,11652.811949689998,0.011413231983335843,0.45441296245312435,0.6615317966119287,0.987600876510656,0.18239491595949917,0.011413231983335843,0.011413231983335843,0.029251732061825988,0.009141167171070221,0.49710606309798294,114,0.029251732061825988,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2020,176.57512353000004,73.36651017000001,11474.402808640001,30360.7076483,3259.219986060001,3.4688857000000004,41835.11045694,11724.344442340001,0.015060554080306286,0.36473220969704434,0.31956961028180286,0.9836384934493303,0.1816631238533365,0.015060554080306286,0.015060554080306286,0.034959784390402635,0.013236893031821064,0.27554215994662784,115,0.034959784390402635,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2021,246.53674156000002,103.93969838,11894.05278141,30323.739765439983,3387.92740451,5.747481939999999,42217.79254684998,12244.52922135,0.02013444021433913,0.5073886134032843,0.3368990348547427,0.9781263176836401,0.18064510851996696,0.02013444021433913,0.02013444021433913,0.04172952801896237,0.017597497147322706,0.28832998758603506,116,0.04172952801896237,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2022,467.81418303000004,206.95540396999996,12325.522796640002,30632.379139000004,3448.4778777299985,10.8337392,42957.90193564001,13000.292383640002,0.03598489704883198,1.5850456834492852,0.7872310660618538,0.9609066754350338,0.1774649015401149,0.03598489704883198,0.03598489704883198,0.04973656105906505,0.028059668631585558,0.5648839636206778,117,0.04973656105906505,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2023,723.1875533100002,342.55568788000016,12840.95339562,31657.405970660013,3526.3742211500007,20.625778860000004,44498.35936628001,13906.69663681,0.05200282800415565,1.6017930955323667,0.44512927002645375,0.9435050924085233,0.17425109285568288,0.05271473552999821,0.04989669632427122,0.05917651624915047,0.043993862526493815,0.3640946721983643,118,0.05917651624915047,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2024,962.43820055,457.85591507,12974.83109451,31816.63848567,3584.3351726699984,28.734827340000002,44791.46958018,14395.12521013,0.0668586196021916,1.4855791598035948,0.28567276373601813,0.9273660360198551,0.17127045370915112,0.06878902880383657,0.06134802866631591,0.0702635890547323,0.05943072380317362,0.24996820915788076,119,0.0702635890547323,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
