composition_source,composition_role,fy,hybrid_pool_million_km,conventional_share,bev_share,phev_share,conventional_million_km,light_bev_million_km,phev_million_km,raw_share_sum,class_sum_million_km,class_sum_minus_pool
exact_VFM_Base_EV,production_default,2031,20144.142612856624,0.694056,0.199459,0.106485,13981.163045308816,4017.9305414177693,2145.0490261300374,1.0,20144.142612856624,0.0
exact_VFM_Base_EV,production_default,2032,21053.78259611388,0.655046,0.227075,0.117879,13791.196074454014,4780.78768301256,2481.798838647308,1.0,21053.78259611388,0.0
exact_VFM_Base_EV,production_default,2033,22033.617813398785,0.614952614952615,0.2568372568372568,0.1282101282101282,13549.630891216102,5659.05395739386,2824.9329647888226,0.9999990000000001,22033.617813398785,0.0
exact_VFM_Base_EV,production_default,2034,23137.86711382702,0.573192,0.290136,0.136672,13262.440326708736,6713.128212937316,3162.298574180966,1.0,23137.867113827022,3.637978807091713e-12
exact_VFM_Base_EV,production_default,2035,24377.174605817723,0.530272,0.327151,0.142577,12926.533132576174,7975.017049467874,3475.6244237736737,1.0,24377.174605817723,0.0
exact_VFM_Base_EV,production_default,2036,25718.707199756078,0.48761,0.36751,0.14488,12540.698817673061,9451.882082982356,3726.1262991006606,1.0,25718.707199756078,0.0
exact_VFM_Base_EV,production_default,2037,27169.46631759025,0.445254,0.411012,0.143734,12097.313555772329,11166.976690125404,3905.176071692517,1.0,27169.46631759025,0.0
exact_VFM_Base_EV,production_default,2038,28722.090543516646,0.403268,0.45657,0.140162,11582.700009302871,13113.644879453394,4025.7456547603806,1.0,28722.090543516642,-3.637978807091713e-12
exact_VFM_Base_EV,production_default,2039,30456.870040401518,0.361796,0.503171,0.135033,11019.173753137107,15325.013755098873,4112.682532165538,1.0,30456.870040401518,0.0
exact_VFM_Base_EV,production_default,2040,32343.321405427385,0.322306,0.550009,0.127685,10424.446548897678,17789.11786287771,4129.756993651996,1.0,32343.321405427385,0.0
exact_VFM_Base_EV,production_default,2041,34296.56249060911,0.286889,0.594783,0.118328,9839.306516368357,20399.012327851957,4058.243646388795,1.0,34296.56249060911,0.0
exact_VFM_Base_EV,production_default,2042,36397.930282454894,0.256141,0.635098,0.108761,9323.002260478279,23116.25272652654,3958.6752954500766,1.0,36397.930282454894,0.0
exact_VFM_Base_EV,production_default,2043,38373.41374887874,0.22978322978322976,0.6702736702736704,0.09994309994309995,8817.566949025553,25720.688874391075,3835.1579254621133,0.999999,38373.41374887874,0.0
exact_VFM_Base_EV,production_default,2044,40176.851237332696,0.207647,0.700139,0.092214,8342.602628878421,28129.380448454875,3704.8681599993974,1.0,40176.85123733269,-7.275957614183426e-12
exact_VFM_Base_EV,production_default,2045,41904.54450962943,0.188746,0.72598,0.085274,7909.315158014516,30421.861223100772,3573.36812851414,1.0,41904.54450962943,0.0
exact_VFM_Base_EV,production_default,2046,43729.34359895682,0.171777,0.749417,0.078806,7511.695455398006,32771.51349189942,3446.134651659391,1.0,43729.34359895682,0.0
exact_VFM_Base_EV,production_default,2047,45542.70301892691,0.156516,0.770567,0.072917,7128.161705710364,35093.70403718545,3320.8372760310936,1.0,45542.70301892691,0.0
exact_VFM_Base_EV,production_default,2048,47447.02924651576,0.14263,0.789759,0.067611,6767.369781430543,37471.71837069904,3207.941094386177,1.0,47447.02924651576,0.0
exact_VFM_Base_EV,production_default,2049,49175.19969073982,0.13039,0.806719,0.062891,6411.954287675566,39670.56791931394,3092.677483750318,1.0,49175.19969073982,0.0
exact_VFM_Base_EV,production_default,2050,50615.706685708654,0.119794,0.821498,0.058708,6063.457966707782,41580.70181089629,2971.546908104584,1.0,50615.706685708654,0.0
exact_VFM_Fast_EV,governed_alternative,2031,20144.142612856624,0.644526,0.228373,0.127101,12983.423661694029,4600.3782809259055,2560.3406702366897,1.0,20144.142612856624,0.0
exact_VFM_Fast_EV,governed_alternative,2032,21053.78259611388,0.5990584009415991,0.26164173835826166,0.1392998607001393,12612.44533580005,5508.5482774641505,2932.7889828496814,1.000001,21053.78259611388,0.0
exact_VFM_Fast_EV,governed_alternative,2033,22033.617813398785,0.553243,0.297176,0.149581,12189.944819938184,6547.8624073145975,3295.8105861460035,1.0,22033.617813398785,0.0
exact_VFM_Fast_EV,governed_alternative,2034,23137.86711382702,0.506409,0.336032,0.157559,11717.224147246026,7775.0637619935205,3645.5792045874714,1.0,23137.867113827015,-3.637978807091713e-12
exact_VFM_Fast_EV,governed_alternative,2035,24377.174605817723,0.459004,0.378044,0.162952,11189.22065276876,9215.644596681756,3972.30935636721,1.0,24377.174605817723,0.0
