engine,source_path,series_id,FY,value,unit,formula,value_status,forecast_segment,baseline_segment,source_basis,baseline_block,scenario_name,scenario_role,time_grain,period,june_year,row_type,official_vintage_id
official,,coo_revenue,2001,5.9269999999999996,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2002,6.1539999999999999,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2003,6.3789999999999996,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2004,6.7160000000000002,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2005,6.7619999999999996,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2006,6.9279999999999999,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2007,7.056,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2008,7.0359999999999996,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2009,6.6399999999999997,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2010,6.6230000000000002,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2011,6.5860000000000003,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2012,6.6210000000000004,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2013,6.8708100695652101,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2014,6.9186600956521698,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2015,7.1702620521739098,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2016,7.5533094956521696,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2017,7.6633716608695597,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2018,7.7860971826086898,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2019,7.8632394869565196,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2020,7.4982293130434803,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2021,8.3008999217391306,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2022,7.4458383217391297,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2023,7.6338024956521799,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2024,1.9597767478260899,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2025,-9.6452173913043394e-05,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2026,0,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2027,0,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2028,0,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2029,0,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2030,0,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2031,0,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2032,0,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
official,,coo_revenue,2033,0,,,,,,,official_vintage_official_annual,,,,,,,BEFU26
