fy,candidate_id,u,w,model_weight,structural_weight,anchor_fy,completion_fy,formula_id
2030,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2031,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2032,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2033,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2034,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2035,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2036,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2037,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2038,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2039,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2040,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2041,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2042,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2043,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2044,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2045,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2046,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2047,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2048,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2049,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2050,unblended_current,0.0,0.0,1.0,0.0,2030,,constant_zero_v1
2030,early_structural,0.0,0.0,1.0,0.0,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2031,early_structural,0.1,0.028000000000000004,0.972,0.028000000000000004,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2032,early_structural,0.2,0.10400000000000002,0.896,0.10400000000000002,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2033,early_structural,0.3,0.21600000000000003,0.784,0.21600000000000003,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2034,early_structural,0.4,0.3520000000000001,0.6479999999999999,0.3520000000000001,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2035,early_structural,0.5,0.5,0.5,0.5,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2036,early_structural,0.6,0.6480000000000001,0.35199999999999987,0.6480000000000001,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2037,early_structural,0.7,0.7839999999999999,0.21600000000000008,0.7839999999999999,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2038,early_structural,0.8,0.8960000000000001,0.10399999999999987,0.8960000000000001,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2039,early_structural,0.9,0.972,0.028000000000000025,0.972,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2040,early_structural,1.0,1.0,0.0,1.0,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2041,early_structural,1.0,1.0,0.0,1.0,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2042,early_structural,1.0,1.0,0.0,1.0,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2043,early_structural,1.0,1.0,0.0,1.0,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2044,early_structural,1.0,1.0,0.0,1.0,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2045,early_structural,1.0,1.0,0.0,1.0,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2046,early_structural,1.0,1.0,0.0,1.0,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2047,early_structural,1.0,1.0,0.0,1.0,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2048,early_structural,1.0,1.0,0.0,1.0,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2049,early_structural,1.0,1.0,0.0,1.0,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2050,early_structural,1.0,1.0,0.0,1.0,2030,2040,cubic_smoothstep_3u2_minus_2u3_v1
2030,balanced_structural,0.0,0.0,1.0,0.0,2030,2045,cubic_smoothstep_3u2_minus_2u3_v1
