page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
Diagnostics,diagnostics_error_distribution_by_horizon,4. Error Distribution by Horizon,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,Absolute percentage error,0.8758306554587374,0.88%,abs_error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Absolute percentage error grouped by stream and horizon bucket after central error-window trimming.,,1,,,,,,,,,,,,,,,,,0.8758306554587374,1-4 qtrs,,,,,,,,,,
Diagnostics,diagnostics_error_distribution_by_horizon,4. Error Distribution by Horizon,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,Absolute percentage error,0.3005298221413996,0.30%,abs_error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Absolute percentage error grouped by stream and horizon bucket after central error-window trimming.,,2,,,,,,,,,,,,,,,,,0.3005298221413996,1-4 qtrs,,,,,,,,,,
Diagnostics,diagnostics_error_distribution_by_horizon,4. Error Distribution by Horizon,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,Absolute percentage error,0.1733904799284782,0.17%,abs_error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Absolute percentage error grouped by stream and horizon bucket after central error-window trimming.,,3,,,,,,,,,,,,,,,,,0.1733904799284782,1-4 qtrs,,,,,,,,,,
Diagnostics,diagnostics_error_distribution_by_horizon,4. Error Distribution by Horizon,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,Absolute percentage error,0.3953798641933738,0.40%,abs_error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Absolute percentage error grouped by stream and horizon bucket after central error-window trimming.,,4,,,,,,,,,,,,,,,,,0.3953798641933738,1-4 qtrs,,,,,,,,,,
Diagnostics,diagnostics_error_distribution_by_horizon,4. Error Distribution by Horizon,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,Absolute percentage error,0.2045498666121494,0.20%,abs_error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Absolute percentage error grouped by stream and horizon bucket after central error-window trimming.,,5,,,,,,,,,,,,,,,,,0.2045498666121494,5-8 qtrs,,,,,,,,,,
Diagnostics,diagnostics_error_distribution_by_horizon,4. Error Distribution by Horizon,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,Absolute percentage error,0.1698040467473739,0.17%,abs_error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Absolute percentage error grouped by stream and horizon bucket after central error-window trimming.,,6,,,,,,,,,,,,,,,,,0.1698040467473739,5-8 qtrs,,,,,,,,,,
Diagnostics,diagnostics_error_distribution_by_horizon,4. Error Distribution by Horizon,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,Absolute percentage error,0.0628611469863535,0.06%,abs_error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Absolute percentage error grouped by stream and horizon bucket after central error-window trimming.,,7,,,,,,,,,,,,,,,,,0.0628611469863535,5-8 qtrs,,,,,,,,,,
Diagnostics,diagnostics_error_distribution_by_horizon,4. Error Distribution by Horizon,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,Absolute percentage error,0.0449823165857947,0.04%,abs_error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Absolute percentage error grouped by stream and horizon bucket after central error-window trimming.,,8,,,,,,,,,,,,,,,,,0.0449823165857947,5-8 qtrs,,,,,,,,,,
Diagnostics,diagnostics_error_distribution_by_horizon,4. Error Distribution by Horizon,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,Absolute percentage error,0.3852099142989803,0.39%,abs_error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Absolute percentage error grouped by stream and horizon bucket after central error-window trimming.,,9,,,,,,,,,,,,,,,,,0.3852099142989803,9-12 qtrs,,,,,,,,,,
Diagnostics,diagnostics_error_distribution_by_horizon,4. Error Distribution by Horizon,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,Absolute percentage error,0.4477335088405462,0.45%,abs_error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Absolute percentage error grouped by stream and horizon bucket after central error-window trimming.,,10,,,,,,,,,,,,,,,,,0.4477335088405462,9-12 qtrs,,,,,,,,,,
Diagnostics,diagnostics_error_distribution_by_horizon,4. Error Distribution by Horizon,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,Absolute percentage error,0.0197048060485061,0.02%,abs_error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Absolute percentage error grouped by stream and horizon bucket after central error-window trimming.,,11,,,,,,,,,,,,,,,,,0.0197048060485061,9-12 qtrs,,,,,,,,,,
Diagnostics,diagnostics_error_distribution_by_horizon,4. Error Distribution by Horizon,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,Absolute percentage error,0.0873382466979796,0.09%,abs_error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Absolute percentage error grouped by stream and horizon bucket after central error-window trimming.,,12,,,,,,,,,,,,,,,,,0.0873382466979796,9-12 qtrs,,,,,,,,,,
