page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Heavy RUC volume,,,Residual ACF,0.7577997765264367,0.758,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,1,0.7577997765264367,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Heavy RUC volume,,,Residual ACF,0.6125943574481678,0.613,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,2,0.6125943574481678,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Heavy RUC volume,,,Residual ACF,0.5243170693155095,0.524,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,3,0.5243170693155095,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Heavy RUC volume,,,Residual ACF,0.4353686697462971,0.435,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,4,0.4353686697462971,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Heavy RUC volume,,,Residual ACF,0.37436325540422954,0.374,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,5,0.37436325540422954,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Heavy RUC volume,,,Residual ACF,0.24899755795227504,0.249,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,6,0.24899755795227504,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Heavy RUC volume,,,Residual ACF,0.1906627687169659,0.191,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,7,0.1906627687169659,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Heavy RUC volume,,,Residual ACF,0.16868774589724156,0.169,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,8,0.16868774589724156,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Heavy RUC volume,,,Residual ACF,0.20965723444881168,0.210,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,9,0.20965723444881168,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Heavy RUC volume,,,Residual ACF,0.21137396918211962,0.211,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,10,0.21137396918211962,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Heavy RUC volume,,,Residual ACF,0.15049028881976798,0.150,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,11,0.15049028881976798,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Heavy RUC volume,,,Residual ACF,0.0739479751299732,0.074,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,12,0.0739479751299732,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Light RUC volume,,,Residual ACF,0.48395528764946444,0.484,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,1,0.48395528764946444,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Light RUC volume,,,Residual ACF,0.18308201698863266,0.183,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,2,0.18308201698863266,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Light RUC volume,,,Residual ACF,0.1722547951425755,0.172,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,3,0.1722547951425755,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Light RUC volume,,,Residual ACF,0.2790110301764727,0.279,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,4,0.2790110301764727,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Light RUC volume,,,Residual ACF,0.05719807096596596,0.057,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,5,0.05719807096596596,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Light RUC volume,,,Residual ACF,0.1124607453808447,0.112,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,6,0.1124607453808447,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Light RUC volume,,,Residual ACF,0.16213714129616005,0.162,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,7,0.16213714129616005,,,,,,,,,,,,,,,,,,
Diagnostics,diagnostics_residual_autocorrelation,1. Residual Autocorrelation by Lag,,Light RUC volume,,,Residual ACF,0.2306692531813381,0.231,error_pct,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,pandas Series.autocorr on mean signed forecast error percentage by lag,"All selected quarterly prediction residuals, averaged by target period",,,,,,,,,,8,0.2306692531813381,,,,,,,,,,,,,,,,,,
