page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RESCUE_static_q_top25_cap0p6,Heavy Rescue Static Q Top25 Cap0p6,Candidate frontier point,2.713681770934347,Qtr 2.71% / Annual 1.55%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,2.713681770934347,1.545207254074279,,,,,Distribution sample,2.713681770934347,1.545207254074279,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RESCUE_static_q_top25_capnone,Heavy Rescue Static Q Top25 Capnone,Candidate frontier point,2.713681770934343,Qtr 2.71% / Annual 1.55%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,2.713681770934343,1.5452072540741706,,,,,Frontier candidate,2.713681770934343,1.5452072540741706,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RESCUE_static_stress_aware_top25_capnone,Heavy Rescue Static Stress Aware Top25 Capnone,Candidate frontier point,2.7183774422450826,Qtr 2.72% / Annual 1.53%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,2.7183774422450826,1.5303675728921895,,,,,Distribution sample,2.7183774422450826,1.5303675728921895,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__PDF_REFERENCE_FINALIST,Previous Pdf/reference Finalist,Candidate frontier point,3.27657,Qtr 3.28% / Annual 2.44%,quarterly_mape;annual_mape,derived_reference,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,3.27657,2.445,,,,,PDF reference,3.27657,2.445,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Candidate frontier point,3.484367565681976,Qtr 3.48% / Annual 3.02%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,3.484367565681976,3.0199801790589795,,,,,Selected finalist,3.484367565681976,3.0199801790589795,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__PDF_REFERENCE_FINALIST,Previous Pdf/reference Finalist,Candidate frontier point,3.8,Qtr 3.80% / Annual 3.07%,quarterly_mape;annual_mape,derived_reference,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,3.8,3.07,,,,,PDF reference,3.8,3.07,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__PDF_REFERENCE_FINALIST,Previous Pdf/reference Finalist,Candidate frontier point,3.8,Qtr 3.80% / Annual 3.07%,quarterly_mape;annual_mape,derived_reference,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,3.8,3.07,,,,,PDF reference,3.8,3.07,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__PDF_REFERENCE_FINALIST,Previous Pdf/reference Finalist,Candidate frontier point,3.8,Qtr 3.80% / Annual 3.07%,quarterly_mape;annual_mape,derived_reference,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,3.8,3.07,,,,,PDF reference,3.8,3.07,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__PDF_REFERENCE_FINALIST,Previous Pdf/reference Finalist,Candidate frontier point,3.8,Qtr 3.80% / Annual 3.07%,quarterly_mape;annual_mape,derived_reference,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,3.8,3.07,,,,,PDF reference,3.8,3.07,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__PDF_REFERENCE_FINALIST,Previous Pdf/reference Finalist,Candidate frontier point,3.8,Qtr 3.80% / Annual 3.07%,quarterly_mape;annual_mape,derived_reference,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,3.8,3.07,,,,,PDF reference,3.8,3.07,,,,,,,
