page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Horizon MAPE,2.775199949986987,2.78%,mape_h01,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,1,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Horizon MAPE,2.752881066535021,2.75%,mape_h02,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,2,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Horizon MAPE,2.914943710824301,2.91%,mape_h03,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,3,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Horizon MAPE,2.7669300984679293,2.77%,mape_h04,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,4,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Horizon MAPE,3.3466637119641165,3.35%,mape_h05,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,5,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Horizon MAPE,3.372622071073746,3.37%,mape_h06,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,6,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Horizon MAPE,3.601792016259141,3.60%,mape_h07,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,7,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Horizon MAPE,3.876833386557584,3.88%,mape_h08,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,8,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Horizon MAPE,4.243017051329121,4.24%,mape_h09,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,9,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Horizon MAPE,4.007454473435774,4.01%,mape_h10,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,10,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Horizon MAPE,4.357404572622521,4.36%,mape_h11,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,11,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_horizon_comparison,3. Horizon Comparison,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Horizon MAPE,4.482548625044978,4.48%,mape_h12,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Parquet candidate horizon fields,,12,,Finalist,Finalist,,,,,,,,,,,,,,,,,,,,,,,,,
