page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
Scenario Comparison,scenario_stream_comparison,1. Stream Comparison: Scenario A vs Scenario B,PED,PED VKT per capita,PED__RESCUE_static_annual_weighted_top12_capnone,,Quarterly MAPE,2.4732445831169696,2.47%,finalist_quarterly_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Scenario A current finalist versus Scenario B pure Schiff full-sample MAPE.,,,,Scenario A,Scenario A,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_stream_comparison,1. Stream Comparison: Scenario A vs Scenario B,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w64,,Quarterly MAPE,3.082117232079539,3.08%,schiff_quarterly_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Scenario A current finalist versus Scenario B pure Schiff full-sample MAPE.,,,,Scenario B,Scenario B,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_stream_comparison,1. Stream Comparison: Scenario A vs Scenario B,PED,PED VKT per capita,PED__RESCUE_static_annual_weighted_top12_capnone,,Annual MAPE,2.3856249442030424,2.39%,finalist_annual_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Scenario A current finalist versus Scenario B pure Schiff full-sample MAPE.,,,,Scenario A,Scenario A,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_stream_comparison,1. Stream Comparison: Scenario A vs Scenario B,PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w64,,Annual MAPE,2.965757956236625,2.97%,schiff_annual_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Scenario A current finalist versus Scenario B pure Schiff full-sample MAPE.,,,,Scenario B,Scenario B,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_stream_comparison,1. Stream Comparison: Scenario A vs Scenario B,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,,Quarterly MAPE,3.484367565681976,3.48%,finalist_quarterly_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Scenario A current finalist versus Scenario B pure Schiff full-sample MAPE.,,,,Scenario A,Scenario A,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_stream_comparison,1. Stream Comparison: Scenario A vs Scenario B,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,,Quarterly MAPE,11.48264346093783,11.48%,schiff_quarterly_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Scenario A current finalist versus Scenario B pure Schiff full-sample MAPE.,,,,Scenario B,Scenario B,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_stream_comparison,1. Stream Comparison: Scenario A vs Scenario B,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,,Annual MAPE,3.0199801790589795,3.02%,finalist_annual_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Scenario A current finalist versus Scenario B pure Schiff full-sample MAPE.,,,,Scenario A,Scenario A,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_stream_comparison,1. Stream Comparison: Scenario A vs Scenario B,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,,Annual MAPE,11.717803544852805,11.72%,schiff_annual_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Scenario A current finalist versus Scenario B pure Schiff full-sample MAPE.,,,,Scenario B,Scenario B,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_stream_comparison,1. Stream Comparison: Scenario A vs Scenario B,LIGHT_RUC,Light RUC volume,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,,Quarterly MAPE,9.14754535409187,9.15%,finalist_quarterly_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Scenario A current finalist versus Scenario B pure Schiff full-sample MAPE.,,,,Scenario A,Scenario A,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Comparison,scenario_stream_comparison,1. Stream Comparison: Scenario A vs Scenario B,LIGHT_RUC,Light RUC volume,LIGHT_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,,Quarterly MAPE,11.546786315968834,11.55%,schiff_quarterly_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,Scenario A current finalist versus Scenario B pure Schiff full-sample MAPE.,,,,Scenario B,Scenario B,,,,,,,,,,,,,,,,,,,,,,,,,
