file,tests,total_seconds,share_pct,mean_seconds,max_seconds
tests/test_view_invariant_sweep.py,10,735.04,29.334,73.504,377.367
tests/test_revenue_outlook_policy_runtime.py,52,264.31,10.548,5.083,121.749
tests/test_revenue_outlook_vfm_envelope.py,38,140.39,5.603,3.695,24.757
tests/test_fuel_price_scenario.py,32,131.0,5.228,4.094,55.373
tests/test_revenue_outlook_replay_cache.py,25,130.18,5.195,5.207,56.427
tests/test_streamlit_smoke.py,39,91.49,3.651,2.346,18.823
tests/test_scenario_comparison.py,26,85.24,3.402,3.278,22.624
tests/test_view_performance_caches.py,12,84.14,3.358,7.012,46.988
tests/test_revenue_outlook_ped_activity_2050.py,34,63.96,2.552,1.881,4.939
tests/test_quarterly_disaggregation.py,13,59.26,2.365,4.559,57.568
tests/test_revenue_source_app_views.py,26,57.21,2.283,2.2,15.612
tests/test_revenue_source_pack.py,22,45.38,1.811,2.063,5.42
tests/test_vfm_long_run_composition.py,96,39.77,1.587,0.414,10.817
tests/test_fleet_mix.py,11,37.63,1.502,3.421,18.213
tests/test_official_vintage_role_independence.py,28,37.46,1.495,1.338,36.382
tests/test_revenue_outlook.py,20,36.18,1.444,1.809,11.073
tests/test_engine_switcher.py,13,33.98,1.356,2.614,7.496
tests/test_revenue_outlook_excel_extract.py,17,33.76,1.347,1.986,9.283
tests/test_revenue_outlook_ui_slim_2050.py,47,33.66,1.343,0.716,9.439
tests/test_forecast_runner.py,21,29.02,1.158,1.382,9.508
tests/test_anchored_shape_preview_behaviour.py,34,25.82,1.031,0.759,12.314
tests/test_canonical_base_composition.py,19,24.84,0.991,1.307,4.613
tests/test_eruc_transition.py,6,24.12,0.963,4.02,24.086
tests/test_revenue_outlook_series_coverage.py,51,23.29,0.929,0.457,9.958
tests/test_direct_treasury_scenario_replay.py,15,22.96,0.916,1.531,7.133
tests/test_anchored_shape_conflict_convergence.py,15,21.07,0.841,1.405,16.142
tests/test_official_vintage_runtime_genericity.py,19,19.86,0.792,1.045,6.434
tests/test_fleet_allocation_runtime_semantics.py,9,18.91,0.755,2.101,9.53
tests/test_revenue_outlook_workshop_integration.py,77,15.48,0.618,0.201,2.054
tests/test_revenue_chart_layers.py,19,14.93,0.596,0.786,14.704
tests/test_revenue_outlook_long_run_sensitivities.py,60,14.27,0.57,0.238,1.391
tests/test_net_revenue_timing_comparison.py,9,13.45,0.537,1.495,5.506
tests/test_revenue_uncertainty_basis.py,11,8.84,0.353,0.804,4.435
tests/test_streamlit_cloud_import_surface.py,17,8.2,0.327,0.482,2.178
tests/test_actuals_refresh_ingestion.py,30,6.16,0.246,0.205,1.081
tests/test_vnext_parity.py,21,6.05,0.241,0.288,2.828
tests/test_light_ruc_reproducibility_pack.py,20,5.88,0.235,0.294,2.214
tests/test_official_vintage_plug_and_play.py,17,5.17,0.206,0.304,0.84
tests/test_revenue_uncertainty_draws.py,20,4.6,0.183,0.23,4.482
tests/test_performance_budget.py,4,4.46,0.178,1.116,3.51
tests/test_production_completeness_boundary.py,8,3.07,0.123,0.384,0.654
tests/test_latest_arbitration_values.py,4,3.05,0.122,0.762,0.795
tests/test_forward_scorer_governance.py,7,3.03,0.121,0.433,2.932
tests/test_scenario_input_route_equivalence.py,8,2.59,0.103,0.323,2.342
tests/test_long_horizon_rolling_origin.py,6,2.56,0.102,0.427,2.401
tests/test_r2_ladder.py,14,2.39,0.095,0.171,1.184
tests/test_ar1_engine.py,6,2.27,0.091,0.379,1.137
tests/test_series_inventory_contract.py,16,2.21,0.088,0.138,0.304
tests/test_revenue_scenario_key.py,36,1.88,0.075,0.052,1.841
tests/test_rate_paths.py,10,1.73,0.069,0.173,0.801
tests/test_chart_data_reconciliation.py,20,1.66,0.066,0.083,1.09
tests/test_anchored_shape_role_independence.py,18,1.63,0.065,0.091,0.455
tests/test_forecast_horizon_zones.py,26,1.46,0.058,0.056,0.365
tests/test_chart_source_tables.py,7,1.29,0.051,0.184,1.13
tests/test_databricks_app_bundle_contract.py,16,1.29,0.052,0.081,0.175
tests/test_anchored_shape_hard_gates.py,31,1.19,0.047,0.038,0.469
tests/test_evidence_pack.py,7,1.17,0.047,0.167,0.944
tests/test_score_basis_governance.py,8,1.13,0.045,0.141,0.872
tests/test_r2_metrics.py,7,1.05,0.042,0.15,0.968
tests/test_artifact_freshness.py,10,0.93,0.037,0.093,0.906
tests/test_stress_horizon_aliases.py,1,0.9,0.036,0.896,0.896
tests/test_ev_uptake_levers.py,15,0.88,0.035,0.059,0.74
tests/test_official_comparator_policy_horizon.py,28,0.78,0.031,0.028,0.205
tests/test_light_ruc_anchor_design.py,16,0.74,0.03,0.046,0.633
tests/test_revenue_outlook_long_run.py,34,0.74,0.03,0.022,0.331
tests/test_candidate_cone_builder.py,6,0.67,0.027,0.112,0.2
