stream,stream_label,model,model_short,source_family,model_kind,feature_set,quarterly_mape,annual_mape,quarterly_bias_pct,governance_score,candidate_role,plot_marker,plot_size,include_reason,is_recommended_finalist,is_pure_schiff,is_pdf_reference,is_frontier,is_top_quarterly,is_top_annual,is_distribution_sample
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__solver_static_convex_top18,Heavy RUC - Static solver,Posthoc Ensemble,Solver Static Convex,Ensemble,3.5609226862385333,3.171406050511395,0.1658499895943206,0.0014264264264264,Recommended finalist,star,18,Frontier efficient candidate; Latest arbitration finalist; Low bias near competitive MAPE; Top annual MAPE; Top quarterly MAPE,True,False,False,True,True,True,False
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,Posthoc Ensemble,Solver Static Convex,Ensemble,9.147545354091871,5.999498868354417,0.7381252017566522,0.0031380337636544,Recommended finalist,star,18,Frontier efficient candidate; Latest arbitration finalist; Top annual MAPE; Top quarterly MAPE,True,False,False,True,True,True,False
PED,PED VKT per capita,PED__solver_static_convex_top18,PED - Static solver,Posthoc Ensemble,Solver Static Convex,Ensemble,2.4735782411978,2.3870893939736244,1.5049095070308187,0.0674311926605504,Recommended finalist,star,18,Frontier efficient candidate; Latest arbitration finalist; Top annual MAPE; Top quarterly MAPE,True,False,False,True,True,True,False
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,Heavy RUC - Schiff OLS,-,-,-,11.48264346093783,11.717803544852805,10.711248839683964,,Pure Schiff benchmark,triangle-open,15,Pure Schiff structural comparator,False,True,False,False,False,False,False
LIGHT_RUC,Light RUC volume,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,Light RUC - Schiff OLS,-,-,-,15.153126534376286,13.76767036585144,5.331497979001418,,Pure Schiff benchmark,triangle-open,15,Pure Schiff structural comparator,False,True,False,False,False,False,False
PED,PED VKT per capita,PED__schiff__SCHIFF_OLS__noylag__w40,PED - Schiff OLS,-,-,-,3.3526421981105123,3.329358273539804,0.5030347756222722,,Pure Schiff benchmark,triangle-open,15,Pure Schiff structural comparator,False,True,False,False,False,False,False
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__previous_pdf_reference_finalist,Heavy RUC volume - PDF reference,Previous PDF,Reference finalist,PDF comparison,3.8,3.07,,,Previous PDF reference,diamond-open,13,Previous PDF reference finalist,False,False,True,False,False,False,False
LIGHT_RUC,Light RUC volume,LIGHT_RUC__previous_pdf_reference_finalist,Light RUC volume - PDF reference,Previous PDF,Reference finalist,PDF comparison,9.16,6.25,,,Previous PDF reference,diamond-open,13,Previous PDF reference finalist,False,False,True,False,False,False,False
PED,PED VKT per capita,PED__previous_pdf_reference_finalist,PED VKT per capita - PDF reference,Previous PDF,Reference finalist,PDF comparison,2.48,2.42,,,Previous PDF reference,diamond-open,13,Previous PDF reference finalist,False,False,True,False,False,False,False
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__price_distributed_lags__Elastic_alpha0_05_l1_ratio0_2__ylag__w40,Heavy RUC - Elastic net,Bespoke Sklearn,Elastic Net,Price Distributed Lags,4.7971976675544825,3.165726045898149,0.1815087180584919,0.1079579579579579,Curated candidate,circle,10,Frontier efficient candidate; Low bias near competitive MAPE; Top annual MAPE,False,False,False,True,False,True,False
