stream,stream_label,ensemble,ensemble_short,component_model,component_short,weight,weight_label,component_rank,method,role
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__solver_static_convex_top18,Heavy RUC - Static solver,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,Heavy RUC - Elastic net,0.4866552721889826,48.7%,1,static_convex_mape,Positive solver weight
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__solver_static_convex_top18,Heavy RUC - Static solver,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,Heavy RUC - GBM,0.3766360291348276,37.7%,2,static_convex_mape,Positive solver weight
HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__solver_static_convex_top18,Heavy RUC - Static solver,HEAVY_RUC__schiff_no_lead__GBRLocal_learning_rate0_045_max_depth1_n_estimators180__ylag__w64,Heavy RUC - Local GBM,0.1367086986761897,13.7%,3,static_convex_mape,Positive solver weight
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,LIGHT_RUC__diff__Elastic_alpha0_05_l1_ratio0_5__noylag__w40,Light RUC - Elastic net,0.2324661005182443,23.2%,1,static_convex_mape,Positive solver weight
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,LIGHT_RUC__rich__Elastic_alpha0_05_l1_ratio0_3__ylag__w40,Light RUC - Elastic net,0.2176898811593975,21.8%,2,static_convex_mape,Positive solver weight
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,LIGHT_RUC__diff__Elastic_alpha0_05_l1_ratio0_5__noylag__w44,Light RUC - Elastic net,0.2025146467934971,20.3%,3,static_convex_mape,Positive solver weight
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,LIGHT_RUC__rich__Elastic_alpha0_1_l1_ratio0_15__ylag__w40,Light RUC - Elastic net,0.1717659805762983,17.2%,4,static_convex_mape,Positive solver weight
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,LIGHT_RUC__rich__Elastic_alpha0_05_l1_ratio0_3__noylag__w52,Light RUC - Elastic net,0.1173085615046139,11.7%,5,static_convex_mape,Positive solver weight
LIGHT_RUC,Light RUC volume,LIGHT_RUC__solver_static_convex_top18,Light RUC - Static solver,LIGHT_RUC__rich__Elastic_alpha0_05_l1_ratio0_5__noylag__w52,Light RUC - Elastic net,0.0582548294479486,5.8%,6,static_convex_mape,Positive solver weight
PED,PED VKT per capita,PED__solver_static_convex_top18,PED - Static solver,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators650__ylag__w40,PED - GBM,0.5707320201801356,57.1%,1,static_convex_mape,Positive solver weight
PED,PED VKT per capita,PED__solver_static_convex_top18,PED - Static solver,PED__struct__GBR_learning_rate0_08_max_depth1_n_estimators650__noylag__w40,PED - GBM,0.3869088309607454,38.7%,2,static_convex_mape,Positive solver weight
PED,PED VKT per capita,PED__solver_static_convex_top18,PED - Static solver,PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,PED - Local GBM,0.042359148859119,4.2%,3,static_convex_mape,Positive solver weight
