stream_label,lag,acf_value,residual_source,calculation_method
Heavy RUC volume,1,0.7577997765264367,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Heavy RUC volume,2,0.6125943574481678,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Heavy RUC volume,3,0.5243170693155095,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Heavy RUC volume,4,0.4353686697462971,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Heavy RUC volume,5,0.37436325540422954,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Heavy RUC volume,6,0.24899755795227504,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Heavy RUC volume,7,0.1906627687169659,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Heavy RUC volume,8,0.16868774589724156,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Heavy RUC volume,9,0.20965723444881168,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Heavy RUC volume,10,0.21137396918211962,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Heavy RUC volume,11,0.15049028881976798,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Heavy RUC volume,12,0.0739479751299732,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Light RUC volume,1,0.48395528764946444,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Light RUC volume,2,0.18308201698863266,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Light RUC volume,3,0.1722547951425755,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Light RUC volume,4,0.2790110301764727,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Light RUC volume,5,0.05719807096596596,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Light RUC volume,6,0.1124607453808447,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Light RUC volume,7,0.16213714129616005,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Light RUC volume,8,0.2306692531813381,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Light RUC volume,9,0.19202582382967717,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Light RUC volume,10,0.1791330193183416,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Light RUC volume,11,-0.0011260377194072526,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
Light RUC volume,12,0.0024141782652127774,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
PED VKT per capita,1,0.9153211820288494,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
PED VKT per capita,2,0.7853679149948569,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
PED VKT per capita,3,0.6687829355780057,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
PED VKT per capita,4,0.5463320641544501,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
PED VKT per capita,5,0.4242962800424789,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
PED VKT per capita,6,0.3017889011156338,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
PED VKT per capita,7,0.170083936180776,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
PED VKT per capita,8,0.02530615382910266,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
PED VKT per capita,9,-0.1393290867209035,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
PED VKT per capita,10,-0.2680630528838818,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
PED VKT per capita,11,-0.34080551738261966,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
PED VKT per capita,12,-0.3945206668311905,"All selected quarterly prediction residuals, averaged by target period",pandas Series.autocorr on mean signed forecast error percentage by lag
