pair_id,severity,policy_state,time_grain,period,june_year,stream,series_id,numerator_scenario_name,denominator_scenario_name,base_value,scenario_value,factor,delta,transformation_basis
baseline_delayed_6m,baseline,delay_6m,quarterly,2026Q2,2026,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,979486715.8313116,979486715.8313116,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2026Q3,2027,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,995880358.792494,995880358.792494,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2026Q4,2027,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1067345196.0638375,1067345196.0638375,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2027Q1,2027,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1038401247.1281662,1042056252.4735392,1.0035198391329763,3655005.3453730345,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2027Q2,2027,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1005259917.3076382,1008814701.2828631,1.0035361839401153,3554783.975224972,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2027Q3,2028,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1018579122.3009133,1018579122.3009133,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2027Q4,2028,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1075577512.3682806,1075577512.3682806,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2028Q1,2028,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1043487875.5421109,1043487875.5421109,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2028Q2,2028,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1015630084.8341058,1015630084.8341058,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2028Q3,2029,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1028556470.4082918,1028556470.4082918,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2028Q4,2029,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1085782771.378013,1085782771.378013,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2029Q1,2029,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1053018867.0713713,1053018867.0713713,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2029Q2,2029,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1025362106.5936271,1025362106.5936271,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2029Q3,2030,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1038307246.0812142,1038307246.0812142,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2029Q4,2030,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1095786268.6627893,1095786268.6627893,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2030Q1,2030,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1062270353.8323623,1062270353.8323623,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2030Q2,2030,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1034048360.1111876,1034048360.1111876,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2030Q3,2031,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1046858437.2123424,1046858437.2123424,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2030Q4,2031,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1104066203.4230156,1104066203.4230156,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2031Q1,2031,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1070406867.980757,1070406867.980757,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2031Q2,2031,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1042306485.5131811,1042306485.5131811,1.0,0.0,fixed_finalist_quarterly_replay_pair
baseline_delayed_6m,baseline,delay_6m,quarterly,2031Q3,2032,HEAVY_RUC,heavy_ruc_net_km,current_basecase_12c_delay_6m,current_basecase,1054210254.5108383,1054210254.5108383,1.0,0.0,fixed_finalist_quarterly_replay_pair
