quarter,FY,history,planned,delayed_6m,delayed_12m,delayed_18m,delayed_24m,delayed_30m,delayed_36m,no_uplift
2013Q1,2013,0.50524,0.50524,0.50524,0.50524,0.50524,0.50524,0.50524,0.50524,0.50524
2013Q2,2013,0.50524,0.50524,0.50524,0.50524,0.50524,0.50524,0.50524,0.50524,0.50524
2013Q3,2014,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524
2013Q4,2014,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524
2014Q1,2014,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524
2014Q2,2014,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524,0.53524
2014Q3,2015,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524
2014Q4,2015,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524
2015Q1,2015,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524
2015Q2,2015,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524,0.56524
2015Q3,2016,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524
2015Q4,2016,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524
2016Q1,2016,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524
2016Q2,2016,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524
2016Q3,2017,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524
2016Q4,2017,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524
2017Q1,2017,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524
2017Q2,2017,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524
2017Q3,2018,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524
2017Q4,2018,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524
2018Q1,2018,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524
2018Q2,2018,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524,0.59524
2018Q3,2019,0.59562,0.59562,0.59562,0.59562,0.59562,0.59562,0.59562,0.59562,0.59562
2018Q4,2019,0.63024,0.63024,0.63024,0.63024,0.63024,0.63024,0.63024,0.63024,0.63024
2019Q1,2019,0.63024,0.63024,0.63024,0.63024,0.63024,0.63024,0.63024,0.63024,0.63024
2019Q2,2019,0.63024,0.63024,0.63024,0.63024,0.63024,0.63024,0.63024,0.63024,0.63024
2019Q3,2020,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524
2019Q4,2020,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524
2020Q1,2020,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524
2020Q2,2020,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524,0.66524
2020Q3,2021,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024
2020Q4,2021,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024
2021Q1,2021,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024
2021Q2,2021,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024
2021Q3,2022,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024
2021Q4,2022,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024,0.70024
2022Q1,2022,0.65302,0.65302,0.65302,0.65302,0.65302,0.65302,0.65302,0.65302,0.65302
2022Q2,2022,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024
2022Q3,2023,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024
2022Q4,2023,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024
2023Q1,2023,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024
2023Q2,2023,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024,0.45024
