frame,status,detail,rows,columns,max_abs_delta
quarterly_ped_schedules,PASS,exact,74.0,6.0,0.0
affected_periods_delay_6m,PASS,"{2027: ('2027Q1', '2027Q2')}",,,
quarterly_factors_delay_6m,PASS,,,,
quarterly_factors_no_uplift,PASS,,,,
official_comparator_factors_delay_6m,PASS,exact,1.0,14.0,0.0
official_comparator_audit_delay_6m,PASS,exact,17.0,20.0,0.0
ar1__annual_ped_schedules,PASS,exact,38.0,5.0,0.0
ar1__annual_factors_delay_6m,PASS,,,,
ar1__annual_factors_no_uplift,PASS,,,,
ar1__policy_scenario_inputs_policy_rows,PASS,exact,2400.0,69.0,0.0
ar1__policy_pair_factors_delayed_6m,PASS,exact,4896.0,15.0,0.0
ar1__annual_bridge_shifted_6m,PASS,exact,984.0,42.0,0.0
ar1__future_forecasts_delay_scenarios,PASS,exact,1192.0,104.0,0.0
ar1__policy_demand_calibration_audit_delay,PASS,exact,1192.0,104.0,0.0
ar1__cur-delayed_6m__off-published__scenario_key_digest,PASS,c4fa05fe9cbe230d2bd34c0f4b2d3dd03165c6f19a99538d54922f91c23d6d54,,,
ar1__cur-delayed_6m__off-published__chart_rows_policy_touched,PASS,exact,105.0,96.0,0.0
ar1__cur-delayed_6m__off-published__policy_audit,PASS,exact,42.0,17.0,0.0
ar1__central_line_rows_delayed_6m,PASS,exact,1040.0,35.0,0.0
ar1__timing_comparison_extract_legacy_paths,PASS,exact,180.0,16.0,0.0
ar1__timing_comparison_row_count,PASS,rows=480,,,
ar1__cur-published__off-delayed_6m__scenario_key_digest,PASS,41c7a2f75d592c0d0765bdfcc569a1a19ee115f7afe267b6f370ba7639edc9ec,,,
ar1__cur-published__off-delayed_6m__chart_rows_policy_touched,PASS,exact,520.0,96.0,0.0
ar1__cur-published__off-delayed_6m__policy_audit,PASS,exact,1.0,15.0,0.0
ensemble__annual_ped_schedules,PASS,exact,38.0,5.0,0.0
ensemble__annual_factors_delay_6m,PASS,,,,
ensemble__annual_factors_no_uplift,PASS,,,,
ensemble__policy_scenario_inputs_policy_rows,PASS,exact,2400.0,69.0,0.0
ensemble__policy_pair_factors_delayed_6m,PASS,exact,4896.0,15.0,0.0
ensemble__annual_bridge_shifted_6m,PASS,exact,984.0,42.0,0.0
ensemble__future_forecasts_delay_scenarios,PASS,exact,1192.0,104.0,0.0
ensemble__policy_demand_calibration_audit_delay,PASS,exact,1192.0,104.0,0.0
ensemble__cur-delayed_6m__off-published__scenario_key_digest,PASS,074f70c6cd14866d72387bef658a7f4c41ad3faac743d0b4d0d0281f3f76c223,,,
ensemble__cur-delayed_6m__off-published__chart_rows_policy_touched,PASS,exact,105.0,96.0,0.0
ensemble__cur-delayed_6m__off-published__policy_audit,PASS,exact,42.0,17.0,0.0
ensemble__central_line_rows_delayed_6m,PASS,exact,1040.0,35.0,0.0
ensemble__timing_comparison_extract_legacy_paths,PASS,exact,180.0,16.0,0.0
ensemble__timing_comparison_row_count,PASS,rows=480,,,
ensemble__cur-published__off-delayed_6m__scenario_key_digest,PASS,b8fd997b6dbf7cc072810a7e5eac51b3a280470ea4588afcb025edb898ce1616,,,
ensemble__cur-published__off-delayed_6m__chart_rows_policy_touched,PASS,exact,520.0,96.0,0.0
ensemble__cur-published__off-delayed_6m__policy_audit,PASS,exact,1.0,15.0,0.0
