check,max_abs_delta,tolerance,status
variant_B_reproduces_stored_pack::light_ruc_net_km,0.0,1e-06,pass
variant_B_reproduces_stored_pack::light_bev_ruc_net_km,0.0,1e-06,pass
variant_B_reproduces_stored_pack::phev_ruc_net_km,0.0,1e-06,pass
variant_B_reproduces_stored_pack::gross_ped_revenue,9.094947017729282e-13,1e-06,pass
variant_B_reproduces_stored_pack::net_fed_revenue,4.547473508864641e-13,1e-06,pass
variant_B_reproduces_stored_pack::total_ruc_net_revenue,7.958078640513122e-12,1e-06,pass
variant_B_reproduces_stored_pack::total_nltf_net_revenue,8.185452315956354e-12,1e-06,pass
raw_conventional_preserved::C_semantic_clean_anchor,0.0,1e-06,pass
raw_conventional_preserved::E_isolate_light_ruc,0.0,1e-06,pass
ped_level_matches_definition::C_semantic_clean_anchor::raw_no_transfer,0.0,1e-06,pass
ped_level_matches_definition::D_isolate_ped::raw_no_transfer,0.0,1e-06,pass
ped_level_matches_definition::E_isolate_light_ruc::stored_pack_lambda,0.0,1e-06,pass
variant_C_removes_exactly_the_lambda_ped_transfer,1.8189894035458565e-12,1e-06,pass
physical_class_sum_closes,0.0,1e-06,pass
fy2025_actual_classes_unchanged_across_variants,0.0,1e-06,pass
revenue_identity_closes,1.8189894035458565e-12,1e-06,pass
vfm_overlay_preserves_the_lambda_created_pool_level,1.8189894035458565e-12,1e-06,pass
