variant,june_year,class_sum_km,reported_pool_km,residual_km,raw_model_km,pool_minus_raw_model_km
B_stored_pack,2025,13529.742736,13529.742736,0.0,13529.742736,0.0
B_stored_pack,2026,14169.000465332,14169.000465332,0.0,12968.092013524,1200.908451808
B_stored_pack,2027,14198.681823208,14198.681823208,0.0,12697.507968107,1501.173855102
B_stored_pack,2028,15226.666218842,15226.666218842,0.0,13372.423680285,1854.242538557
B_stored_pack,2029,16084.856687496,16084.856687496,0.0,13833.483861201,2251.372826295
B_stored_pack,2030,16782.212397308,16782.212397308,0.0,14129.75086769,2652.461529618
C_semantic_clean_anchor,2025,13529.742736,13529.742736,0.0,13529.742736,0.0
C_semantic_clean_anchor,2026,14879.277617577,14879.277617577,0.0,12968.092013524,1911.185604053
C_semantic_clean_anchor,2027,15046.440187606,15046.440187606,0.0,12697.507968107,2348.9322195
C_semantic_clean_anchor,2028,16520.13767204,16520.13767204,0.0,13372.423680285,3147.713991755
C_semantic_clean_anchor,2029,17936.474425498,17936.474425498,0.0,13833.483861201,4102.990564298
C_semantic_clean_anchor,2030,19291.158087466,19291.158087466,0.0,14129.75086769,5161.407219776
D_isolate_ped,2025,13529.742736,13529.742736,0.0,13529.742736,0.0
D_isolate_ped,2026,14169.000465332,14169.000465332,0.0,12968.092013524,1200.908451808
D_isolate_ped,2027,14198.681823208,14198.681823208,0.0,12697.507968107,1501.173855102
D_isolate_ped,2028,15226.666218842,15226.666218842,0.0,13372.423680285,1854.242538557
D_isolate_ped,2029,16084.856687496,16084.856687496,0.0,13833.483861201,2251.372826295
D_isolate_ped,2030,16782.212397308,16782.212397308,0.0,14129.75086769,2652.461529618
E_isolate_light_ruc,2025,13529.742736,13529.742736,0.0,13529.742736,0.0
E_isolate_light_ruc,2026,14879.277617577,14879.277617577,0.0,12968.092013524,1911.185604053
E_isolate_light_ruc,2027,15046.440187606,15046.440187606,0.0,12697.507968107,2348.9322195
E_isolate_light_ruc,2028,16520.13767204,16520.13767204,0.0,13372.423680285,3147.713991755
E_isolate_light_ruc,2029,17936.474425498,17936.474425498,0.0,13833.483861201,4102.990564298
E_isolate_light_ruc,2030,19291.158087466,19291.158087466,0.0,14129.75086769,5161.407219776
