cell,june_year,light_petrol_vkt,conventional_km,bev_km,phev_km,light_ruc_pool_km,gross_ped_revenue,ruc_class_revenue,total_nltf_net_revenue,mbu26_total_nltf,gap_vs_mbu26,gap_pct
P0/L0,2026,32947.57171,12208.402087,1280.796684,665.259541,14154.458312,2134.893087,936.239498,4576.546976,4563.15128,13.395696,0.293562
P0/L1,2026,32947.57171,12953.244849,1252.888282,656.109206,14862.242338,2134.893087,984.501386,4624.808864,4563.15128,61.657584,1.351206
P1/L0,2026,32652.38339,12208.402087,1280.796684,665.259541,14154.458312,2115.765865,936.239498,4557.419754,4563.15128,-5.731526,-0.125605
P1/L1,2026,32652.38339,12953.244849,1252.888282,656.109206,14862.242338,2115.765865,984.501386,4605.681642,4563.15128,42.530362,0.932039
P0/L0,2027,32339.309093,11914.442074,1516.883231,824.442088,14255.767393,2042.388629,930.515278,4549.379406,5008.279963,-458.900557,-9.162838
P0/L1,2027,32339.309093,12710.861222,1518.699441,832.703018,15062.263681,2042.388629,984.444319,4603.308447,5008.279963,-404.971516,-8.08604
P1/L0,2027,31711.396785,11914.442074,1516.883231,824.442088,14255.767393,2002.732836,930.515278,4509.723613,5008.279963,-498.55635,-9.954642
P1/L1,2027,31711.396785,12710.861222,1518.699441,832.703018,15062.263681,2002.732836,984.444319,4563.652653,5008.279963,-444.627309,-8.877845
P0/L0,2028,32372.422657,12416.407689,1932.925929,1063.484446,15412.818065,2457.998211,1209.509983,5494.757583,5639.13433,-144.376747,-2.560264
P0/L1,2028,32372.422657,13547.011286,2047.828552,1140.981345,16735.821183,2457.998211,1313.897907,5599.145506,5639.13433,-39.988823,-0.709131
P1/L0,2028,31350.174409,12416.407689,1932.925929,1063.484446,15412.818065,2380.38016,1209.509983,5417.139531,5639.13433,-221.994798,-3.936682
P1/L1,2028,31350.174409,13547.011286,2047.828552,1140.981345,16735.821183,2380.38016,1313.897907,5521.527455,5639.13433,-117.606875,-2.085548
P0/L0,2029,32676.13145,12693.778755,2409.883789,1313.36196,16417.024504,2601.411946,1356.597729,5873.721818,6059.827801,-186.105984,-3.071143
P0/L1,2029,32676.13145,14141.46044,2697.748421,1496.587534,18335.796396,2601.411946,1513.855404,6030.979492,6059.827801,-28.848309,-0.476058
P1/L0,2029,31184.064575,12693.778755,2409.883789,1313.36196,16417.024504,2482.625528,1356.597729,5754.9354,6059.827801,-304.892401,-5.031371
P1/L1,2029,31184.064575,14141.46044,2697.748421,1496.587534,18335.796396,2482.625528,1513.855404,5912.193075,6059.827801,-147.634727,-2.436286
P0/L0,2030,32982.422252,12738.719011,2952.385978,1570.836693,17261.941683,2715.429632,1481.202161,6187.096102,6434.369392,-247.27329,-3.843007
P0/L1,2030,32982.422252,14570.288922,3441.204224,1881.125599,19892.618745,2715.429632,1703.701969,6409.59591,6434.369392,-24.773482,-0.385018
P1/L0,2030,30940.96035,12738.719011,2952.385978,1570.836693,17261.941683,2547.35689,1481.202161,6019.02336,6434.369392,-415.346031,-6.455116
P1/L1,2030,30940.96035,14570.288922,3441.204224,1881.125599,19892.618745,2547.35689,1703.701969,6241.523168,6434.369392,-192.846224,-2.997127
