june_year,raw_conventional,share_anchor_pool,share_anchor_bev,share_anchor_phev,share_anchor_conv_share,add_on_pool,add_on_bev,add_on_phev,add_on_conv_share,vfm_conventional_share,mbu26_pool,mbu26_conventional,share_anchor_pool_step_pct_2025_26,share_anchor_bev_step_pct_2025_26,share_anchor_phev_step_pct_2025_26,add_on_pool_step_pct_2025_26,add_on_bev_step_pct_2025_26,add_on_phev_step_pct_2025_26
2025,12273.983872,13529.742736,820.641429,435.117435,0.907185,13529.742736,820.641429,435.117435,0.907185,0.892358,13529.742736,12273.983872,,,,,,
2026,12968.092014,14879.292497,1254.324357,656.861247,0.871553,14587.287779,1037.383497,581.812268,0.889,0.871553,14741.897954,12899.124732,9.974689,52.846824,50.961831,7.816446,26.4113,33.713849
2027,12697.507968,15046.455234,1517.103988,831.828231,0.843887,14818.927992,1341.570848,779.849176,0.856844,0.843887,15378.28495,12939.636711,,,,,,
2028,13372.42368,16520.137672,2021.437086,1126.276906,0.809462,16149.306115,1753.693983,1023.188452,0.828049,0.809462,16531.233101,13427.717148,,,,,,
2029,13833.483861,17936.492362,2638.996121,1463.994443,0.771248,17389.296396,2257.87832,1297.934215,0.795517,0.771248,17822.94174,13926.560566,,,,,,
2030,14129.750868,19291.158087,3337.158146,1824.249073,0.732447,18541.240726,2824.322319,1587.167539,0.762071,0.732447,19165.492817,14402.438423,,,,,,
2031,14471.155567,20850.126743,4158.74543,2220.225746,0.694056,19797.280875,3446.235468,1879.88984,0.730967,0.694056,19927.766395,14246.19312,,,,,,
2032,14823.798544,22630.164208,5138.744538,2667.621127,0.655046,21151.191253,4141.168817,2186.223892,0.700849,0.655046,20733.234529,14040.969015,,,,,,
2033,15188.61494,24698.862577,6343.581768,3166.641171,0.614952,22628.434731,4941.846595,2497.973196,0.671218,0.614952,21591.705443,13782.702264,,,,,,
2034,15562.415329,27150.440567,7877.320224,3710.705013,0.573192,24274.812411,5906.591533,2805.805549,0.641093,0.573192,22580.319107,13486.528101,,,,,,
2035,15945.421112,30070.267922,9837.518221,4287.32859,0.530272,26106.045552,7066.906166,3093.718274,0.610794,0.530272,23716.587479,13152.780804,,,,,,
