method,june_year,horizon_state,raw_conventional,conventional_share,pool,bev,phev,pool_yoy_pct,pool_vs_vfm_base_ratio,flags,worst_flag
A_immediate,2025,actual_anchor,12273.983872,0.907185,13529.742736,820.641429,435.117435,,0.926244,,ok
A_immediate,2026,backtest_supported_h1_h12,12968.092014,0.871554,14879.277618,1254.324357,656.861247,9.974579,0.987803,WATCH:pool_growth,WATCH
A_immediate,2027,backtest_supported_h1_h12,12697.507968,0.843888,15046.440188,1517.103988,831.828231,1.123459,0.964549,,ok
A_immediate,2028,backtest_supported_h1_h12,13372.42368,0.809462,16520.137672,2021.437086,1126.276906,9.794327,1.018881,WATCH:pool_growth,WATCH
A_immediate,2029,extended_conditional_evidence_h13_h20,13833.483861,0.771249,17936.474425,2638.996121,1463.994443,8.573396,1.061014,WATCH:pool_growth,WATCH
A_immediate,2030,extended_conditional_evidence_h13_h20,14129.750868,0.732447,19291.158087,3337.158146,1824.249073,7.552675,1.092884,WATCH:pool_growth,WATCH
A_immediate,2031,unvalidated_extrapolation_h21_plus,14471.155567,0.694056,20850.126743,4158.74543,2220.225746,8.08126,1.131624,WATCH:pool_growth,WATCH
A_immediate,2032,unvalidated_extrapolation_h21_plus,14823.798544,0.655046,22630.164208,5138.744538,2667.621127,8.537298,1.176094,WATCH:pool_growth,WATCH
A_immediate,2033,unvalidated_extrapolation_h21_plus,15188.61494,0.614953,24698.837878,6343.581768,3166.641171,9.141223,1.227296,WATCH:pool_growth,WATCH
A_immediate,2034,unvalidated_extrapolation_h21_plus,15562.415329,0.573192,27150.440567,7877.320224,3710.705013,9.925984,1.28482,WATCH:pool_growth;WATCH:vfm_divergence,WATCH
A_immediate,2035,unvalidated_extrapolation_h21_plus,15945.421112,0.530272,30070.267922,9837.518221,4287.32859,10.754254,1.349576,FAIL:pool_growth;WATCH:vfm_divergence,FAIL
A_immediate,2036,unvalidated_extrapolation_h21_plus,16333.699532,0.48761,33497.466278,12310.653832,4853.112914,11.397299,1.422137,FAIL:pool_growth;WATCH:vfm_divergence,FAIL
A_immediate,2037,unvalidated_extrapolation_h21_plus,16714.699074,0.445254,37539.694364,15429.26486,5395.73043,12.067265,1.503904,FAIL:pool_growth;FAIL:vfm_divergence,FAIL
A_immediate,2038,unvalidated_extrapolation_h21_plus,17103.232579,0.403268,42411.578847,19363.854554,5944.491714,12.977955,1.599687,FAIL:pool_growth;FAIL:vfm_divergence,FAIL
A_immediate,2039,unvalidated_extrapolation_h21_plus,17500.804156,0.361796,48372.022234,24339.398799,6531.819278,14.053812,1.711015,FAIL:pool_growth;FAIL:vfm_divergence,FAIL
A_immediate,2040,unvalidated_extrapolation_h21_plus,17907.624222,0.322306,55560.939672,30559.016868,7094.298582,14.861726,1.839163,FAIL:pool_growth;FAIL:vfm_divergence,FAIL
A_immediate,2041,unvalidated_extrapolation_h21_plus,18319.240022,0.286889,63854.801061,37979.75014,7555.8109,14.927504,1.980046,FAIL:pool_growth;FAIL:vfm_divergence,FAIL
A_immediate,2042,unvalidated_extrapolation_h21_plus,18721.55482,0.256141,73090.816463,46419.831354,7949.430289,14.464089,2.128693,FAIL:pool_growth;FAIL:vfm_divergence,FAIL
A_immediate,2043,unvalidated_extrapolation_h21_plus,19131.189129,0.229783,83257.551682,55805.344744,8321.017809,13.90973,2.289449,FAIL:pool_growth;FAIL:vfm_divergence,FAIL
A_immediate,2044,unvalidated_extrapolation_h21_plus,19549.793861,0.207647,94149.175575,65917.509638,8681.872076,13.081845,2.463799,FAIL:pool_growth;FAIL:vfm_divergence,FAIL
A_immediate,2045,unvalidated_extrapolation_h21_plus,19977.565637,0.188746,105843.650394,76840.373313,9025.711444,12.421219,2.650136,FAIL:pool_growth;WATCH:conventional_share_floor;FAIL:vfm_divergence,FAIL
A_immediate,2046,unvalidated_extrapolation_h21_plus,20414.705397,0.171777,118844.230586,89063.886753,9365.638436,12.282815,2.851738,FAIL:pool_growth;WATCH:conventional_share_floor;FAIL:vfm_divergence,FAIL
A_immediate,2047,unvalidated_extrapolation_h21_plus,20861.418488,0.156516,133286.171946,102705.925658,9718.8278,12.151992,3.071221,FAIL:pool_growth;WATCH:conventional_share_floor;FAIL:vfm_divergence,FAIL
A_immediate,2048,unvalidated_extrapolation_h21_plus,21317.914763,0.14263,149463.049591,118039.788582,10105.346246,12.136951,3.311508,FAIL:pool_growth;WATCH:conventional_share_floor;FAIL:vfm_divergence,FAIL
A_immediate,2049,unvalidated_extrapolation_h21_plus,21784.40868,0.13039,167071.16098,134779.479915,10507.272385,11.780913,3.57788,FAIL:pool_growth;WATCH:conventional_share_floor;FAIL:vfm_divergence,FAIL
A_immediate,2050,unvalidated_extrapolation_h21_plus,22261.119404,0.119794,185828.333673,152657.604456,10909.609813,11.227056,3.871257,FAIL:pool_growth;WATCH:conventional_share_floor;FAIL:vfm_divergence,FAIL
B_two_year,2025,actual_anchor,12273.983872,0.907185,13529.742736,820.641429,435.117435,,0.926244,,ok
B_two_year,2026,backtest_supported_h1_h12,12968.092014,0.88937,14581.217989,1056.807998,556.317978,7.771583,0.968015,WATCH:pool_growth,WATCH
B_two_year,2027,backtest_supported_h1_h12,12697.507968,0.843888,15046.440188,1517.103988,831.828231,3.190558,0.964549,,ok
B_two_year,2028,backtest_supported_h1_h12,13372.42368,0.809462,16520.137672,2021.437086,1126.276906,9.794327,1.018881,WATCH:pool_growth,WATCH
B_two_year,2029,extended_conditional_evidence_h13_h20,13833.483861,0.771249,17936.474425,2638.996121,1463.994443,8.573396,1.061014,WATCH:pool_growth,WATCH
B_two_year,2030,extended_conditional_evidence_h13_h20,14129.750868,0.732447,19291.158087,3337.158146,1824.249073,7.552675,1.092884,WATCH:pool_growth,WATCH
B_two_year,2031,unvalidated_extrapolation_h21_plus,14471.155567,0.694056,20850.126743,4158.74543,2220.225746,8.08126,1.131624,WATCH:pool_growth,WATCH
B_two_year,2032,unvalidated_extrapolation_h21_plus,14823.798544,0.655046,22630.164208,5138.744538,2667.621127,8.537298,1.176094,WATCH:pool_growth,WATCH
B_two_year,2033,unvalidated_extrapolation_h21_plus,15188.61494,0.614953,24698.837878,6343.581768,3166.641171,9.141223,1.227296,WATCH:pool_growth,WATCH
B_two_year,2034,unvalidated_extrapolation_h21_plus,15562.415329,0.573192,27150.440567,7877.320224,3710.705013,9.925984,1.28482,WATCH:pool_growth;WATCH:vfm_divergence,WATCH
B_two_year,2035,unvalidated_extrapolation_h21_plus,15945.421112,0.530272,30070.267922,9837.518221,4287.32859,10.754254,1.349576,FAIL:pool_growth;WATCH:vfm_divergence,FAIL
B_two_year,2036,unvalidated_extrapolation_h21_plus,16333.699532,0.48761,33497.466278,12310.653832,4853.112914,11.397299,1.422137,FAIL:pool_growth;WATCH:vfm_divergence,FAIL
B_two_year,2037,unvalidated_extrapolation_h21_plus,16714.699074,0.445254,37539.694364,15429.26486,5395.73043,12.067265,1.503904,FAIL:pool_growth;FAIL:vfm_divergence,FAIL
