preset,june_year,base_pool_km,allocated_pool_km,pool_residual_km,conventional_km,bev_km,phev_km
MoT VFM base,2026,14879.292497,14879.292497,0.0,12833.580881,1346.384869,699.326747
MoT VFM base,2027,15046.455234,15046.455234,-0.0,12568.098618,1605.662212,872.694404
MoT VFM base,2028,16520.137672,16520.137672,0.0,13308.452975,2071.795198,1139.889499
MoT VFM base,2029,17936.492362,17936.492362,0.0,13868.643835,2632.929138,1434.919389
MoT VFM base,2030,19291.158087,19291.158087,0.0,14236.210897,3299.451805,1755.495386
MoT VFM base,2031,20850.126743,20850.126743,0.0,14589.77567,4133.638145,2126.712928
MoT VFM base,2032,22630.164208,22630.164208,0.0,14902.265186,5170.690466,2557.208556
MoT VFM base,2033,24698.862577,24698.862577,0.0,15173.53997,6462.663647,3062.65896
MoT VFM base,2034,27150.440567,27150.440567,0.0,15405.838985,8079.292105,3665.309477
MoT VFM base,2035,30070.267922,30070.267922,0.0,15579.162423,10100.846383,4390.259117
MoT VFM fast,2026,14879.292497,14879.292497,0.0,12738.524128,1367.045159,773.72321
MoT VFM fast,2027,15046.455234,15046.455234,0.0,12404.534735,1663.900909,978.01959
MoT VFM fast,2028,16520.137672,16520.137672,0.0,13042.868733,2188.698201,1288.570738
MoT VFM fast,2029,17936.492362,17936.492362,0.0,13472.599244,2831.672313,1632.220805
MoT VFM fast,2030,19291.158087,19291.158087,0.0,13678.310079,3606.567568,2006.280441
MoT VFM fast,2031,20850.126743,20850.126743,0.0,13827.146344,4583.515571,2439.464829
MoT VFM fast,2032,22630.164208,22630.164208,0.0,13884.868903,5803.373958,2941.921347
MoT VFM fast,2033,24698.862577,24698.862577,0.0,13842.709946,7324.215283,3531.937349
MoT VFM fast,2034,27150.440567,27150.440567,-0.0,13693.162734,9221.809104,4235.468728
MoT VFM fast,2035,30070.267922,30070.267922,-0.0,13407.88654,11580.506103,5081.875279
MoT VFM slow,2026,14879.292497,14879.292497,-0.0,13328.897184,910.585735,639.809577
MoT VFM slow,2027,15046.455234,15046.455234,-0.0,13163.99856,1100.041002,782.415672
MoT VFM slow,2028,16520.137672,16520.137672,0.0,14073.605446,1438.803828,1007.728398
MoT VFM slow,2029,17936.492362,17936.492362,-0.0,14826.09387,1854.844026,1255.554465
MoT VFM slow,2030,19291.158087,19291.158087,0.0,15407.515505,2359.641094,1524.001489
MoT VFM slow,2031,20850.126743,20850.126743,0.0,16012.048392,3003.267198,1834.811153
MoT VFM slow,2032,22630.164208,22630.164208,0.0,16615.818325,3819.219955,2195.125928
MoT VFM slow,2033,24698.862577,24698.862577,0.0,17224.772827,4856.010317,2618.079433
MoT VFM slow,2034,27150.440567,27150.440567,-0.0,17849.215856,6178.924045,3122.300665
MoT VFM slow,2035,30070.267922,30070.267922,-0.0,18475.948273,7865.606427,3728.713222
