method,june_year,seam_weight,raw_conventional,conventional,bev,phev,pool,conventional_share,bev_share,phev_share,vfm_base_conventional_share,vfm_base_bev_share,vfm_base_pool,horizon_state,bev_yoy_pct,phev_yoy_pct,pool_yoy_pct,conventional_yoy_pct,pool_vs_vfm_base_ratio,conventional_share_gap_pp,vfm_fast_conventional_share,vfm_slow_conventional_share,inside_vfm_cone
A_immediate,2025,0.0,12273.983872,12273.983872,820.641429,435.117435,13529.742736,0.907185,0.060655,0.03216,0.892358,0.072132,14607.105623,actual_anchor,,,,,0.926244,1.482731,0.886565,0.901566,False
A_immediate,2026,1.0,12968.092014,12968.092014,1254.324357,656.861247,14879.277618,0.871554,0.0843,0.044146,0.871553,0.0843,15063.005547,backtest_supported_h1_h12,52.846824,50.961831,9.974579,5.655117,0.987803,8.7e-05,0.860699,0.887705,True
A_immediate,2027,1.0,12697.507968,12697.507968,1517.103988,831.828231,15046.440188,0.843888,0.100828,0.055284,0.843887,0.100828,15599.45544,backtest_supported_h1_h12,20.949895,26.636826,1.123459,-2.086537,0.964549,8.4e-05,0.825712,0.869223,True
A_immediate,2028,1.0,13372.42368,13372.42368,2021.437086,1126.276906,16520.137672,0.809462,0.122362,0.068176,0.809462,0.122362,16214.002623,backtest_supported_h1_h12,33.243146,35.397774,9.794327,5.31534,1.018881,0.0,0.783022,0.844429,True
A_immediate,2029,1.0,13833.483861,13833.483861,2638.996121,1463.994443,17936.474425,0.771249,0.14713,0.081621,0.771248,0.14713,16905.031377,extended_conditional_evidence_h13_h20,30.550495,29.985302,8.573396,3.447843,1.061014,7.7e-05,0.736682,0.814749,True
A_immediate,2030,1.0,14129.750868,14129.750868,3337.158146,1824.249073,19291.158087,0.732447,0.172989,0.094564,0.732447,0.172989,17651.603799,extended_conditional_evidence_h13_h20,26.455591,24.60765,7.552675,2.141666,1.092884,0.0,0.690103,0.783782,True
A_immediate,2031,1.0,14471.155567,14471.155567,4158.74543,2220.225746,20850.126743,0.694056,0.199459,0.106485,0.694056,0.199459,18424.952921,unvalidated_extrapolation_h21_plus,24.619369,21.706283,8.08126,2.416212,1.131624,0.0,0.644526,0.753142,True
A_immediate,2032,1.0,14823.798544,14823.798544,5138.744538,2667.621127,22630.164208,0.655046,0.227075,0.117879,0.655046,0.227075,19241.800129,unvalidated_extrapolation_h21_plus,23.564778,20.150896,8.537298,2.436868,1.176094,0.0,0.599059,0.722167,True
A_immediate,2033,1.0,15188.61494,15188.61494,6343.581768,3166.641171,24698.837878,0.614953,0.256837,0.12821,0.614952,0.256837,20124.59693,unvalidated_extrapolation_h21_plus,23.44614,18.706556,9.141223,2.461018,1.227296,6.1e-05,0.553243,0.690293,True
A_immediate,2034,1.0,15562.415329,15562.415329,7877.320224,3710.705013,27150.440567,0.573192,0.290136,0.136672,0.573192,0.290136,21131.700841,unvalidated_extrapolation_h21_plus,24.177799,17.181102,9.925984,2.461056,1.28482,0.0,0.506409,0.656578,True
A_immediate,2035,1.0,15945.421112,15945.421112,9837.518221,4287.32859,30070.267922,0.530272,0.327151,0.142577,0.530272,0.327151,22281.268099,unvalidated_extrapolation_h21_plus,24.884071,15.539461,10.754254,2.461095,1.349576,0.0,0.459004,0.621051,True
