source,cohort,horizon,P0_n,P0_mape,P0_wape,P0_rmse,P0_signed_error_pct,P0_mean_abs_error,P1_n,P1_mape,P1_wape,P1_rmse,P1_signed_error_pct,P1_mean_abs_error,wape_improvement_pct,mape_improvement_pct
ar1_production_h1_h12,all_available,1,56,0.931078,0.907304,21.093356,0.00746,14.575967,56,0.964231,0.940966,22.088487,-0.085258,15.116752,-3.710113,-3.560737
ar1_production_h1_h12,all_available,2,55,1.488893,1.440271,35.591579,0.065738,23.116511,55,1.536721,1.487831,36.823995,-0.122996,23.879846,-3.302119,-3.212259
ar1_production_h1_h12,all_available,3,54,1.727625,1.665462,43.36663,0.205049,26.715695,54,1.819797,1.756553,44.272415,-0.067804,28.176885,-5.469408,-5.335141
ar1_production_h1_h12,all_available,4,53,1.999219,1.923909,49.878025,0.346694,30.842355,53,2.133247,2.057142,50.365983,-0.012027,32.978217,-6.925094,-6.704005
ar1_production_h1_h12,all_available,5,52,2.32511,2.236948,56.227283,0.535422,35.822659,52,2.496423,2.40552,56.709447,0.088391,38.522178,-7.535787,-7.367938
ar1_production_h1_h12,all_available,6,51,2.509434,2.416262,60.40679,0.702198,38.662123,51,2.751662,2.655146,60.994565,0.163672,42.484459,-9.886515,-9.652721
ar1_production_h1_h12,all_available,7,50,2.722566,2.625214,64.231337,0.863096,41.977264,50,2.940199,2.843117,64.370599,0.243135,45.46154,-8.300388,-7.993662
ar1_production_h1_h12,all_available,8,49,2.98747,2.876956,69.800683,1.033927,45.968134,49,3.205067,3.095322,69.323874,0.331027,49.457183,-7.590147,-7.283641
ar1_production_h1_h12,all_available,9,48,3.439533,3.302479,77.41001,1.232554,52.703889,48,3.692974,3.557434,76.70344,0.444313,56.772681,-7.720099,-7.36849
ar1_production_h1_h12,all_available,10,47,3.747468,3.595867,83.303764,1.428499,57.334257,47,4.028947,3.881273,82.429307,0.55141,61.884897,-7.937035,-7.511194
ar1_production_h1_h12,all_available,11,46,3.909648,3.754171,86.30808,1.638683,59.81247,46,4.201961,4.049596,84.688959,0.680725,64.519263,-7.869249,-7.476699
ar1_production_h1_h12,all_available,12,45,4.115285,3.95318,88.728864,1.872486,62.927708,45,4.372235,4.216596,86.077325,0.832116,67.120821,-6.663381,-6.243778
