phev_petrol_fraction,june_year,phev_km,base_ped_litres_million,extra_phev_litres_million,total_ped_litres_million,base_gross_ped_revenue,extra_gross_ped_revenue,total_gross_ped_revenue,extra_net_fed_revenue,extra_total_nltf_revenue,extra_pct_of_gross_ped
0.0,2026,656.861247,3048.381097,0.0,3048.381097,2134.59838,0.0,2134.59838,0.0,0.0,0.0
0.0,2027,831.828231,2903.319165,0.0,2903.319165,2206.067422,0.0,2206.067422,0.0,0.0,0.0
0.0,2028,1126.276906,2871.6065,0.0,2871.6065,2441.122287,0.0,2441.122287,0.0,0.0,0.0
0.0,2029,1463.994443,2855.891972,0.0,2855.891972,2570.61893,0.0,2570.61893,0.0,0.0,0.0
0.0,2030,1824.249073,2840.938257,0.0,2840.938257,2670.763969,0.0,2670.763969,0.0,0.0,0.0
0.0,2031,2220.225746,2823.600403,0.0,2823.600403,2767.48756,0.0,2767.48756,0.0,0.0,0.0
0.0,2032,2667.621127,2797.441026,0.0,2797.441026,2853.784033,0.0,2853.784033,0.0,0.0,0.0
0.0,2033,3166.641171,2769.114632,0.0,2769.114632,2935.668453,0.0,2935.668453,0.0,0.0,0.0
0.0,2034,3710.705013,2740.513798,0.0,2740.513798,3014.954229,0.0,3014.954229,0.0,0.0,0.0
0.0,2035,4287.32859,2712.269623,0.0,2712.269623,3092.246108,0.0,3092.246108,0.0,0.0,0.0
0.25,2026,656.861247,3048.381097,15.195656,3063.576753,2134.59838,10.640606,2145.238986,10.640606,10.640606,0.498483
0.25,2027,831.828231,2903.319165,18.755748,2922.074913,2206.067422,14.251428,2220.31885,14.251428,14.251428,0.646011
0.25,2028,1126.276906,2871.6065,25.14936,2896.755861,2441.122287,21.379205,2462.501492,21.379205,21.379205,0.875794
0.25,2029,1463.994443,2855.891972,32.371439,2888.263411,2570.61893,29.137879,2599.756809,29.137879,29.137879,1.133497
0.25,2030,1824.249073,2840.938257,39.939851,2880.878107,2670.763969,37.547424,2708.311394,37.547424,37.547424,1.405868
0.25,2031,2220.225746,2823.600403,48.125816,2871.726219,2767.48756,47.169421,2814.656981,47.169421,47.169421,1.704413
0.25,2032,2667.621127,2797.441026,57.242457,2854.683483,2853.784033,58.395372,2912.179405,58.395372,58.395372,2.046244
