variant,june_year,reported_total_nltf,recomputed_total_nltf,residual
B_stored_pack,2025,4280.784115838,4280.784115838,0.0
B_stored_pack,2026,4501.467644777,4501.467644777,0.0
B_stored_pack,2027,4778.851371311,4778.851371311,0.0
B_stored_pack,2028,5316.846293196,5316.846293196,-0.0
B_stored_pack,2029,5629.416792766,5629.416792766,0.0
B_stored_pack,2030,5874.474765856,5874.474765856,0.0
C_semantic_clean_anchor,2025,4280.784115838,4280.784115838,0.0
C_semantic_clean_anchor,2026,4626.293013383,4626.293013383,0.0
C_semantic_clean_anchor,2027,4943.08735451,4943.08735451,0.0
C_semantic_clean_anchor,2028,5559.167303867,5559.167303867,-0.0
C_semantic_clean_anchor,2029,5959.879959869,5959.879959869,0.0
C_semantic_clean_anchor,2030,6304.29008558,6304.29008558,0.0
D_isolate_ped,2025,4280.784115838,4280.784115838,0.0
D_isolate_ped,2026,4579.282519085,4579.282519085,0.0
D_isolate_ped,2027,4881.72776304,4881.72776304,0.0
D_isolate_ped,2028,5457.636647109,5457.636647109,-0.0
D_isolate_ped,2029,5808.653070286,5808.653070286,0.0
D_isolate_ped,2030,6092.85086267,6092.85086267,0.0
E_isolate_light_ruc,2025,4280.784115838,4280.784115838,0.0
E_isolate_light_ruc,2026,4548.478139076,4548.478139076,0.0
E_isolate_light_ruc,2027,4840.210962781,4840.210962781,0.0
E_isolate_light_ruc,2028,5418.376949954,5418.376949954,-0.0
E_isolate_light_ruc,2029,5780.643682349,5780.643682349,0.0
E_isolate_light_ruc,2030,6085.913988766,6085.913988766,0.0
