june_year,light_ruc_net_km,light_bev_ruc_net_km,phev_ruc_net_km,pool,conv_share,scenario
2025,12273.983872,820.641429,435.117435,13529.742736,0.907185311021571,current_basecase
2026,12352.557824257878,1192.0988218478135,624.3438192266098,14169.000465332301,0.8718016386887159,current_basecase
2027,11893.795047719985,1485.95887922949,818.9278962586613,14198.681823208137,0.8376689608100978,current_basecase
2028,12336.184183531306,1852.8197111800268,1037.662324130385,15226.666218841718,0.8101697381575435,current_basecase
2029,12521.359028290877,2288.40837340828,1275.0892857965052,16084.856687495661,0.7784563625005723,current_basecase
2030,12519.461907387322,2751.233821402135,1511.5166685185566,16782.212397308012,0.7459959158540702,current_basecase
2026,12899.1247322853,1209.37911079624,633.39411052937,14741.897953610911,0.8749975595324048,mbu26_official
2027,12939.636710647,1572.19480045545,866.45343854562,15378.28494964807,0.8414226133157405,mbu26_official
2028,13427.7171481819,1989.37597979678,1114.1399728797,16531.23310085838,0.8122634933678765,mbu26_official
2029,13926.5605658137,2502.17964433063,1394.20153006706,17822.94174021139,0.7813839470951737,mbu26_official
2030,14402.4384228319,3074.13637597232,1688.91801832143,19165.49281712565,0.7514775936240136,mbu26_official
