light_petrol_vkt_million_km,light_ruc_net_km,light_bev_ruc_net_km,phev_ruc_net_km,light_ruc_pool_km,ped_volume_million_litres,gross_ped_revenue,gross_fed_revenue,net_fed_revenue,light_ruc_net_revenue,light_bev_ruc_net_revenue,phev_ruc_net_revenue,light_ruc_class_revenue,gross_ruc_revenue,total_ruc_net_revenue,net_mvr_revenue,total_nltf_net_revenue,variant,june_year,mbu26_total_nltf,mbu26_gross_ped,mbu26_light_petrol_vkt,mbu26_conventional_km,mbu26_pool_km,total_nltf_gap_vs_mbu26,total_nltf_gap_pct,gross_ped_gap_pct
31705.229162,12273.983872,820.641429,435.117435,13529.742736,2894.273827,2026.686305,2067.627924,1997.727147,830.974453,55.402256,15.107564,901.484273,2073.990763,1979.168668,286.793491,4280.784116,B_stored_pack,2025,,,,12273.983872,13529.742736,,,
31742.115079,12352.557824,1192.098822,624.343819,14169.000465,2937.255092,2056.783505,2098.828668,2025.561143,836.790292,80.300792,21.528255,938.619339,2135.827136,2033.37123,425.129194,4501.467645,B_stored_pack,2026,4563.15128,2062.784687,31834.730657,12899.124732,14741.897954,-61.683635,-1.351777,-0.290926
30689.795138,11893.795048,1485.958879,818.927896,14198.681823,2767.927564,2103.19103,2145.82372,2063.718758,867.441389,108.34636,29.968971,1005.756721,2316.678688,2201.424961,496.149752,4778.851371,B_stored_pack,2027,5008.279963,2200.877896,32115.243347,12939.636711,15378.28495,-229.428591,-4.580986,-4.438541
30295.920178,12336.184184,1852.819711,1037.662324,15226.666219,2705.988212,2300.331934,2343.18531,2251.073595,1003.081635,150.726884,41.625824,1195.434342,2688.300846,2557.964288,490.25051,5316.846293,B_stored_pack,2028,5639.13433,2456.026354,32346.452822,13427.717148,16531.233101,-322.288037,-5.715204,-6.339281
30037.969964,12521.359028,2288.408373,1275.089286,16084.856687,2656.765046,2391.382652,2434.439199,2336.608682,1078.387886,197.112055,54.159417,1329.659359,2932.587889,2790.407101,484.84311,5629.416793,B_stored_pack,2029,6059.827801,2596.022955,32608.440756,13926.560566,17822.94174,-430.411009,-7.102694,-7.882839
29787.438198,12519.461907,2751.233821,1511.516669,16782.212397,2608.647791,2452.387873,2495.63265,2393.219658,1126.177501,247.514751,67.058437,1440.750689,3137.218125,2983.81349,479.883718,5874.474766,B_stored_pack,2030,6434.369392,2706.163454,32869.872478,14402.438423,19165.492817,-559.894626,-8.701624,-9.377689
31705.229162,12273.983872,820.641429,435.117435,13529.742736,2894.273827,2026.686305,2067.627924,1997.727147,830.974453,55.402256,15.107564,901.484273,2073.990763,1979.168668,286.793491,4280.784116,C_semantic_clean_anchor,2025,,,,12273.983872,13529.742736,,,
32943.02353,12968.092014,1254.324357,656.861247,14879.277618,3048.381097,2134.59838,2176.643542,2103.376018,878.487974,84.492358,22.649501,985.629833,2182.83763,2080.381725,425.129194,4626.293013,C_semantic_clean_anchor,2026,4563.15128,2062.784687,31834.730657,12899.124732,14741.897954,63.141733,1.383731,3.481395
32190.968993,12697.507968,1517.103988,831.828231,15046.440188,2903.319165,2206.067422,2248.700112,2166.59515,926.057992,110.617257,30.441064,1067.116312,2378.03828,2262.784553,496.149752,4943.087355,C_semantic_clean_anchor,2027,5008.279963,2200.877896,32115.243347,12939.636711,15378.28495,-65.192608,-1.301697,0.235793
32150.162716,13372.42368,2021.437086,1126.276906,16520.137672,2871.6065,2441.122287,2483.975664,2391.863949,1087.340494,164.443907,45.180598,1296.964999,2789.831503,2659.494945,490.25051,5559.167304,C_semantic_clean_anchor,2028,5639.13433,2456.026354,32346.452822,13427.717148,16531.233101,-79.967026,-1.418073,-0.606837
