series_id,FY,before_central,before_lower80,before_lower50,before_draw_median,before_upper50,before_upper80,after_central,after_lower80,after_lower50,after_draw_median,after_upper50,after_upper80,abs_central_move
light_petrol_vkt,2031,34036.47205467476,29161.44898356998,30000.276619533422,32275.066328303394,34505.96587698282,34893.297377851195,34543.478008938844,29595.836785157877,30447.159564723504,32755.83445187484,35019.965392830425,35413.06656856107,507.0059542640811
light_petrol_vkt,2032,34169.83400040407,29275.70957939459,30117.82391573885,32401.526721647657,34641.16739672997,35030.01654262675,34678.82650898696,29711.799402341458,30566.457840848,32884.17859428396,35157.180869118885,35551.82229665882,508.99250858288724
light_petrol_vkt,2033,34168.6119993445,29274.66260479924,30116.74682497111,32400.36795979985,34639.92853957711,35028.76377922932,34677.58630504748,29710.736832053553,30565.36470577839,32883.00257156507,35155.92355799841,35550.55087214691,508.9743057029773
light_petrol_vkt,2034,34039.138689775544,29163.733678156546,30002.62703324664,32277.594963604166,34508.66929523504,34896.03114213265,34546.184366131616,29598.155512465502,30449.54499010731,32758.40075362799,35022.709081095025,35415.84105488816,507.04567635607236
light_petrol_vkt,2035,33713.045871605485,28884.34693485074,29715.20374410462,31968.377624077446,34178.07840325216,34561.729347901106,34215.23408211758,29314.607035177072,30157.840254910745,32444.57732472603,34687.19372013687,35076.55951422684,502.1882105120967
light_petrol_vkt,2036,33126.318706128084,28381.65634236338,29198.053281617154,31412.013904830004,33583.25801415484,33960.23206487542,33619.767051769704,28804.428383318154,29632.9863393947,31879.926033313586,34083.5129098271,34466.10235123833,493.4483456416201
light_petrol_vkt,2037,32224.459382580724,27608.969778029194,28403.140426522645,30556.82628610346,32668.95858282203,33035.66956853398,32704.47366707134,28020.231910193543,28826.23249355337,31011.99957332257,33155.59410998509,33527.7676081734,480.01428449061495
light_petrol_vkt,2038,30953.636245163074,26520.16586117744,27283.017118919248,29351.768929224312,31380.605907933357,31732.855058929785,31414.72039798633,26915.20921285293,27689.42387304349,29788.99172926643,31848.050184125656,32205.546424675103,461.08415282325586
light_petrol_vkt,2039,29307.625370093807,25109.9121168226,25832.197495442553,27790.940001812818,29711.89021386712,30045.407932837865,29744.19060940855,25483.948383972336,26216.99289729491,28204.91275530152,30154.477366456642,30492.9631523028,436.56523931474294
light_petrol_vkt,2040,27333.1879552974,23418.27216511588,24091.89760429349,25918.680784662676,27710.217715267325,28021.266542455884,27740.342052234766,23767.10982981914,24450.769567147807,26304.764438203063,28122.988032738132,28438.670231070395,407.1540969373673
light_petrol_vkt,2041,25115.771268118286,21518.454713571005,22137.43199783219,23816.016603097974,25462.214325845947,25748.02918248327,25489.894812956176,21838.99277194607,22467.190317583652,24170.7790533668,25841.49847289899,26131.570816443287,374.1235448378902
light_petrol_vkt,2042,22642.330497169532,19399.28335115604,19957.302776116834,21470.577721733753,22954.655296108802,23212.32265483325,22979.609765186484,19688.254315940307,20254.585976393537,21790.402606314106,23296.586942094662,23558.092503699914,337.2792680169514
light_petrol_vkt,2043,20193.226770476493,17300.963253035854,17798.624604281158,19148.216429501754,20471.769012045334,20701.565825881386,20494.024285330277,17558.67772384536,18063.752219081718,19433.447511257225,20776.715681216952,21009.93553938905,300.7975148537844
light_petrol_vkt,2044,17994.01235182754,15416.740970234521,15860.202760820055,17062.81253928548,18242.218970426176,18446.988953627777,18262.050454860753,15646.38813973846,16096.455719782853,17316.97952639311,18513.95434952593,18721.774578374938,268.0381030332137
light_petrol_vkt,2045,16177.889161898609,13860.739993813791,14259.443493364362,15340.674700758365,16401.044458584318,16585.14714936539,16418.874365045725,14067.209033733123,14471.851604992813,15569.18879009227,16645.353774288207,16832.198851538484,240.9852031471164
light_petrol_vkt,2046,14659.59770809849,12559.912496150107,12921.197757146201,13900.955645905127,14861.809927696857,15028.634620140987,14877.966501232595,12747.004460627353,13113.671412717007,14108.023736602465,15083.190866131938,15252.500572658952,218.36879313410464
light_petrol_vkt,2047,13273.39192998076,11372.252123642198,11699.374392834983,12586.48676201026,13456.483041838332,13607.532857153943,13471.111856152038,11541.652745740075,11873.647815438939,12773.974575710647,13656.930286038794,13810.230133485602,197.71992617127762
light_petrol_vkt,2048,12027.23488282103,10304.581388029823,10600.992161382821,11404.819011958036,12193.136697435122,12330.00537556887,12206.392102439078,10458.07802867864,10758.904125298886,11574.704749148377,12374.765183984051,12513.672652585112,179.15721961804775
light_petrol_vkt,2049,10893.184772059163,9332.960580894729,9601.422729844284,10329.456604077925,11043.443675141909,11167.406981333588,11055.449225656499,9471.983996066094,9744.445146668737,10483.32378497045,11207.946379472804,11333.756238216947,162.2644535973359
light_petrol_vkt,2050,9860.981003271809,8448.59872647607,8691.62225047608,9350.669935223948,9997.001847485517,10109.218782480906,10007.869789968407,8574.448722111061,8821.092315003534,9489.957148243593,10145.916795348574,10259.805309411278,146.8887866965979
