series_id,FY,fifty_nested_in_eighty,central_inside_eighty
coo_revenue,2026,True,True
coo_revenue,2027,True,True
coo_revenue,2028,True,True
coo_revenue,2029,True,True
coo_revenue,2030,True,True
coo_revenue,2031,True,True
coo_revenue,2032,True,True
coo_revenue,2033,True,True
coo_revenue,2034,True,True
coo_revenue,2035,True,True
coo_revenue,2036,True,True
coo_revenue,2037,True,True
coo_revenue,2038,True,True
coo_revenue,2039,True,True
coo_revenue,2040,True,True
coo_revenue,2041,True,True
coo_revenue,2042,True,True
coo_revenue,2043,True,True
coo_revenue,2044,True,True
coo_revenue,2045,True,True
coo_revenue,2046,True,True
coo_revenue,2047,True,True
coo_revenue,2048,True,True
coo_revenue,2049,True,True
coo_revenue,2050,True,True
current_light_ruc_conventional_modelled_km,2026,True,True
current_light_ruc_conventional_modelled_km,2027,True,True
current_light_ruc_conventional_modelled_km,2028,True,True
current_light_ruc_conventional_modelled_km,2029,True,True
current_light_ruc_conventional_modelled_km,2030,True,True
current_light_ruc_conventional_modelled_km,2031,True,True
current_light_ruc_conventional_modelled_km,2032,True,True
current_light_ruc_conventional_modelled_km,2033,True,True
current_light_ruc_conventional_modelled_km,2034,True,True
current_light_ruc_conventional_modelled_km,2035,True,True
current_light_ruc_conventional_modelled_km,2036,True,True
current_light_ruc_conventional_modelled_km,2037,True,True
current_light_ruc_conventional_modelled_km,2038,True,True
current_light_ruc_conventional_modelled_km,2039,True,True
current_light_ruc_conventional_modelled_km,2040,True,True
current_light_ruc_conventional_modelled_km,2041,True,True
current_light_ruc_conventional_modelled_km,2042,True,True
current_light_ruc_conventional_modelled_km,2043,True,True
current_light_ruc_conventional_modelled_km,2044,True,True
current_light_ruc_conventional_modelled_km,2045,True,True
current_light_ruc_conventional_modelled_km,2046,True,True
current_light_ruc_conventional_modelled_km,2047,True,True
current_light_ruc_conventional_modelled_km,2048,True,True
current_light_ruc_conventional_modelled_km,2049,True,True
current_light_ruc_conventional_modelled_km,2050,True,True
fed_refunds,2026,True,True
fed_refunds,2027,True,True
fed_refunds,2028,True,True
fed_refunds,2029,True,True
fed_refunds,2030,True,True
fed_refunds,2031,True,True
fed_refunds,2032,True,True
fed_refunds,2033,True,True
fed_refunds,2034,True,True
fed_refunds,2035,True,True
fed_refunds,2036,True,True
fed_refunds,2037,True,True
fed_refunds,2038,True,True
fed_refunds,2039,True,True
fed_refunds,2040,True,True
fed_refunds,2041,True,True
fed_refunds,2042,True,True
fed_refunds,2043,True,True
fed_refunds,2044,True,True
fed_refunds,2045,True,True
fed_refunds,2046,True,True
fed_refunds,2047,True,True
fed_refunds,2048,True,True
fed_refunds,2049,True,True
fed_refunds,2050,True,True
gross_cng_revenue,2026,True,True
gross_cng_revenue,2027,True,True
gross_cng_revenue,2028,True,True
gross_cng_revenue,2029,True,True
gross_cng_revenue,2030,True,True
gross_cng_revenue,2031,True,True
gross_cng_revenue,2032,True,True
gross_cng_revenue,2033,True,True
gross_cng_revenue,2034,True,True
gross_cng_revenue,2035,True,True
gross_cng_revenue,2036,True,True
gross_cng_revenue,2037,True,True
gross_cng_revenue,2038,True,True
gross_cng_revenue,2039,True,True
gross_cng_revenue,2040,True,True
gross_cng_revenue,2041,True,True
gross_cng_revenue,2042,True,True
gross_cng_revenue,2043,True,True
gross_cng_revenue,2044,True,True
gross_cng_revenue,2045,True,True
gross_cng_revenue,2046,True,True
gross_cng_revenue,2047,True,True
gross_cng_revenue,2048,True,True
gross_cng_revenue,2049,True,True
gross_cng_revenue,2050,True,True
gross_fed_revenue,2026,True,True
gross_fed_revenue,2027,True,True
gross_fed_revenue,2028,True,True
gross_fed_revenue,2029,True,True
gross_fed_revenue,2030,True,True
gross_fed_revenue,2031,True,True
gross_fed_revenue,2032,True,True
gross_fed_revenue,2033,True,True
gross_fed_revenue,2034,True,True
gross_fed_revenue,2035,True,True
gross_fed_revenue,2036,True,True
gross_fed_revenue,2037,True,True
gross_fed_revenue,2038,True,True
gross_fed_revenue,2039,True,True
gross_fed_revenue,2040,True,True
gross_fed_revenue,2041,True,True
gross_fed_revenue,2042,True,True
gross_fed_revenue,2043,True,True
gross_fed_revenue,2044,True,True
gross_fed_revenue,2045,True,True
gross_fed_revenue,2046,True,True
gross_fed_revenue,2047,True,True
gross_fed_revenue,2048,True,True
gross_fed_revenue,2049,True,True
gross_fed_revenue,2050,True,True
gross_lpg_revenue,2026,True,True
gross_lpg_revenue,2027,True,True
gross_lpg_revenue,2028,True,True
gross_lpg_revenue,2029,True,True
gross_lpg_revenue,2030,True,True
gross_lpg_revenue,2031,True,True
gross_lpg_revenue,2032,True,True
gross_lpg_revenue,2033,True,True
gross_lpg_revenue,2034,True,True
gross_lpg_revenue,2035,True,True
gross_lpg_revenue,2036,True,True
gross_lpg_revenue,2037,True,True
gross_lpg_revenue,2038,True,True
gross_lpg_revenue,2039,True,True
gross_lpg_revenue,2040,True,True
gross_lpg_revenue,2041,True,True
gross_lpg_revenue,2042,True,True
gross_lpg_revenue,2043,True,True
gross_lpg_revenue,2044,True,True
gross_lpg_revenue,2045,True,True
gross_lpg_revenue,2046,True,True
gross_lpg_revenue,2047,True,True
gross_lpg_revenue,2048,True,True
gross_lpg_revenue,2049,True,True
gross_lpg_revenue,2050,True,True
gross_mvr_revenue,2026,True,True
gross_mvr_revenue,2027,True,True
gross_mvr_revenue,2028,True,True
gross_mvr_revenue,2029,True,True
gross_mvr_revenue,2030,True,True
gross_mvr_revenue,2031,True,True
gross_mvr_revenue,2032,True,True
gross_mvr_revenue,2033,True,True
gross_mvr_revenue,2034,True,True
gross_mvr_revenue,2035,True,True
gross_mvr_revenue,2036,True,True
gross_mvr_revenue,2037,True,True
gross_mvr_revenue,2038,True,True
gross_mvr_revenue,2039,True,True
gross_mvr_revenue,2040,True,True
gross_mvr_revenue,2041,True,True
gross_mvr_revenue,2042,True,True
gross_mvr_revenue,2043,True,True
gross_mvr_revenue,2044,True,True
gross_mvr_revenue,2045,True,True
gross_mvr_revenue,2046,True,True
gross_mvr_revenue,2047,True,True
gross_mvr_revenue,2048,True,True
gross_mvr_revenue,2049,True,True
gross_mvr_revenue,2050,True,True
gross_ped_revenue,2026,True,True
gross_ped_revenue,2027,True,True
gross_ped_revenue,2028,True,True
gross_ped_revenue,2029,True,True
gross_ped_revenue,2030,True,True
gross_ped_revenue,2031,True,True
gross_ped_revenue,2032,True,True
gross_ped_revenue,2033,True,True
gross_ped_revenue,2034,True,True
gross_ped_revenue,2035,True,True
gross_ped_revenue,2036,True,True
gross_ped_revenue,2037,True,True
gross_ped_revenue,2038,True,True
gross_ped_revenue,2039,True,True
gross_ped_revenue,2040,True,True
gross_ped_revenue,2041,True,True
gross_ped_revenue,2042,True,True
gross_ped_revenue,2043,True,True
gross_ped_revenue,2044,True,True
gross_ped_revenue,2045,True,True
gross_ped_revenue,2046,True,True
gross_ped_revenue,2047,True,True
gross_ped_revenue,2048,True,True
gross_ped_revenue,2049,True,True
gross_ped_revenue,2050,True,True
gross_ruc_revenue,2026,True,True
gross_ruc_revenue,2027,True,True
gross_ruc_revenue,2028,True,True
gross_ruc_revenue,2029,True,True
gross_ruc_revenue,2030,True,True
gross_ruc_revenue,2031,True,True
gross_ruc_revenue,2032,True,True
gross_ruc_revenue,2033,True,True
gross_ruc_revenue,2034,True,True
gross_ruc_revenue,2035,True,True
gross_ruc_revenue,2036,True,True
gross_ruc_revenue,2037,True,True
gross_ruc_revenue,2038,True,True
gross_ruc_revenue,2039,True,True
gross_ruc_revenue,2040,True,True
gross_ruc_revenue,2041,True,True
gross_ruc_revenue,2042,True,True
gross_ruc_revenue,2043,True,True
gross_ruc_revenue,2044,True,True
gross_ruc_revenue,2045,True,True
gross_ruc_revenue,2046,True,True
gross_ruc_revenue,2047,True,True
gross_ruc_revenue,2048,True,True
gross_ruc_revenue,2049,True,True
gross_ruc_revenue,2050,True,True
heavy_bev_ruc_net_km,2026,True,True
heavy_bev_ruc_net_km,2027,True,True
heavy_bev_ruc_net_km,2028,True,True
heavy_bev_ruc_net_km,2029,True,True
heavy_bev_ruc_net_km,2030,True,True
heavy_bev_ruc_net_km,2031,True,True
heavy_bev_ruc_net_km,2032,True,True
heavy_bev_ruc_net_km,2033,True,True
heavy_bev_ruc_net_km,2034,True,True
heavy_bev_ruc_net_km,2035,True,True
heavy_bev_ruc_net_km,2036,True,True
heavy_bev_ruc_net_km,2037,True,True
heavy_bev_ruc_net_km,2038,True,True
heavy_bev_ruc_net_km,2039,True,True
heavy_bev_ruc_net_km,2040,True,True
heavy_bev_ruc_net_km,2041,True,True
heavy_bev_ruc_net_km,2042,True,True
heavy_bev_ruc_net_km,2043,True,True
heavy_bev_ruc_net_km,2044,True,True
heavy_bev_ruc_net_km,2045,True,True
