history_candidate,row_type,component_label,component_model,stored_rows,matched_rows,missing_rows,max_abs_delta,mean_abs_delta,worst_origin,worst_target_period,worst_horizon,parity_tolerance,parity_status
current_repo_model_input_history,component,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,564,564,0,36062398.01385033,4343715.182200846,2017Q3,2020Q2,11,1e-06,failed
current_repo_model_input_history,component,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,564,564,0,95524161.96877861,12242299.980216103,2020Q4,2021Q3,3,1e-06,failed
current_repo_model_input_history,component,C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,564,564,0,66229698.84736872,10337292.169254247,2022Q3,2024Q2,7,1e-06,failed
current_repo_model_input_history,component,C4,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40,564,564,0,58697769.14767802,10593332.496424409,2020Q4,2023Q4,12,1e-06,failed
current_repo_model_input_history,final_weighted,C1_C4_weighted,HEAVY_RUC__RECON_STATIC_REBUILT,564,564,0,24455024.767646432,4366957.320190632,2020Q2,2023Q1,11,1e-06,failed
source_script_stage1_workbook_history,component,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,564,564,0,4.5299530029296875e-06,3.9630747855977807e-07,2019Q4,2022Q2,10,1e-06,failed
source_script_stage1_workbook_history,component,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,564,564,0,2.384185791015625e-07,5.3686453095564604e-08,2022Q1,2023Q1,4,1e-06,passed
source_script_stage1_workbook_history,component,C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,564,564,0,4113063.8222726583,66363.82066498876,2017Q2,2018Q3,5,1e-06,failed
source_script_stage1_workbook_history,component,C4,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40,564,564,0,12911117.047347665,238408.6331860347,2020Q1,2022Q3,10,1e-06,failed
source_script_stage1_workbook_history,final_weighted,C1_C4_weighted,HEAVY_RUC__RECON_STATIC_REBUILT,564,564,0,1348579.0867124796,32667.154243233777,2020Q1,2022Q3,10,1e-06,failed
