stream,stream_label,component_label,component_model,score_basis,eval_grid,origin,target_period,horizon,actual,stored_component_pred,replayed_pred,replayed_pred_log,abs_delta,abs_pct_delta,match_status,component_weight,weighted_component_pred,final_pred,ensemble_model
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q2,2015Q3,1,941192499.0,903595978.8755652,898231056.3715652,20.61593789425215,5364922.5039999485,0.5937302322522571,delta_exceeds_tolerance,0.469332,424086507.95762676,914160355.4262457,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q2,2015Q4,2,952243538.0,951210190.9657272,945242102.4467326,20.666951645711503,5968088.51899457,0.6274205822937408,delta_exceeds_tolerance,0.469332,446433381.3463267,952979740.5172312,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q2,2016Q1,3,920125016.0,943963010.25432,942785983.8401439,20.66434986239065,1177026.4141761065,0.12468988735681444,delta_exceeds_tolerance,0.469332,443032047.52868056,934007202.8530731,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q2,2016Q2,4,903149015.0,875397518.0224628,875800977.7340777,20.590649428720624,403459.7116148472,0.046088742920618424,delta_exceeds_tolerance,0.469332,410852067.92851853,888035076.6367598,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q2,2016Q3,5,917814423.0,900086331.0920128,894358720.717151,20.611617506255694,5727610.374861717,0.6363401128325993,delta_exceeds_tolerance,0.469332,422439317.94407654,899414901.9973736,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q2,2016Q4,6,977369221.0,966580987.120532,956616868.3615048,20.678913522717455,9964118.759027243,1.0308622755668506,delta_exceeds_tolerance,0.469332,453647387.84725356,947806257.9008385,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q2,2017Q1,7,987496699.0,976000897.266296,980233337.0366725,20.703301200304832,4232439.770376444,0.4336512171485891,delta_exceeds_tolerance,0.469332,458068453.1157853,947035965.4858785,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q2,2017Q2,8,960003244.0,906436968.7666544,905155905.7662985,20.62361775839213,1281063.0003558397,0.14132951815711148,delta_exceeds_tolerance,0.469332,425419875.42519146,911344583.1022619,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q2,2017Q3,9,975147170.0,939891778.4799194,942533755.1016209,20.664082291076546,2641976.621701479,0.2810937048491189,delta_exceeds_tolerance,0.469332,441121288.17753756,924166290.7915173,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q2,2017Q4,10,1057176543.0,993675956.5595162,990433129.1706923,20.713652909628667,3242827.388823867,0.326346568759877,delta_exceeds_tolerance,0.469332,466363924.04399085,961959540.6453881,HEAVY_RUC__RECON_STATIC_REBUILT
