case_id,component_label,component_model,origin,target_period,horizon,feature_order,feature_name,replay_feature_value,parent_feature_value,comparison_status,training_window_start,training_window_end,training_rows,target_transform,inverse_transform,hyperparameters_json,source_data_period_min,source_data_period_max,stored_component_pred,replayed_pred,abs_delta,notes
current_debug_worst,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2020Q4,2021Q3,3,1,nominal_gdp_sa_nzd__log,25.183005544724296,,parent_feature_matrix_missing,2009Q3,2020Q4,46,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",2002Q1,2026Q1,939536576.0561278,1035060738.0249064,95524161.96877861,Parent-run feature matrix was not vendored; only repo-local replay feature values are available.
current_debug_worst,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2020Q4,2021Q3,3,2,log_real_heavy_ruc_price__log,5.946081515485717,,parent_feature_matrix_missing,2009Q3,2020Q4,46,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",2002Q1,2026Q1,939536576.0561278,1035060738.0249064,95524161.96877861,Parent-run feature matrix was not vendored; only repo-local replay feature values are available.
current_debug_worst,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2020Q4,2021Q3,3,3,log_real_heavy_ruc_price__log_lead1,5.937919807042529,,parent_feature_matrix_missing,2009Q3,2020Q4,46,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",2002Q1,2026Q1,939536576.0561278,1035060738.0249064,95524161.96877861,Parent-run feature matrix was not vendored; only repo-local replay feature values are available.
current_debug_worst,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2020Q4,2021Q3,3,4,time__q1,0.0,,parent_feature_matrix_missing,2009Q3,2020Q4,46,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",2002Q1,2026Q1,939536576.0561278,1035060738.0249064,95524161.96877861,Parent-run feature matrix was not vendored; only repo-local replay feature values are available.
current_debug_worst,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2020Q4,2021Q3,3,5,time__q2,0.0,,parent_feature_matrix_missing,2009Q3,2020Q4,46,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",2002Q1,2026Q1,939536576.0561278,1035060738.0249064,95524161.96877861,Parent-run feature matrix was not vendored; only repo-local replay feature values are available.
current_debug_worst,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2020Q4,2021Q3,3,6,time__q3,1.0,,parent_feature_matrix_missing,2009Q3,2020Q4,46,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",2002Q1,2026Q1,939536576.0561278,1035060738.0249064,95524161.96877861,Parent-run feature matrix was not vendored; only repo-local replay feature values are available.
known_prior_audit_reference,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2022Q1,2024Q4,11,1,nominal_gdp_sa_nzd__log,25.40601724209085,,parent_feature_matrix_missing,2009Q3,2022Q1,51,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",2002Q1,2026Q1,1073159432.4111724,946541242.6115623,126618189.79961014,Parent-run feature matrix was not vendored; only repo-local replay feature values are available.
known_prior_audit_reference,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2022Q1,2024Q4,11,2,log_real_heavy_ruc_price__log,5.807093180779631,,parent_feature_matrix_missing,2009Q3,2022Q1,51,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",2002Q1,2026Q1,1073159432.4111724,946541242.6115623,126618189.79961014,Parent-run feature matrix was not vendored; only repo-local replay feature values are available.
known_prior_audit_reference,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2022Q1,2024Q4,11,3,log_real_heavy_ruc_price__log_lead1,5.803180432266616,,parent_feature_matrix_missing,2009Q3,2022Q1,51,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",2002Q1,2026Q1,1073159432.4111724,946541242.6115623,126618189.79961014,Parent-run feature matrix was not vendored; only repo-local replay feature values are available.
known_prior_audit_reference,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2022Q1,2024Q4,11,4,time__q1,0.0,,parent_feature_matrix_missing,2009Q3,2022Q1,51,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",2002Q1,2026Q1,1073159432.4111724,946541242.6115623,126618189.79961014,Parent-run feature matrix was not vendored; only repo-local replay feature values are available.
known_prior_audit_reference,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2022Q1,2024Q4,11,5,time__q2,0.0,,parent_feature_matrix_missing,2009Q3,2022Q1,51,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",2002Q1,2026Q1,1073159432.4111724,946541242.6115623,126618189.79961014,Parent-run feature matrix was not vendored; only repo-local replay feature values are available.
known_prior_audit_reference,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2022Q1,2024Q4,11,6,time__q3,0.0,,parent_feature_matrix_missing,2009Q3,2022Q1,51,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",2002Q1,2026Q1,1073159432.4111724,946541242.6115623,126618189.79961014,Parent-run feature matrix was not vendored; only repo-local replay feature values are available.
