candidate_id,artifact_basename,container_basename,archive_entry_name,source_location_class,source_scope,repo_relative_path,artifact_role,source_stage,size_bytes,sha256,container_sha256,is_archive_entry,status,used_for_recovery,required_for_replay,vendor_repo_relative_path,notes
heavy_parent_search_0001,heavy_ruc_fullgrid_rescue_closure.py,,,repo_source_artifacts,heavy_ruc_source_artifacts,data/dashboard_evidence_pack_reproducibility/heavy_ruc/source_artifacts/scripts/heavy_ruc_fullgrid_rescue_closure.py,source_code_reference,source_code_lineage,86109,c85f629bdcf98ba8194b81564496d87848d44ad97198f9740c6db8e49faf91e9,,False,source_code_only,False,False,,Source code supports replay diagnosis but is not fitted state.
heavy_parent_search_0002,C1_2015q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2015q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12191,4cadd44d3c10e315a95019573d662559d447edd6b016514dede3b341039a2a15,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0003,C1_2015q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2015q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12228,4315e9c6da79dc5b3beabbe7afcd0f1d4fef5057cab82959d82713e008346c56,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0004,C1_2015q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2015q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12309,b4fd10587acd03d4d6f9fdb920228463fe63a9bfd40f4ed1303205826779cdca,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0005,C1_2016q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2016q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12159,4e0356ed8f9045bfdd80ae243a39144cf5138712c178cc0525d15c7a691c195d,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0006,C1_2016q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2016q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12294,45f774f0d9819c18bfa5bf268fd9d29c7964ceda9abd6350b9454b7ffb339b11,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0007,C1_2016q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2016q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12319,7a88dd52d5ec53f643ded7147cbb4db83d78bcc8acf7872871879bfde97b7f3f,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0008,C1_2016q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2016q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12269,739b945cdf5bc5355745b43bf13df4ca864b1b1904d73e59045a4ace3676f796,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0009,C1_2017q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2017q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12344,b5c421226aecf38e845ab33eae29cdc930a71a2f61812e0bffe9729947dc469e,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0010,C1_2017q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2017q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12281,184b305fa9c911763fda4dc7e3978214fd2d09a1319379975597bd16ba277c46,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0011,C1_2017q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2017q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12375,e983eb9a0264c69af6afbaceea7e947024c5f40568788c1459bc7c8bf0cc8807,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0012,C1_2017q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2017q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12370,f837e9e570a5223032a1103442aa0d8c34f964024870e0531102fbb4b3e10148,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0013,C1_2018q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2018q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12424,b64f0aadfee0cef887fadce9450d50f307ebbaa1e19784b8a6285e9b431e5643,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0014,C1_2018q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2018q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12427,da0a89f28f0e95ad943fe660b763ccab9d1c8a352b4c9045794b52963b20f7ce,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0015,C1_2018q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2018q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12372,f2f44c0a7ece2e00aedd5dacae669b04d7d64f769f9b729a9f8dbd30e828aaa3,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0016,C1_2018q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2018q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12531,9d50e4b7e830f8348f26bf3c092c4a6786986f8be604985c50ca3882f58568c9,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0017,C1_2019q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2019q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12501,fcb87b30fbd93726ac2a83ddf5c13650c622c9c541494e66d776911cebb18c26,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0018,C1_2019q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2019q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12431,d37e232085f490346960dc56d290ed90a872670d06512812a08f9512794eb804,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0019,C1_2019q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2019q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12390,7d0c400cc1573ca9c7761624dff84e9da707e0b735ed142764adea088bccb752,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0020,C1_2019q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2019q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12383,2a7f8aab180d729cfe4558a25b9cc73e88ec54a0e0ab782356f2fec453687cb7,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0021,C1_2020q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2020q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12400,f7e324dd89bd4abed5c8637db9ebcd165b5dbf7538381ea4c43890ff3ea64ec8,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0022,C1_2020q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2020q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12345,207f345935b71fafc91abe1b7cefd7e59a67d24ebca44b6be91c2957865348c6,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0023,C1_2020q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2020q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12327,18c1e506a6064b0e457efb9bd91ef1d9e5e0e5e54e1bcc15a279c9dfaf8b027e,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0024,C1_2020q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2020q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12373,671f9198b26d24f58ebd1f0badd5019f8bad95d710c3da4d63f70929c01c1b71,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0025,C1_2021q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2021q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12388,d7d9c9f9506ae48710e48b85b43682fc3537b9a7f972128984c591f2f91b1f6d,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0026,C1_2021q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2021q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12377,ddffbcfd2a3b793ea51e820a4972cbf563cbc15872fffd10cac8bd410aa1310e,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0027,C1_2021q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2021q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12456,d6e7fb4670844650705f678872666bb38bd176375321b21532af6479b65ccdad,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0028,C1_2021q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2021q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12501,be2cddf176e2a67caa8c0e856dcaad98ffe1805d6a80a2ac63d199e4d6670dd6,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0029,C1_2022q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2022q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12455,134fa241f0991dfea1dba59f9f654e9a4f7d2c2298d3b5516db11970b94436db,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0030,C1_2022q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2022q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12497,8d5bdd653fb6620c9724c38bc3c8b76b209d0de6416b54a780abd10af1e995ef,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0031,C1_2022q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2022q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12444,7325d75dbb18d9b3d224a54fb87a0eaa97a59d22490cf31c804fc2d8376f4e9b,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0032,C1_2022q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2022q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12392,833976fe23c3b1332a65c0e1b0acb142944f3af6f7967898c19d6803b51e1e93,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0033,C1_2023q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2023q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12311,6865aedb6278074cf46308420410b8e3887a3db0c1e9431f9bc4f5d1378e1fc3,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0034,C1_2023q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2023q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12292,d30d800f11f27c179314b577f3112fbed5297ec085fe035aefac524b82ad161c,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0035,C1_2023q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2023q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12410,9099cd6e8761a0aaab38c623103da03544da1359187babfc2810d95cf3aed7c4,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0036,C1_2023q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2023q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12527,f1270da53960f19ebb7856cab38ff582db85a44accf82da4c859dc0b2af1b391,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0037,C1_2024q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C1_2024q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,12492,e9af37dacef6b51dba2b4d1c7da57139a17da23839eab5c115e6cd69e4e3c40a,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
