component_label,component_model,recursion_policy,policy_description,rows,max_abs_delta,mean_abs_delta,horizon_1_max_abs_delta,horizon_2_max_abs_delta,horizon_3_max_abs_delta,worst_origin,worst_target_period,worst_horizon,parity_tolerance,parity_status,interpretation
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,recursive_predicted,"Source-code policy: seed y_hist with actuals through origin, then write each finite horizon prediction back before scoring later horizons.",564,4113063.8222726583,66363.82066498876,156839.38291335106,2144074.304129243,248698.81506228447,2017Q2,2018Q3,5,1e-06,failed,"Closest executable source-code replay. Remaining non-zero deltas, including horizon-1, indicate fitted-state or runtime drift beyond target-lag recursion choice."
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,actual_after_each_step,"Counterfactual policy: after each horizon, write the target period actual into y_hist.",564,42889952.60504234,4055577.793592814,156839.38291335106,12786744.507119536,12433911.492985487,2023Q3,2025Q4,9,1e-06,failed,Counterfactual recursion policy; larger deltas reject this as the parent implementation.
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,actual_all_available,"Counterfactual policy: seed y_hist with all actuals, including future validation periods.",564,42889952.60504234,4055577.793592814,156839.38291335106,12786744.507119536,12433911.492985487,2023Q3,2025Q4,9,1e-06,failed,Counterfactual recursion policy; larger deltas reject this as the parent implementation.
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,stored_component_after_each_step,"Counterfactual policy: after each horizon, write archived parent component prediction into y_hist.",564,3381558.313911915,57479.63138421968,156839.38291335106,2144074.304129243,248698.81506228447,2017Q2,2018Q4,6,1e-06,failed,Counterfactual recursion policy; larger deltas reject this as the parent implementation.
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,no_update,Counterfactual policy: seed y_hist with actuals through origin and never update during the forecast path.,564,40182739.96269131,9792411.384541325,156839.38291335106,17412410.993077517,16454584.092058182,2021Q1,2023Q1,8,1e-06,failed,Counterfactual recursion policy; larger deltas reject this as the parent implementation.
C4,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40,recursive_predicted,"Source-code policy: seed y_hist with actuals through origin, then write each finite horizon prediction back before scoring later horizons.",564,12911117.047347665,238408.6331860347,1592599.5615245104,4535588.237169027,1274780.871118307,2020Q1,2022Q3,10,1e-06,failed,"Closest executable source-code replay. Remaining non-zero deltas, including horizon-1, indicate fitted-state or runtime drift beyond target-lag recursion choice."
C4,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40,actual_after_each_step,"Counterfactual policy: after each horizon, write the target period actual into y_hist.",564,42914818.804434896,4098359.8397094407,1592599.5615245104,13109470.865348697,9550687.295941353,2023Q3,2025Q4,9,1e-06,failed,Counterfactual recursion policy; larger deltas reject this as the parent implementation.
C4,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40,actual_all_available,"Counterfactual policy: seed y_hist with all actuals, including future validation periods.",564,42914818.804434896,4098359.8397094407,1592599.5615245104,13109470.865348697,9550687.295941353,2023Q3,2025Q4,9,1e-06,failed,Counterfactual recursion policy; larger deltas reject this as the parent implementation.
C4,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40,stored_component_after_each_step,"Counterfactual policy: after each horizon, write archived parent component prediction into y_hist.",564,12911117.047347665,234457.29008188,1592599.5615245104,4535588.237169027,1274780.871118307,2020Q1,2022Q3,10,1e-06,failed,Counterfactual recursion policy; larger deltas reject this as the parent implementation.
C4,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40,no_update,Counterfactual policy: seed y_hist with actuals through origin and never update during the forecast path.,564,43952893.42768705,9182960.874432608,1592599.5615245104,11594874.667051315,12498184.692013025,2022Q3,2024Q2,7,1e-06,failed,Counterfactual recursion policy; larger deltas reject this as the parent implementation.
