stream,stream_label,component_label,component_model,score_basis,eval_grid,origin,target_period,horizon,actual,stored_component_pred,replayed_pred,replayed_pred_log,abs_delta,abs_pct_delta,match_status,component_weight,weighted_component_pred,final_pred,ensemble_model
HEAVY_RUC,Heavy RUC volume,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,current_grid_operational_pooled,current_evidence_grid,2020Q4,2021Q3,3,953154685.0,939536576.0561278,1035060738.0249064,20.757725946023935,95524161.96877861,10.167157341522381,delta_exceeds_tolerance,0.281844,264802746.74196327,980534534.0801914,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,current_grid_operational_pooled,current_evidence_grid,2020Q3,2021Q3,4,953154685.0,935048871.0463527,1008914886.1693171,20.732141220120898,73866015.12296438,7.899695664067879,delta_exceeds_tolerance,0.281844,263537914.01118824,972536032.0458499,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,current_grid_operational_pooled,current_evidence_grid,2021Q1,2021Q3,2,953154685.0,950233217.4481292,1022199034.5180742,20.745222059784286,71965817.06994498,7.573489933682875,delta_exceeds_tolerance,0.281844,267817530.93845052,976909096.4570761,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,current_grid_operational_pooled,current_evidence_grid,2022Q3,2024Q2,7,955339984.0,989427464.9634936,923197766.1161249,20.643354033996946,66229698.84736872,6.693739682050605,delta_exceeds_tolerance,0.144373,142846611.39917445,971064012.685144,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,current_grid_operational_pooled,current_evidence_grid,2019Q4,2022Q4,12,1062856785.0,1049272072.4281502,983277283.6886456,20.706401717366823,65994788.739504576,6.289578315639734,delta_exceeds_tolerance,0.281844,295731037.98143953,1106487825.7980657,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,schiff_paper_horizon_mean,schiff_paper_grid,2019Q4,2022Q4,12,1062856785.0,1049272072.4281502,983277283.6886456,20.706401717366823,65994788.739504576,6.289578315639734,delta_exceeds_tolerance,0.281844,295731037.98143953,1106487825.7980657,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,current_grid_operational_pooled,current_evidence_grid,2021Q4,2023Q2,6,1056357961.0,984501394.1430336,922121279.9045317,20.642187312896844,62380114.23850191,6.33621390580164,delta_exceeds_tolerance,0.144373,142135419.7766122,1007233778.0144846,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,current_grid_operational_pooled,current_evidence_grid,2020Q2,2020Q3,1,1013891291.0,849996517.2081854,909264175.2881546,20.628146231798553,59267658.07996917,6.972694226399169,delta_exceeds_tolerance,0.281844,239566418.3960238,959880472.3119371,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C4,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40,current_grid_operational_pooled,current_evidence_grid,2020Q4,2023Q4,12,1021151625.0,1037184684.0682184,978486914.9205403,20.701517972120843,58697769.14767802,5.659336283046898,delta_exceeds_tolerance,0.104451,108334977.43560947,1034776906.7923017,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,current_grid_operational_pooled,current_evidence_grid,2019Q4,2022Q2,10,1112864573.0,1006351332.8598074,948768313.7619848,20.670675189530748,57583019.09782255,5.721959838239148,delta_exceeds_tolerance,0.281844,283634085.0585395,1135527631.567083,HEAVY_RUC__RECON_STATIC_REBUILT
