page,stream_label,scenario,horizon,mape,source_column,source
Scenario Comparison,Heavy RUC volume,Finalist,1,2.775199949986987,mape_h01,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Finalist,1,2.775199949986987,mape_h01,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Finalist,2,2.752881066535021,mape_h02,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Finalist,2,2.752881066535021,mape_h02,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Finalist,3,2.914943710824301,mape_h03,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Finalist,3,2.914943710824301,mape_h03,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Finalist,4,2.7669300984679293,mape_h04,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Finalist,4,2.7669300984679293,mape_h04,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Finalist,5,3.3466637119641165,mape_h05,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Finalist,5,3.3466637119641165,mape_h05,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Finalist,6,3.372622071073746,mape_h06,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Finalist,6,3.372622071073746,mape_h06,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Finalist,7,3.601792016259141,mape_h07,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Finalist,7,3.601792016259141,mape_h07,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Finalist,8,3.876833386557584,mape_h08,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Finalist,8,3.876833386557584,mape_h08,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Finalist,9,4.243017051329121,mape_h09,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Finalist,9,4.243017051329121,mape_h09,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Finalist,10,4.007454473435774,mape_h10,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Finalist,10,4.007454473435774,mape_h10,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Finalist,11,4.357404572622521,mape_h11,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Finalist,11,4.357404572622521,mape_h11,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Finalist,12,4.482548625044978,mape_h12,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Finalist,12,4.482548625044978,mape_h12,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Schiff,1,4.297605738692687,mape_h01,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Schiff,1,4.297605738692687,mape_h01,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Schiff,2,5.210653211915106,mape_h02,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Schiff,2,5.210653211915106,mape_h02,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Schiff,3,6.372230222665831,mape_h03,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Schiff,3,6.372230222665831,mape_h03,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Schiff,4,7.827337282732909,mape_h04,Parquet candidate horizon fields
Schiff Benchmark,Heavy RUC volume,Schiff,4,7.827337282732909,mape_h04,Parquet candidate horizon fields
Scenario Comparison,Heavy RUC volume,Schiff,5,9.313836252692289,mape_h05,Parquet candidate horizon fields
