fy,measure,unit,current,official,gap,basis
2026,ped_vkt_per_capita,km/person,6142.76079767832,5935.87599744435,206.88480023397005,observable_series
2026,light_petrol_vkt,m km,32947.15752231537,31834.7306569029,1112.4268654124717,observable_series
2026,ped_volume,m L,3048.7636361439636,2945.82526967511,102.93836646885347,observable_series
2026,light_ruc_conventional_km,m km,12790.779603597242,12899.1247322853,-108.34512868805723,observable_series
2026,light_bev_km,m km,1237.1740107408814,1209.37911079624,27.79489994464143,observable_series
2026,phev_km,m km,647.879998554768,633.39411052937,14.485888025398026,observable_series
2026,heavy_ruc_km,m km,4062.241798831312,4106.65708028096,-44.41528144964832,observable_series
2026,population,persons,,5363105.743888369,,current_population_direct_scenario_input vs official_population_output_implied (derived_from_official_outputs_not_independently_published)
2026,population_implied_pack_stage,persons,5361539.436754805,,,current pack-stage output-implied; GATED to match the direct input within 1e-3
2026,population_implied_post_macro,persons (not a population),5363574.882285482,,,direct input unavailable for the cross-check: 2025Q3/2025Q4 are actual quarters outside the scenario-input horizon. REPORTED ONLY - flagged for P1.2 direct scenario replay.
2026,ped_effective_rate,NZD/L,0.7002400000000003,0.7002400000000003,0.0,derived_output_implied (gross_ped / litres)
2027,ped_vkt_per_capita,km/person,5961.306920442689,5924.5731702763,36.733750166389655,observable_series
2027,light_petrol_vkt,m km,32242.11048256905,32115.2433469839,126.86713558514748,observable_series
2027,ped_volume,m L,2907.9316406070584,2896.48943188686,11.442208720198323,observable_series
2027,light_ruc_conventional_km,m km,12897.952366561178,12939.636710647,-41.684344085822886,observable_series
2027,light_bev_km,m km,1541.0531756214164,1572.19480045545,-31.141624834033564,observable_series
2027,phev_km,m km,844.9595723514738,866.45343854562,-21.49386619414622,observable_series
2027,heavy_ruc_km,m km,4106.886719292136,4256.14265648045,-149.2559371883135,observable_series
2027,population,persons,5395129.353543401,5420684.735249234,-25555.3817058336,current_population_direct_scenario_input vs official_population_output_implied (derived_from_official_outputs_not_independently_published)
2027,population_implied_pack_stage,persons,5395033.188649469,,-96.16489393170923,current pack-stage output-implied; GATED to match the direct input within 1e-3
2027,population_implied_post_macro,persons (not a population),5408564.080470921,,13434.726927519776,"post-macro petrol_vkt / vktpc ratio = population x 1.00249; the Treasury macro replay applies stream-specific factors, so this ratio drifts from the input. REPORTED ONLY - cross-row macro consistency is flagged for P1.2 direct scenario replay."
2027,ped_effective_rate,NZD/L,0.7598432334330982,0.7598432334330983,-1.1102230246251565e-16,derived_output_implied (gross_ped / litres)
2028,ped_vkt_per_capita,km/person,5916.055674224165,5908.65677079833,7.39890342583476,observable_series
2028,light_petrol_vkt,m km,32375.58680046918,32346.4528222451,29.13397822407933,observable_series
2028,ped_volume,m L,2891.7410569002577,2889.13885167999,2.6022052202679333,observable_series
2028,light_ruc_conventional_km,m km,13542.195255933108,13427.7171481819,114.47810775120706,observable_series
2028,light_bev_km,m km,2047.1005382667586,1989.37597979678,57.72455846997855,observable_series
2028,phev_km,m km,1140.5757203778505,1114.1399728797,26.435747498150477,observable_series
2028,heavy_ruc_km,m km,4153.274595045411,4323.42005434382,-170.14545929840915,observable_series
2028,population,persons,5438626.389527487,5474417.296010022,-35790.906482535414,current_population_direct_scenario_input vs official_population_output_implied (derived_from_official_outputs_not_independently_published)
