state,fy,formula,residual,status
current_published,2026,net_fed = gross_ped + lpg + cng - fed_refunds,0.0,closes
current_published,2026,total_ruc = classes - admin,0.0,closes
current_published,2026,total_nltf = net_fed + total_ruc + net_mvr + tuc,0.0,closes
current_published,2027,net_fed = gross_ped + lpg + cng - fed_refunds,0.0,closes
current_published,2027,total_ruc = classes - admin,4.547473508864641e-13,closes
current_published,2027,total_nltf = net_fed + total_ruc + net_mvr + tuc,-9.094947017729282e-13,closes
current_published,2028,net_fed = gross_ped + lpg + cng - fed_refunds,0.0,closes
current_published,2028,total_ruc = classes - admin,0.0,closes
current_published,2028,total_nltf = net_fed + total_ruc + net_mvr + tuc,-9.094947017729282e-13,closes
current_published,2029,net_fed = gross_ped + lpg + cng - fed_refunds,0.0,closes
current_published,2029,total_ruc = classes - admin,-4.547473508864641e-13,closes
current_published,2029,total_nltf = net_fed + total_ruc + net_mvr + tuc,0.0,closes
current_published,2030,net_fed = gross_ped + lpg + cng - fed_refunds,0.0,closes
current_published,2030,total_ruc = classes - admin,0.0,closes
current_published,2030,total_nltf = net_fed + total_ruc + net_mvr + tuc,-9.094947017729282e-13,closes
current_delayed,2026,net_fed = gross_ped + lpg + cng - fed_refunds,0.0,closes
current_delayed,2026,total_ruc = classes - admin,0.0,closes
current_delayed,2026,total_nltf = net_fed + total_ruc + net_mvr + tuc,0.0,closes
current_delayed,2027,net_fed = gross_ped + lpg + cng - fed_refunds,0.0,closes
current_delayed,2027,total_ruc = classes - admin,0.0,closes
current_delayed,2027,total_nltf = net_fed + total_ruc + net_mvr + tuc,-9.094947017729282e-13,closes
current_delayed,2028,net_fed = gross_ped + lpg + cng - fed_refunds,0.0,closes
current_delayed,2028,total_ruc = classes - admin,0.0,closes
current_delayed,2028,total_nltf = net_fed + total_ruc + net_mvr + tuc,-9.094947017729282e-13,closes
current_delayed,2029,net_fed = gross_ped + lpg + cng - fed_refunds,0.0,closes
current_delayed,2029,total_ruc = classes - admin,-4.547473508864641e-13,closes
current_delayed,2029,total_nltf = net_fed + total_ruc + net_mvr + tuc,0.0,closes
current_delayed,2030,net_fed = gross_ped + lpg + cng - fed_refunds,0.0,closes
current_delayed,2030,total_ruc = classes - admin,0.0,closes
current_delayed,2030,total_nltf = net_fed + total_ruc + net_mvr + tuc,-9.094947017729282e-13,closes
official_published,2026,net_fed = gross_ped + lpg + cng - fed_refunds,2.2737367544323206e-13,closes
official_published,2026,total_ruc = classes - admin,-0.0013564848472924496,published_source_residual_reported
official_published,2026,total_nltf = net_fed + total_ruc + net_mvr + tuc,6.366462912410498e-12,closes
official_published,2027,net_fed = gross_ped + lpg + cng - fed_refunds,-4.547473508864641e-12,closes
official_published,2027,total_ruc = classes - admin,0.6270120265353398,published_source_residual_reported
official_published,2027,total_nltf = net_fed + total_ruc + net_mvr + tuc,6.366462912410498e-12,closes
official_published,2028,net_fed = gross_ped + lpg + cng - fed_refunds,-4.092726157978177e-12,closes
official_published,2028,total_ruc = classes - admin,0.4662736698792287,published_source_residual_reported
official_published,2028,total_nltf = net_fed + total_ruc + net_mvr + tuc,-1.8189894035458565e-12,closes
official_published,2029,net_fed = gross_ped + lpg + cng - fed_refunds,9.094947017729282e-13,closes
official_published,2029,total_ruc = classes - admin,0.3629010453887531,published_source_residual_reported
official_published,2029,total_nltf = net_fed + total_ruc + net_mvr + tuc,-9.094947017729282e-13,closes
official_published,2030,net_fed = gross_ped + lpg + cng - fed_refunds,0.0,closes
official_published,2030,total_ruc = classes - admin,0.3832467594083937,published_source_residual_reported
official_published,2030,total_nltf = net_fed + total_ruc + net_mvr + tuc,-5.4569682106375694e-12,closes
official_delayed,2026,net_fed = gross_ped + lpg + cng - fed_refunds,2.2737367544323206e-13,closes
official_delayed,2026,total_ruc = classes - admin,-0.0013564848472924496,published_source_residual_reported
official_delayed,2026,total_nltf = net_fed + total_ruc + net_mvr + tuc,6.366462912410498e-12,closes
official_delayed,2027,net_fed = gross_ped + lpg + cng - fed_refunds,-4.320099833421409e-12,closes
official_delayed,2027,total_ruc = classes - admin,0.6270120265353398,published_source_residual_reported
official_delayed,2027,total_nltf = net_fed + total_ruc + net_mvr + tuc,6.366462912410498e-12,closes
official_delayed,2028,net_fed = gross_ped + lpg + cng - fed_refunds,-4.092726157978177e-12,closes
official_delayed,2028,total_ruc = classes - admin,0.4662736698792287,published_source_residual_reported
official_delayed,2028,total_nltf = net_fed + total_ruc + net_mvr + tuc,-1.8189894035458565e-12,closes
official_delayed,2029,net_fed = gross_ped + lpg + cng - fed_refunds,9.094947017729282e-13,closes
official_delayed,2029,total_ruc = classes - admin,0.3629010453887531,published_source_residual_reported
official_delayed,2029,total_nltf = net_fed + total_ruc + net_mvr + tuc,-9.094947017729282e-13,closes
official_delayed,2030,net_fed = gross_ped + lpg + cng - fed_refunds,0.0,closes
official_delayed,2030,total_ruc = classes - admin,0.3832467594083937,published_source_residual_reported
official_delayed,2030,total_nltf = net_fed + total_ruc + net_mvr + tuc,-5.4569682106375694e-12,closes
