series_id,section_group,horizon_bucket,fy_start,fy_end,n_years,sum_delta,mean_delta,official_vintage,comparison_vintage
total_nltf_net_revenue,Totals,FY2026-2030,2026,2030,5,-192.0650443600398,-38.41300887200796,BEFU26,MBU26
total_nltf_net_revenue,Totals,FY2031-2050,2031,2050,20,150.12304278662305,7.506152139331152,BEFU26,MBU26
total_nltf_net_revenue,Totals,FY2051-2055,2051,2055,5,-5.5179500122903846e-05,-1.103590002458077e-05,BEFU26,MBU26
total_ruc_net_revenue,RUC,FY2026-2030,2026,2030,5,-68.08694470390992,-13.617388940781984,BEFU26,MBU26
total_ruc_net_revenue,RUC,FY2031-2050,2031,2050,20,126.09715234350051,6.304857617175026,BEFU26,MBU26
total_ruc_net_revenue,RUC,FY2051-2055,2051,2055,5,0.0,0.0,BEFU26,MBU26
net_fed_revenue,FED,FY2026-2030,2026,2030,5,-80.62091867032018,-16.124183734064037,BEFU26,MBU26
net_fed_revenue,FED,FY2031-2050,2031,2050,20,24.025890443070466,1.2012945221535234,BEFU26,MBU26
net_fed_revenue,FED,FY2051-2055,2051,2055,5,-5.517938723187399e-05,-1.1035877446374797e-05,BEFU26,MBU26
gross_ped_revenue,FED,FY2026-2030,2026,2030,5,-83.6906677347406,-16.73813354694812,BEFU26,MBU26
gross_ped_revenue,FED,FY2031-2050,2031,2050,20,24.982068954399665,1.2491034477199832,BEFU26,MBU26
gross_ped_revenue,FED,FY2051-2055,2051,2055,5,-5.7446414871265006e-05,-1.1489282974253e-05,BEFU26,MBU26
net_mvr_revenue,MVR,FY2026-2030,2026,2030,5,-43.357180985797015,-8.671436197159403,BEFU26,MBU26
net_mvr_revenue,MVR,FY2031-2050,2031,2050,20,0.0,0.0,BEFU26,MBU26
net_mvr_revenue,MVR,FY2051-2055,2051,2055,5,0.0,0.0,BEFU26,MBU26
tuc_net_revenue,TUC,FY2026-2030,2026,2030,5,0.0,0.0,BEFU26,MBU26
tuc_net_revenue,TUC,FY2031-2050,2031,2050,20,0.0,0.0,BEFU26,MBU26
tuc_net_revenue,TUC,FY2051-2055,2051,2055,5,0.0,0.0,BEFU26,MBU26
