engine,bridge_vintage,scenario_name,trace_name,series_id,june_year,baseline_value,refreshed_value,delta,pct_delta
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2025,2067.62792391,2067.62792391,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2026,2185.4021261772323,2187.079351801779,1.677225624546736,0.07674677371530643
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2027,2313.136747454854,2313.8298522961386,0.6931048412848213,0.029963850690947914
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2028,2577.5378758526795,2577.6793337415024,0.14145788882296984,0.0054881012670346865
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2029,2719.967853706387,2720.0187634521294,0.0509097457425014,0.0018717039494834033
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2030,2824.9039840792548,2824.924129124149,0.02014504489443425,0.0007131231719013734
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2031,2936.45734890837,2936.454335102184,-0.0030138061861180176,-0.0001026340868611084
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2032,3040.154225812992,3040.1549472261013,0.0007214131092041498,2.3729490533041327e-05
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2033,3137.868216992599,3137.8680433628574,-0.00017362974176649004,-5.533366277979021e-06
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2034,3234.122430612836,3234.122472370408,4.175757203483954e-05,1.2911561924675458e-06
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2035,3327.824943801254,3327.824933643328,-1.0157925771636656e-05,-3.0524219101602216e-07
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2036,3419.5497546096844,3419.549757280133,2.6704483389039524e-06,7.80935658357971e-08
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2037,3509.11351484525,3509.113513365023,-1.4802267287450377e-06,-4.2182355243937294e-08
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2038,3596.8441287258474,3596.844132634785,3.908937742380658e-06,1.0867687346144097e-07
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2039,3682.691255265853,3682.691239115115,-1.6150738247233676e-05,-4.3855803073743565e-07
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2040,3766.593017977311,3766.593087944088,6.99667771186796e-05,1.8575613766801993e-06
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2041,3847.911295122705,3847.910989892698,-0.00030523000668836175,-7.932355589258156e-06
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2042,3924.43627542768,3924.435556381384,-0.0007190462961261801,-1.832228237794024e-05
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2043,3998.7809209345214,3998.7803181729687,-0.0006027615527273156,-1.5073632805731434e-05
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2044,4070.938042427832,4070.937421963278,-0.0006204645537764009,-1.5241316554313544e-05
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2045,4143.484486415006,4143.483881035039,-0.0006053799670553417,-1.4610407473230915e-05
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2046,4213.983065345571,4213.982467736364,-0.000597609207034111,-1.4181575904959257e-05
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2047,4278.78312054538,4278.782531932055,-0.0005886133258172777,-1.3756559031724236e-05
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2048,4342.481531254959,4342.480948594106,-0.0005826608530696831,-1.3417693290713813e-05
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2049,4403.958036129558,4403.957479823993,-0.0005563055656239158,-1.2631945197026169e-05
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2050,4463.307414673996,4463.306795361984,-0.0006193120125317364,-1.387562977391221e-05
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2025,2026.68630478,2026.68630478,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2026,2143.356963537042,2145.0341891615885,1.677225624546736,0.07825227682928373
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2027,2270.5040576345127,2271.197162475797,0.6931048412843666,0.030526474460762093
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2028,2534.684498990492,2534.825956879315,0.14145788882296984,0.005580887439020885
