engine,bridge_vintage,scenario_name,trace_name,series_id,june_year,baseline_value,refreshed_value,delta,pct_delta
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2025,2067.62792391,2067.62792391,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2026,2187.079351801779,2187.079351801779,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2027,2313.8298522961386,2313.8298522961386,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2028,2577.6793337415024,2577.6793337415024,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2029,2720.0187634521294,2720.0187634521294,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2030,2824.924129124149,2824.924129124149,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2031,2935.880956057292,2935.880956057292,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2032,3035.5543150475005,3035.5543150475005,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2033,3121.3706661801903,3121.3706661801903,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2034,3192.891020764048,3192.891020764048,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2035,3242.642949484164,3242.642949484164,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2036,3263.266691100101,3263.266691100101,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2037,3247.552682161868,3247.552682161868,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2038,3188.1860409740134,3188.1860409740134,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2039,3082.3460207725234,3082.3460207725234,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2040,2932.938612856842,2932.938612856842,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2041,2747.6592199315205,2747.6592199315205,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2042,2524.1369696921374,2524.1369696921374,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2043,2292.698234674201,2292.698234674201,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2044,2079.3430925822963,2079.3430925822963,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2045,1901.1423480633364,1901.1423480633364,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2046,1750.5041630403816,1750.5041630403816,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2047,1609.6671746338664,1609.6671746338664,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2048,1480.498726435526,1480.498726435526,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2049,1360.4486932275584,1360.4486932275584,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_fed_revenue,2050,1249.004574786004,1249.004574786004,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2025,2026.68630478,2026.68630478,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2026,2145.0341891615885,2145.0341891615885,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2027,2271.197162475797,2271.197162475797,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2028,2534.825956879315,2534.825956879315,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2029,2676.9622167960188,2676.9622167960188,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2030,2781.6793512770555,2781.6793512770555,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2031,2892.4608377320124,2892.4608377320124,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2032,2991.9700934246457,2991.9700934246457,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2033,3077.632224063537,3077.632224063537,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2034,3149.007117640985,3149.007117640985,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2035,3198.6214028316317,3198.6214028316317,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2036,3219.114520649362,3219.114520649362,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2037,3203.2762261253497,3203.2762261253497,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2038,3143.791050732325,3143.791050732325,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2039,3037.837738792064,3037.837738792064,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2040,2888.321837394025,2888.321837394025,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2041,2702.938359211352,2702.938359211352,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2042,2479.3160876183065,2479.3160876183065,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2043,2247.781089663437,2247.781089663437,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2044,2034.3331707692005,2034.3331707692005,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2045,1856.0428918603084,1856.0428918603084,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2046,1705.31819583753,1705.31819583753,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2047,1564.3975222698289,1564.3975222698289,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2048,1435.148035950264,1435.148035950264,0.0,0.0
ensemble,BEFU26,current_basecase,Current finalist Base case,gross_ped_revenue,2049,1315.0194493140943,1315.0194493140943,0.0,0.0
