FY,metric,unit,official_vintage,comparison_vintage,prebu26_value,befu26_value,delta_prebu26_minus_befu26
2001,ped_effective_rate,$/L,PREBU26,BEFU26,0.31780832781957363,0.31780832781957363,0.0
2001,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,,,
2001,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.019056215250070875,0.019056215250070875,0.0
2001,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.1574797856049481,0.1574797856049481,0.0
2001,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2001,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2001,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2002,ped_effective_rate,$/L,PREBU26,BEFU26,0.33420604158169726,0.33420604158169726,0.0
2002,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,,,
2002,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.01992977022170474,0.01992977022170474,0.0
2002,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.15877774276659445,0.15877774276659445,0.0
2002,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2002,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2002,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2003,ped_effective_rate,$/L,PREBU26,BEFU26,0.3620000000000006,0.3620000000000006,0.0
2003,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,10.324851942371541,10.32813666280736,-0.0032847204358184
2003,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.02409371529822133,0.02409371529822133,0.0
2003,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.1599317910584707,0.1599317910584707,0.0
2003,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2003,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2003,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2004,ped_effective_rate,$/L,PREBU26,BEFU26,0.3619999999999999,0.3619999999999999,0.0
2004,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,10.265035414951708,10.268087067076,-0.003051652124291593
2004,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.02416129400780963,0.02416129400780963,0.0
2004,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.16039512745451345,0.16039512745451345,0.0
2004,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
