series_id,section_group,horizon_bucket,fy_start,fy_end,n_years,sum_delta,mean_delta,official_vintage,comparison_vintage
total_nltf_net_revenue,Totals,FY2026-2030,2026,2030,5,100.93936416514862,20.187872833029722,PREBU26,BEFU26
total_nltf_net_revenue,Totals,FY2031-2050,2031,2050,20,3029.9243572483892,151.49621786241946,PREBU26,BEFU26
total_nltf_net_revenue,Totals,FY2051-2055,2051,2055,5,11.391606737699476,2.278321347539895,PREBU26,BEFU26
total_ruc_net_revenue,RUC,FY2026-2030,2026,2030,5,-60.50784629744976,-12.101569259489953,PREBU26,BEFU26
total_ruc_net_revenue,RUC,FY2031-2050,2031,2050,20,2002.9875360067622,100.1493768003381,PREBU26,BEFU26
total_ruc_net_revenue,RUC,FY2051-2055,2051,2055,5,8.82694285499747,1.7653885709994939,PREBU26,BEFU26
net_fed_revenue,FED,FY2026-2030,2026,2030,5,127.35939033283012,25.471878066566024,PREBU26,BEFU26
net_fed_revenue,FED,FY2031-2050,2031,2050,20,923.49724721202,46.174862360601004,PREBU26,BEFU26
net_fed_revenue,FED,FY2051-2055,2051,2055,5,-18.66062851670904,-3.732125703341808,PREBU26,BEFU26
gross_ped_revenue,FED,FY2026-2030,2026,2030,5,116.53121399325028,23.306242798650054,PREBU26,BEFU26
gross_ped_revenue,FED,FY2031-2050,2031,2050,20,897.7517401624409,44.88758700812205,PREBU26,BEFU26
gross_ped_revenue,FED,FY2051-2055,2051,2055,5,-34.50104671638212,-6.900209343276424,PREBU26,BEFU26
net_mvr_revenue,MVR,FY2026-2030,2026,2030,5,34.812369997172084,6.962473999434417,PREBU26,BEFU26
net_mvr_revenue,MVR,FY2031-2050,2031,2050,20,107.79379173463798,5.389689586731899,PREBU26,BEFU26
net_mvr_revenue,MVR,FY2051-2055,2051,2055,5,22.31384682540397,4.462769365080794,PREBU26,BEFU26
tuc_net_revenue,TUC,FY2026-2030,2026,2030,5,-0.7245498673984017,-0.14490997347968032,PREBU26,BEFU26
tuc_net_revenue,TUC,FY2031-2050,2031,2050,20,-4.354217704930008,-0.2177108852465004,PREBU26,BEFU26
tuc_net_revenue,TUC,FY2051-2055,2051,2055,5,-1.088554426232502,-0.2177108852465004,PREBU26,BEFU26
