scenario_role,fy,measure,S0_pack,S1_post_macro,S2_canonical_exact_vfm,S3_selected_sensitivities,S4_post_policy
basecase,2026,light_petrol_vkt,32943.02353045172,32947.15752231537,32947.15752231537,32947.15752231537,32947.15752231537
basecase,2026,light_ruc_conventional_km,12968.092013523903,12953.85512504795,12953.85512504795,12953.85512504795,12953.85512504795
basecase,2026,light_bev_km,1254.3243574860794,1252.9473101940355,1252.9473101940355,1252.9473101940355,1252.9473101940355
basecase,2026,phev_km,656.8612465667908,656.1401180999512,656.1401180999512,656.1401180999512,656.1401180999512
basecase,2026,heavy_ruc_conventional_km,4045.112836987535,4042.7794536049623,4042.7794536049623,4042.7794536049623,4042.7794536049623
basecase,2026,net_fed_revenue,2103.3760175919992,2103.64388651804,2103.64388651804,2103.64388651804,2103.64388651804
basecase,2026,total_ruc_net_revenue,2080.3817247762595,2078.648222365951,2078.648222365951,2078.648222365951,2078.648222365951
basecase,2026,total_nltf_net_revenue,4626.293013383262,4624.827379898994,4624.827379898994,4624.827379898994,4624.827379898994
basecase,2026,light_ruc_pool_km,14879.277617576774,14862.942553341938,14862.942553341938,14862.942553341938,14862.942553341938
basecase,2027,light_petrol_vkt,32190.96899281003,32242.11048256905,32242.11048256905,32242.11048256905,32339.187638648003
basecase,2027,light_ruc_conventional_km,12697.50796810656,12711.19796263892,12711.19796263892,12711.19796263892,12752.37406975762
basecase,2027,light_bev_km,1517.1039883399649,1518.7396750713742,1518.7396750713742,1518.7396750713742,1518.7396750713742
basecase,2027,phev_km,831.8282311598626,832.7250783179858,832.7250783179857,832.7250783179857,832.7250783179857
basecase,2027,heavy_ruc_conventional_km,4100.270092100126,4104.509276643156,4104.509276643156,4104.509276643156,4111.711560904591
basecase,2027,net_fed_revenue,2166.5951497474452,2170.099908317666,2170.099908317666,2170.099908317666,2002.9086864159747
basecase,2027,total_ruc_net_revenue,2262.7845529193387,2265.208204534134,2265.2082045341335,2265.2082045341335,2089.479416095769
basecase,2027,total_nltf_net_revenue,4943.087354510058,4949.015764695074,4949.015764695074,4949.015764695074,4606.095754355018
basecase,2027,light_ruc_pool_km,15046.440187606388,15062.66271602828,15062.66271602828,15062.66271602828,15103.83882314698
basecase,2028,light_petrol_vkt,32150.162716100647,32375.58680046918,32375.58680046918,32375.58680046918,32375.58680046918
basecase,2028,light_ruc_conventional_km,13372.423680284686,13542.195255933106,13542.195255933108,13542.195255933108,13542.195255933108
basecase,2028,light_bev_km,2021.437085826135,2047.1005382667586,2047.1005382667586,2047.1005382667586,2047.1005382667586
basecase,2028,phev_km,1126.276905928986,1140.5757203778505,1140.5757203778505,1140.5757203778505,1140.5757203778505
basecase,2028,heavy_ruc_conventional_km,4134.118313509229,4152.675334825286,4152.675334825286,4152.675334825286,4152.675334825286
basecase,2028,net_fed_revenue,2391.8639492840216,2408.9801225778647,2408.9801225778647,2408.9801225778647,2408.9801225778647
basecase,2028,total_ruc_net_revenue,2659.4949446134187,2682.155753103923,2682.155753103923,2682.155753103923,2682.155753103923
basecase,2028,total_nltf_net_revenue,5559.1673038668505,5598.944285651198,5598.944285651198,5598.944285651198,5598.944285651198
basecase,2028,light_ruc_pool_km,16520.137672039808,16729.871514577713,16729.871514577717,16729.871514577717,16729.871514577717
basecase,2030,light_petrol_vkt,32439.89972726253,32993.321829443696,32993.321829443696,32993.321829443696,32993.321829443696
basecase,2030,light_ruc_conventional_km,14129.750867690174,14552.971035061611,14552.971035061611,14552.971035061611,14552.971035061611
basecase,2030,light_bev_km,3337.1581463926477,3437.1140934214677,3437.1140934214673,3437.1140934214673,3437.1140934214673
basecase,2030,phev_km,1824.2490733831303,1878.8897394071741,1878.889739407174,1878.889739407174,1878.889739407174
basecase,2030,heavy_ruc_conventional_km,4205.391266929527,4230.412272404483,4230.412272404483,4230.412272404483,4230.412272404483
