scenario_name,series_id,fy,pre_macro_value,direct_replay_value,old_factor_transfer_value,correction_millions,correction_pct
current_basecase,total_nltf_net_revenue,2026,4635.051597272895,4633.8316927221495,4633.831692722149,9.094947017729282e-13,1.9627270951626746e-14
current_basecase,total_fed_ruc_net_revenue,2026,4192.516326257892,4191.296421707145,4191.296421707145,0.0,0.0
current_basecase,gross_ped_revenue,2026,2143.356963537042,2143.870561396604,2143.870561396604,0.0,0.0
current_basecase,light_ruc_net_revenue,2026,878.4879744480047,877.5235353226007,877.5235353226007,0.0,0.0
current_basecase,total_nltf_net_revenue,2027,5007.523990313511,5015.0828100321105,5015.0828100321105,0.0,0.0
current_basecase,total_fed_ruc_net_revenue,2027,4493.816338470237,4501.375158188836,4501.375158188836,0.0,0.0
current_basecase,gross_ped_revenue,2027,2270.5040576345127,2275.6392257383186,2275.6392257383186,0.0,0.0
current_basecase,light_ruc_net_revenue,2027,926.0579915629984,927.0564338457671,927.0564338457671,0.0,0.0
current_basecase,total_nltf_net_revenue,2028,5652.729515434055,5692.0125174312525,5692.0125174312525,0.0,0.0
current_basecase,total_fed_ruc_net_revenue,2028,5144.921105464645,5184.204107461843,5184.204107461843,0.0,0.0
current_basecase,gross_ped_revenue,2028,2534.684498990492,2551.3066924971854,2551.3066924971854,0.0,0.0
current_basecase,light_ruc_net_revenue,2028,1087.3404941589715,1101.1449856537977,1101.1449856537977,0.0,0.0
current_basecase,total_nltf_net_revenue,2029,6066.172337109564,6134.288007568039,6134.288007568039,0.0,0.0
current_basecase,total_fed_ruc_net_revenue,2029,5563.771327423043,5631.886997881518,5631.886997881517,9.094947017729282e-13,1.6149022558780786e-14
current_basecase,gross_ped_revenue,2029,2676.9113070502763,2705.7384481336667,2705.7384481336667,0.0,0.0
current_basecase,light_ruc_net_revenue,2029,1191.3931534415976,1217.0472748402565,1217.0472748402565,0.0,0.0
current_basecase,total_nltf_net_revenue,2030,6415.185322424164,6515.345991323085,6515.3459913230845,9.094947017729282e-13,1.3959269438402232e-14
current_basecase,total_fed_ruc_net_revenue,2030,5917.74370444248,6017.904373341401,6017.904373341399,1.8189894035458565e-12,3.0226292920235875e-14
current_basecase,gross_ped_revenue,2030,2781.659206232161,2823.0946927898676,2823.0946927898676,0.0,0.0
current_basecase,light_ruc_net_revenue,2030,1271.029669278332,1309.100077907835,1309.100077907835,0.0,0.0
current_comparison_1,total_nltf_net_revenue,2026,4638.806892233985,4637.583994027118,4637.585999322847,-0.0020052957288498874,-4.32400763919567e-05
current_comparison_1,total_fed_ruc_net_revenue,2026,4196.271621218982,4195.048723012114,4195.050623982826,-0.0019009707120858366,-4.531460719968701e-05
current_comparison_1,gross_ped_revenue,2026,2145.6274807242507,2146.142038555978,2146.141622652201,0.0004159037771387375,1.9379139416939492e-05
current_comparison_1,light_ruc_net_revenue,2026,879.3607689037508,878.3937711763975,878.3953715897932,-0.0016004133956357691,-0.00018219738484495968
current_comparison_1,total_nltf_net_revenue,2027,5031.1480270834645,5037.103073512915,5038.7425071074995,-1.6394335945842613,-0.032536562292510986
current_comparison_1,total_fed_ruc_net_revenue,2027,4517.44037524019,4523.395421669641,4525.03893174853,-1.6435100788885393,-0.03632035223735561
current_comparison_1,gross_ped_revenue,2027,2285.2973588526575,2288.811826334484,2290.4659847643497,-1.6541584298656744,-0.07221929689717087
current_comparison_1,light_ruc_net_revenue,2027,931.6403976349983,932.6497717878228,932.6448586663903,0.004913121432537082,0.0005267944584568304
current_comparison_1,total_nltf_net_revenue,2028,5702.62683961984,5742.583274729774,5742.256597406483,0.32667732329082355,0.005689006016177837
current_comparison_1,total_fed_ruc_net_revenue,2028,5194.81842965043,5234.774864760362,5234.482412550049,0.29245221031305846,0.005587032055201546
current_comparison_1,gross_ped_revenue,2028,2567.2333744050297,2584.3229790395353,2584.0690200024196,0.2539590371156919,0.009827873603602667
current_comparison_1,light_ruc_net_revenue,2028,1099.6924709137568,1113.6585506739025,1113.653778749896,0.004771924006490735,0.00042849259774858743
current_comparison_1,total_nltf_net_revenue,2029,6144.470109089304,6213.5348248151695,6213.4649674338825,0.06985738128696539,0.001124290257579355
current_comparison_1,total_fed_ruc_net_revenue,2029,5642.069099402784,5711.133815128649,5711.14334722182,-0.009532093170491862,-0.00016690341304650914
current_comparison_1,gross_ped_revenue,2029,2728.6119090598595,2757.8881547362153,2757.995803945403,-0.10764920918791177,-0.003903167982848852
current_comparison_1,light_ruc_net_revenue,2029,1211.3412392466093,1237.429328522601,1237.424900309345,0.00442821325600562,0.0003578571317660253
current_comparison_1,total_nltf_net_revenue,2030,6526.3277152925075,6628.683110953072,6628.223656962708,0.4594539903637269,0.006931781637770885
current_comparison_1,total_fed_ruc_net_revenue,2030,6028.886097310822,6131.241492971387,6130.927904861347,0.3135881100397455,0.00511485561249374
current_comparison_1,gross_ped_revenue,2030,2854.1755922217985,2896.693387230894,2896.691280024199,0.002107206695200148,7.274529770333496e-05
current_comparison_1,light_ruc_net_revenue,2030,1299.194773882275,1338.1130531504514,1338.108795424428,0.004257726023297437,0.0003181898241650037
