scenario_name,scenario_role,stream,period,engine,input_workbook_sha256,drivers_changed,raw_model_output,post_macro_output,replay_status,error_class,error_message,fallback_used,commit_sha,scenario_input_artifact_sha256,fitted_state_tree_sha256
current_basecase,basecase,PED,2026Q1,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.35398e+06->5.35821e+06; real_gdp_per_capita_nzd:21243.8->21227,1529.8881193068491,1529.7454278971777,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2026Q2,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.36599e+06->5.37e+06; real_gdp_per_capita_nzd:21317.1->21230.8,1529.4019970974282,1528.6712580526837,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2026Q3,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.37802e+06->5.38543e+06; real_gdp_per_capita_nzd:21390.7->21302.7,1537.67393490705,1536.7119084951355,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2026Q4,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.39008e+06->5.40091e+06; real_gdp_per_capita_nzd:21464.5->21408.7,1547.5834747893223,1547.1091371081434,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2027Q1,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.40083e+06->5.41643e+06; real_gdp_per_capita_nzd:21549.1->21527.8,1531.4418782380003,1531.2633649931868,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2027Q2,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.4116e+06->5.432e+06; real_gdp_per_capita_nzd:21634.2->21644.6,1524.3091667099493,1524.395747657601,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2027Q3,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.42239e+06->5.44818e+06; real_gdp_per_capita_nzd:21719.5->21755.1,1531.3876310781338,1531.5713052969425,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2027Q4,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.4332e+06->5.4644e+06; real_gdp_per_capita_nzd:21805.2->21858.2,1546.534628746646,1546.8644948009671,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2028Q1,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.44403e+06->5.48068e+06; real_gdp_per_capita_nzd:21875.1->21954.1,1532.9252976404525,1533.5728770666105,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2028Q2,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.45489e+06->5.497e+06; real_gdp_per_capita_nzd:21945.3->22042,1527.1988871945018,1527.9853275783398,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2028Q3,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.46577e+06->5.51318e+06; real_gdp_per_capita_nzd:22015.7->22120.9,1532.9817988397829,1533.8379231246465,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2028Q4,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.47666e+06->5.5294e+06; real_gdp_per_capita_nzd:22086.4->22197.7,1546.3376916124976,1547.2504507807716,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2029Q1,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.48758e+06->5.54568e+06; real_gdp_per_capita_nzd:22146.4->22277.6,1532.0090305007263,1533.069683082318,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
current_basecase,basecase,PED,2029Q2,ensemble,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,population:5.49853e+06->5.562e+06; real_gdp_per_capita_nzd:22206.6->22354.9,1522.1807725201995,1523.3659555445254,replayed,,,none,f908f241829d395d9d1633f56988695ddf0f411e,db5631a4024d2f2f8cfc05da20276a486ab238e88b01def6283aa9d5c94397a8,
