role,fy,vfm_scenario,anchor_pre_composition,conventional_post_composition,anchor_preserved_residual,share_sum,share_sum_residual,pool,pool_identity_residual,class_sum_residual,residual_assigned_to_conventional,stage
basecase,2026,Base_EV,12953.85512504795,12953.85512504795,0.0,1.0,0.0,14862.942553341936,0.0,0.0,0.0,S2_pre_policy
basecase,2027,Base_EV,12711.19796263892,12711.19796263892,0.0,1.0,0.0,15062.66271602828,0.0,0.0,0.0,S2_pre_policy
basecase,2028,Base_EV,13542.195255933106,13542.195255933108,1.8189894035458565e-12,1.0,0.0,16729.871514577717,0.0,0.0,0.0,S2_pre_policy
basecase,2029,Base_EV,14131.358557992657,14131.358557992657,0.0,1.0,0.0,18322.698310574677,0.0,0.0,0.0,S2_pre_policy
basecase,2030,Base_EV,14552.971035061611,14552.971035061611,0.0,1.0,0.0,19868.974867890254,0.0,0.0,0.0,S2_pre_policy
comparison,2026,Base_EV,12966.725025675541,12966.725025675543,1.8189894035458565e-12,1.0,0.0,14877.709168519317,0.0,0.0,0.0,S2_pre_policy
comparison,2027,Base_EV,12787.822827750515,12787.822827750515,0.0,1.0,0.0,15153.462536960147,0.0,0.0,0.0,S2_pre_policy
comparison,2028,Base_EV,13696.031962933916,13696.031962933917,1.8189894035458565e-12,1.0,0.0,16919.919604544644,0.0,0.0,0.0,S2_pre_policy
comparison,2029,Base_EV,14367.966895250522,14367.96689525052,-1.8189894035458565e-12,1.0,0.0,18629.484325772806,0.0,0.0,0.0,S2_pre_policy
comparison,2030,Base_EV,14875.454421097273,14875.454421097274,1.8189894035458565e-12,1.0,0.0,20309.25708084991,0.0,0.0,0.0,S2_pre_policy
