stage,role,fy,formula,residual,status,allocated_to_current_class
S2_pre_policy,basecase,2026,gross_fed = gross_ped + lpg + cng,0.0,closes,False
S2_pre_policy,basecase,2026,net_fed = gross_fed - fed_refunds,0.0,closes,False
S2_pre_policy,basecase,2026,total_nltf = net_admin - refunds,-9.094947017729282e-13,closes,False
S2_pre_policy,basecase,2027,gross_fed = gross_ped + lpg + cng,0.0,closes,False
S2_pre_policy,basecase,2027,net_fed = gross_fed - fed_refunds,0.0,closes,False
S2_pre_policy,basecase,2027,total_nltf = net_admin - refunds,9.094947017729282e-13,closes,False
S2_pre_policy,basecase,2028,gross_fed = gross_ped + lpg + cng,0.0,closes,False
S2_pre_policy,basecase,2028,net_fed = gross_fed - fed_refunds,0.0,closes,False
S2_pre_policy,basecase,2028,total_nltf = net_admin - refunds,0.0,closes,False
S2_pre_policy,basecase,2029,gross_fed = gross_ped + lpg + cng,0.0,closes,False
S2_pre_policy,basecase,2029,net_fed = gross_fed - fed_refunds,0.0,closes,False
S2_pre_policy,basecase,2029,total_nltf = net_admin - refunds,9.094947017729282e-13,closes,False
S2_pre_policy,basecase,2030,gross_fed = gross_ped + lpg + cng,0.0,closes,False
S2_pre_policy,basecase,2030,net_fed = gross_fed - fed_refunds,0.0,closes,False
S2_pre_policy,basecase,2030,total_nltf = net_admin - refunds,0.0,closes,False
S2_pre_policy,comparison,2026,gross_fed = gross_ped + lpg + cng,0.0,closes,False
S2_pre_policy,comparison,2026,net_fed = gross_fed - fed_refunds,0.0,closes,False
S2_pre_policy,comparison,2026,total_nltf = net_admin - refunds,-9.094947017729282e-13,closes,False
S2_pre_policy,comparison,2027,gross_fed = gross_ped + lpg + cng,0.0,closes,False
S2_pre_policy,comparison,2027,net_fed = gross_fed - fed_refunds,0.0,closes,False
S2_pre_policy,comparison,2027,total_nltf = net_admin - refunds,9.094947017729282e-13,closes,False
S2_pre_policy,comparison,2028,gross_fed = gross_ped + lpg + cng,0.0,closes,False
S2_pre_policy,comparison,2028,net_fed = gross_fed - fed_refunds,0.0,closes,False
S2_pre_policy,comparison,2028,total_nltf = net_admin - refunds,9.094947017729282e-13,closes,False
S2_pre_policy,comparison,2029,gross_fed = gross_ped + lpg + cng,0.0,closes,False
S2_pre_policy,comparison,2029,net_fed = gross_fed - fed_refunds,0.0,closes,False
S2_pre_policy,comparison,2029,total_nltf = net_admin - refunds,0.0,closes,False
