series_id,canonical_unit,dimension,display_scale_to_base,unit_contract_status
coo_revenue,million_nzd,currency,1000000.0,declared
current_light_ruc_conventional_modelled_km,million_km,distance,1000000.0,declared
fed_refunds,million_nzd,currency,1000000.0,declared
gross_cng_revenue,million_nzd,currency,1000000.0,declared
gross_fed_revenue,million_nzd,currency,1000000.0,declared
gross_lpg_revenue,million_nzd,currency,1000000.0,declared
gross_mvr_revenue,million_nzd,currency,1000000.0,declared
gross_ped_revenue,million_nzd,currency,1000000.0,declared
gross_ruc_revenue,million_nzd,currency,1000000.0,declared
heavy_bev_ruc_net_km,million_km,distance,1000000.0,declared
heavy_bev_ruc_net_revenue,million_nzd,currency,1000000.0,declared
heavy_ruc_net_km,million_km,distance,1000000.0,declared
heavy_ruc_net_revenue,million_nzd,currency,1000000.0,declared
light_bev_ruc_net_km,million_km,distance,1000000.0,declared
light_bev_ruc_net_revenue,million_nzd,currency,1000000.0,declared
light_petrol_vkt,million_km,distance,1000000.0,declared
light_ruc_net_km,million_km,distance,1000000.0,declared
light_ruc_net_revenue,million_nzd,currency,1000000.0,declared
mr1_revenue,million_nzd,currency,1000000.0,declared
mr2_revenue,million_nzd,currency,1000000.0,declared
mvr_admin_revenue,million_nzd,currency,1000000.0,declared
mvr_refunds,million_nzd,currency,1000000.0,declared
mvr_revenue_net_admin_coo,million_nzd,currency,1000000.0,declared
net_fed_revenue,million_nzd,currency,1000000.0,declared
net_mvr_revenue,million_nzd,currency,1000000.0,declared
ped_vkt_per_capita,km_per_person,distance_per_person,1.0,declared
ped_volume,million_litres,volume,1000000.0,declared
phev_ruc_net_km,million_km,distance,1000000.0,declared
phev_ruc_net_revenue,million_nzd,currency,1000000.0,declared
ruc_admin_revenue,million_nzd,currency,1000000.0,declared
ruc_refunds,million_nzd,currency,1000000.0,declared
ruc_revenue_net_admin,million_nzd,currency,1000000.0,declared
total_admin_fees,million_nzd,currency,1000000.0,declared
total_fed_ruc_net_revenue,million_nzd,currency,1000000.0,declared
total_gross_revenue,million_nzd,currency,1000000.0,declared
total_nltf_net_revenue,million_nzd,currency,1000000.0,declared
total_refunds,million_nzd,currency,1000000.0,declared
total_revenue_net_admin,million_nzd,currency,1000000.0,declared
total_ruc_net_revenue,million_nzd,currency,1000000.0,declared
tuc_gtk,tonne_km,freight_task,1.0,declared
tuc_net_revenue,million_nzd,currency,1000000.0,declared
