engine,policy_state,series_id,series_label,row_type,june_year,value,value_unit,official_value,movement_vs_origin_main
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2026,2136.5366281536235,$m nominal ex GST,2038.23929657583,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2026,2138.6936606827244,$m nominal ex GST,2038.23929657583,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2026,2123.559806169978,$m nominal ex GST,2038.23929657583,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2030,2716.3466616082915,$m nominal ex GST,2707.91842670497,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2030,2781.2945144743608,$m nominal ex GST,2707.91842670497,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2030,2706.7946098581374,$m nominal ex GST,2707.91842670497,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2031,2814.2719810459394,$m nominal ex GST,2707.91842670497,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2031,2898.276909910585,$m nominal ex GST,2707.91842670497,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2050,1175.2327959122665,$m nominal ex GST,2707.91842670497,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2050,1203.3326138740485,$m nominal ex GST,2707.91842670497,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2026,2062.7846868373,$m nominal ex GST,2062.7846868373,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2026,2038.23929657583,$m nominal ex GST,2038.23929657583,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2030,2706.16345401687,$m nominal ex GST,2706.16345401687,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2030,2707.91842670497,$m nominal ex GST,2707.91842670497,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2031,2771.07090986288,$m nominal ex GST,2771.07090986288,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2031,2772.84500582012,$m nominal ex GST,2772.84500582012,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2050,1171.50816887837,$m nominal ex GST,1171.50816887837,0
ar1,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2050,1171.5863032867,$m nominal ex GST,1171.5863032867,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2026,1134.1059888764494,$m nominal ex GST,1144.54055343658,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2026,1134.4796007193393,$m nominal ex GST,1144.54055343658,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2026,1123.432467523277,$m nominal ex GST,1144.54055343658,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2030,1561.9346558206582,$m nominal ex GST,1655.80221986912,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2030,1563.9596216233617,$m nominal ex GST,1655.80221986912,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2030,1557.290827152943,$m nominal ex GST,1655.80221986912,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2031,1642.9965761252706,$m nominal ex GST,1655.80221986912,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2031,1646.1718082660163,$m nominal ex GST,1655.80221986912,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2050,2380.597921237581,$m nominal ex GST,1655.80221986912,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2050,2383.684240734065,$m nominal ex GST,1655.80221986912,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2026,1146.5048086003,$m nominal ex GST,1146.5048086003,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2026,1144.54055343658,$m nominal ex GST,1144.54055343658,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2030,1652.12295550638,$m nominal ex GST,1652.12295550638,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2030,1655.80221986912,$m nominal ex GST,1655.80221986912,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2031,1724.93518509883,$m nominal ex GST,1724.93518509883,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2031,1728.76827058322,$m nominal ex GST,1728.76827058322,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2050,2523.10499503596,$m nominal ex GST,2523.10499503596,0
ar1,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2050,2523.66467951243,$m nominal ex GST,2523.66467951243,0
ar1,cur-published__off-published,light_petrol_vkt,Light petrol VKT,future_forecast,2026,32946.371722443735,million km,,0
ar1,cur-published__off-published,light_petrol_vkt,Light petrol VKT,future_forecast,2026,32979.6341503304,million km,,0
